date,open,high,low,close,volume,adj_close
2024-05-20,1.1602,1.1699,1.1022,1.1071,113400,1.1071
2024-05-21,1.0732,1.137,1.0732,1.0829,49000,1.0829
2024-05-22,1.1022,1.1651,1.1022,1.1216,54800,1.1216
2024-05-23,1.0636,1.1119,1.0346,1.0442,648000,1.0442
2024-05-24,1.0539,1.0829,0.8702,1.0055,307200,1.0055
2024-05-28,1.0539,1.0539,0.9475,0.9582,106300,0.9582
2024-05-29,0.9475,0.9978,0.9185,0.9862,77500,0.9862
2024-05-30,0.9765,1.0346,0.9765,1.0152,33400,1.0152
2024-05-31,1.0046,1.0926,0.9862,1.0249,111000,1.0249
2024-06-03,1.0317,1.0732,1.0055,1.0442,44800,1.0442
2024-06-04,1.0732,1.1216,1.0732,1.0829,50900,1.0829
2024-06-05,1.0829,1.1409,1.0636,1.1119,91000,1.1119
2024-06-06,1.1119,1.1796,1.1119,1.1506,207200,1.1506
2024-06-07,1.1989,1.1989,1.1216,1.1506,87800,1.1506
2024-06-10,1.1506,1.1699,1.1119,1.1216,50800,1.1216
2024-06-11,1.0926,1.1602,1.0926,1.1312,51200,1.1312
2024-06-12,1.1022,1.1216,1.0829,1.1216,42900,1.1216
2024-06-13,1.0848,1.1022,1.0636,1.0636,40900,1.0636
2024-06-14,1.0732,1.0829,1.0539,1.0684,57900,1.0684
2024-06-17,1.0404,1.0636,1.0297,1.0346,32300,1.0346
2024-06-18,1.0539,1.0539,0.9959,0.9959,24100,0.9959
2024-06-20,0.9959,1.0539,0.9959,1.0355,96800,1.0355
2024-06-21,1.0346,1.0539,0.9959,1.0055,19500,1.0055
2024-06-24,1.0539,1.0539,0.9968,1.0346,41500,1.0346
2024-06-25,1.0249,1.0259,0.9862,0.9959,60700,0.9959
2024-06-26,0.9959,1.0539,0.9862,0.9959,39300,0.9959
2024-06-27,0.9775,1.0152,0.9669,1.0055,46300,1.0055
2024-06-28,0.9765,1.0539,0.9669,1.0297,112900,1.0297
2024-07-01,1.0346,1.0394,0.9862,0.9862,40300,0.9862
2024-07-02,0.8702,0.9949,0.8605,0.9591,206900,0.9591
2024-07-03,0.9669,0.9949,0.9591,0.9717,25900,0.9717
2024-07-05,0.9379,0.9959,0.9379,0.9765,71900,0.9765
2024-07-08,0.9572,0.9862,0.9524,0.9765,27900,0.9765
2024-07-09,0.9475,1.0539,0.9475,1.0152,160800,1.0152
2024-07-10,1.0055,1.0152,0.9862,0.9959,23100,0.9959
2024-07-11,0.9968,1.0055,0.9862,0.9862,31100,0.9862
2024-07-12,1.0055,1.0055,0.9765,0.9862,33800,0.9862
2024-07-15,0.9185,0.9959,0.9185,0.9814,39900,0.9814
2024-07-16,0.9862,0.9862,0.8992,0.9282,103700,0.9282
2024-07-17,0.9282,0.9862,0.9089,0.935,206600,0.935
2024-07-18,0.9379,0.9475,0.9282,0.9379,27700,0.9379
2024-07-19,0.9379,0.963,0.9379,0.9379,6500,0.9379
2024-07-22,0.9379,0.964,0.9185,0.9282,22800,0.9282
2024-07-23,0.9282,0.9475,0.8847,0.9185,60000,0.9185
2024-07-24,0.9089,0.9543,0.9089,0.9089,18500,0.9089
2024-07-25,0.9089,0.933,0.9089,0.9089,55000,0.9089
2024-07-26,0.9118,0.934,0.9089,0.9089,31100,0.9089
2024-07-29,0.9089,0.9437,0.9089,0.9437,6600,0.9437
2024-07-30,0.9089,0.9379,0.9089,0.9185,14900,0.9185
2024-07-31,0.9185,0.9282,0.9089,0.9108,11300,0.9108
2024-08-01,0.8915,0.9234,0.8702,0.8712,49600,0.8712
2024-08-02,0.8702,0.8741,0.8325,0.8325,71000,0.8325
2024-08-05,0.8412,0.8412,0.8218,0.8267,68200,0.8267
2024-08-06,0.8663,0.8712,0.8334,0.847,3200,0.847
2024-08-07,0.8644,0.8702,0.8267,0.8315,19200,0.8315
2024-08-08,0.8218,0.8886,0.8218,0.8779,28600,0.8779
2024-08-09,0.9089,0.9089,0.8412,0.8412,14300,0.8412
2024-08-12,0.8218,0.8895,0.8035,0.8508,63300,0.8508
2024-08-13,0.8508,0.9359,0.8508,0.9282,88600,0.9282
2024-08-14,0.935,0.9475,0.8702,0.9475,19100,0.9475
2024-08-15,0.9379,0.9427,0.8315,0.8508,225700,0.8508
2024-08-16,0.8402,0.8508,0.8218,0.8315,82500,0.8315
2024-08-19,0.8412,0.8702,0.8218,0.8363,43900,0.8363
2024-08-20,0.8363,0.8895,0.7832,0.8363,122500,0.8363
2024-08-21,0.8595,0.8924,0.8334,0.8895,36300,0.8895
2024-08-22,0.9185,0.9282,0.8218,0.8518,152300,0.8518
2024-08-23,0.9089,0.9089,0.7832,0.816,321500,0.816
2024-08-26,0.8344,0.8702,0.7832,0.8122,69000,0.8122
2024-08-27,0.7928,0.9002,0.7928,0.8799,214700,0.8799
2024-08-28,0.8605,0.8702,0.8218,0.8566,28300,0.8566
2024-08-29,0.7928,0.8702,0.7928,0.8402,221800,0.8402
2024-08-30,0.8151,0.8508,0.8025,0.8247,39200,0.8247
2024-09-03,0.8035,0.8305,0.7832,0.8305,70300,0.8305
2024-09-04,0.8073,0.8209,0.7832,0.7841,88300,0.7841
2024-09-05,0.7851,0.8247,0.7832,0.8015,36700,0.8015
2024-09-06,0.8218,0.8344,0.7841,0.788,65000,0.788
2024-09-09,0.788,0.8035,0.7542,0.7542,90600,0.7542
2024-09-10,0.7551,0.8083,0.7551,0.7783,75600,0.7783
2024-09-11,0.7735,0.8189,0.7464,0.7977,53400,0.7977
