date,open,high,low,close,volume,adj_close
2024-05-20,6.9871,7.0743,6.9386,7.0355,379500,7.0355
2024-05-21,6.9774,7.0258,6.9192,6.9774,612400,6.9774
2024-05-22,6.9483,6.9871,6.8417,6.8611,455300,6.8611
2024-05-23,6.8611,6.8708,6.6479,6.7157,708500,6.7157
2024-05-24,6.7157,6.9095,6.6576,6.8805,920900,6.8805
2024-05-28,6.9095,7.0452,6.832,6.8902,940300,6.8902
2024-05-29,6.7836,6.8514,6.7157,6.832,517500,6.832
2024-05-30,6.8514,7.0065,6.8126,6.9677,675400,6.9677
2024-05-31,7.0106,7.1373,6.9911,7.0203,715400,7.0203
2024-06-03,7.0496,7.0886,6.9521,7.0008,562800,7.0008
2024-06-04,6.9423,7.0398,6.9326,6.9423,731800,6.9423
2024-06-05,6.9813,7.0788,6.9423,7.0691,498800,7.0691
2024-06-06,7.0008,7.1666,7.0008,7.1178,472400,7.1178
2024-06-07,7.0008,7.0886,6.9423,7.0008,750900,7.0008
2024-06-10,6.9618,7.1471,6.9618,7.0983,547700,7.0983
2024-06-11,7.0496,7.0886,6.9521,7.0301,662700,7.0301
2024-06-12,7.1276,7.1764,6.9228,6.9813,754700,6.9813
2024-06-13,6.9813,6.9911,6.7181,6.7668,905700,6.7668
2024-06-14,6.7376,6.7766,6.6498,6.7766,412800,6.7766
2024-06-17,6.7571,6.9131,6.7473,6.8936,751800,6.8936
2024-06-18,6.8351,6.8838,6.7863,6.7961,498700,6.7961
2024-06-20,6.8448,7.0008,6.8448,6.9033,764900,6.9033
2024-06-21,6.9033,6.9326,6.7376,6.8448,2716400,6.8448
2024-06-24,6.8546,6.9033,6.7863,6.8546,667900,6.8546
2024-06-25,6.8838,6.8838,6.7766,6.8156,492700,6.8156
2024-06-26,6.7766,6.7961,6.7376,6.7571,469900,6.7571
2024-06-27,6.7668,6.8936,6.7668,6.8448,393200,6.8448
2024-06-28,6.8741,6.9423,6.8643,6.9033,620500,6.9033
2024-07-01,6.9423,7.0008,6.7766,6.8156,263700,6.8156
2024-07-02,6.8156,6.8351,6.6693,6.7473,666600,6.7473
2024-07-03,6.7863,6.8448,6.7473,6.7668,233600,6.7668
2024-07-05,6.8253,6.8351,6.7473,6.7473,413600,6.7473
2024-07-08,6.7473,6.8253,6.7376,6.7473,367600,6.7473
2024-07-09,6.7473,6.7571,6.6498,6.6986,352600,6.6986
2024-07-10,6.7083,6.8741,6.7083,6.8448,556800,6.8448
2024-07-11,6.8838,7.1276,6.8838,7.0886,861300,7.0886
2024-07-12,7.1471,7.2544,7.1373,7.1861,660800,7.1861
2024-07-15,7.1764,7.1959,6.9716,7.0398,652700,7.0398
2024-07-16,7.0593,7.0788,6.9521,7.0593,669900,7.0593
2024-07-17,7.0203,7.3226,7.0106,7.2934,960700,7.2934
2024-07-18,7.2544,7.3616,7.0496,7.1178,721600,7.1178
2024-07-19,7.0788,7.0788,6.8546,6.8643,597700,6.8643
2024-07-22,6.9033,6.9423,6.7473,6.7571,881600,6.7571
2024-07-23,6.7571,6.8546,6.6108,6.7863,1013200,6.7863
2024-07-24,6.7766,7.2251,6.7668,7.0593,1054200,7.0593
2024-07-25,7.0983,7.2446,7.0203,7.1569,761400,7.1569
2024-07-26,7.1959,7.2836,7.0886,7.1373,828700,7.1373
2024-07-29,7.1666,7.2056,7.0886,7.1959,572500,7.1959
2024-07-30,7.1959,7.2251,7.1276,7.1764,692900,7.1764
2024-07-31,7.2446,7.4104,7.1471,7.3519,1195700,7.3519
2024-08-01,7.4591,7.9661,7.4299,7.9466,1738000,7.9466
2024-08-02,7.8589,7.9954,7.7711,7.8296,1383200,7.8296
2024-08-05,7.6834,7.6834,7.2154,7.4201,1052800,7.4201
2024-08-06,7.4494,8.0539,7.3909,8.0051,1499500,8.0051
2024-08-07,8.0636,8.1904,7.9076,7.9174,1258400,7.9174
2024-08-08,7.8979,8.0831,7.8589,7.8881,826500,7.8881
2024-08-09,7.8784,7.9759,7.7711,7.8491,665000,7.8491
2024-08-12,7.8686,7.9466,7.7809,7.9369,434400,7.9369
2024-08-13,7.9856,8.0539,7.8881,8.0344,538800,8.0344
2024-08-14,8.0441,8.1709,7.9954,8.1124,681600,8.1124
2024-08-15,8.1124,8.4049,8.0734,8.3172,1059800,8.3172
2024-08-16,8.2977,8.3172,8.1807,8.2197,816300,8.2197
2024-08-19,8.2392,8.2587,8.1611,8.2197,549500,8.2197
2024-08-20,8.2002,8.2294,8.1124,8.2197,640800,8.2197
2024-08-21,8.2197,8.2879,8.1904,8.2782,368600,8.2782
2024-08-22,8.2879,8.3464,8.2392,8.2977,478800,8.2977
2024-08-23,8.3854,8.6877,8.3854,8.5219,708500,8.5219
2024-08-26,8.5609,8.7852,8.5609,8.6974,1028300,8.6974
2024-08-27,8.6292,8.7852,8.5707,8.7657,936900,8.7657
2024-08-28,8.7949,8.7949,8.5902,8.6097,572800,8.6097
2024-08-29,8.6389,8.6682,8.5219,8.6487,708000,8.6487
2024-08-30,8.682,8.7016,8.5742,8.6232,321900,8.6232
2024-09-03,8.5742,8.5742,8.4272,8.4958,502100,8.4958
2024-09-04,8.5252,8.682,8.5154,8.682,597500,8.682
2024-09-05,8.78,8.8878,8.7408,8.78,730000,8.78
2024-09-06,8.7702,8.8388,8.6918,8.7506,481200,8.7506
2024-09-09,8.78,8.8878,8.7604,8.8682,446800,8.8682
2024-09-10,8.8682,8.9368,8.7898,8.9368,497800,8.9368
2024-09-11,8.9368,8.9662,8.8192,8.8486,441700,8.8486
2024-09-12,8.8682,8.9956,8.8388,8.9564,313600,8.9564
2024-09-13,8.976,8.976,8.8682,8.9368,632700,8.9368
2024-09-16,8.9368,9.0348,8.8976,9.025,480200,9.025
2024-09-17,9.0348,9.2601,8.9858,9.2405,718200,9.2405
2024-09-18,9.1915,9.3581,9.1034,9.1131,656300,9.1131
2024-09-19,9.1034,9.1425,8.927,9.1131,524000,9.1131
2024-09-20,9.1327,9.7011,9.0642,9.6031,1617300,9.6031
2024-09-23,9.7305,10.0049,9.6913,9.8579,1135600,9.8579
2024-09-24,9.8677,10.0539,9.8481,10.0147,798700,10.0147
2024-09-25,10.0833,10.1715,9.9461,10.1519,755300,10.1519
2024-09-26,10.1715,10.2988,10.0245,10.2792,1204500,10.2792
2024-09-27,10.2792,10.387,10.1323,10.1519,1087200,10.1519
2024-09-30,10.1519,10.2106,10.0539,10.1519,403600,10.1519
2024-10-01,10.1323,10.3968,10.1127,10.3674,1087500,10.3674
2024-10-02,10.3282,10.3674,10.1715,10.3282,1192900,10.3282
2024-10-03,10.3674,10.387,10.1225,10.2498,808500,10.2498
2024-10-04,10.2498,10.4654,10.1421,10.4556,661800,10.4556
2024-10-07,10.338,10.5144,10.191,10.24,1304200,10.24
2024-10-08,10.24,10.3086,10.1323,10.1421,658100,10.1421
2024-10-09,10.1421,10.1617,9.9657,9.9951,605000,9.9951
2024-10-10,9.9755,10.0735,9.9069,10.0441,731200,10.0441
2024-10-11,10.0441,10.2498,10.0441,10.1225,630700,10.1225
2024-10-14,10.0931,10.1225,9.9363,10.0539,396500,10.0539
2024-10-15,10.0539,10.0931,9.8775,10.0539,934600,10.0539
2024-10-16,10.1029,10.387,10.0637,10.3478,536900,10.3478
2024-10-17,10.3478,10.4262,10.24,10.2988,667600,10.2988
2024-10-18,10.2792,10.3772,10.2302,10.2694,461100,10.2694
2024-10-21,10.24,10.2792,10.0049,10.0735,518400,10.0735
2024-10-22,10.0441,10.1225,9.9461,10.0735,406800,10.0735
2024-10-23,10.0637,10.0735,9.8285,9.9363,905800,9.9363
2024-10-24,9.9559,10.0343,9.8677,9.9461,599800,9.9461
2024-10-25,9.9363,10.0343,9.8677,9.9559,447900,9.9559
2024-10-28,9.9755,10.0931,9.9559,10.0049,437400,10.0049
2024-10-29,9.9853,9.9951,9.7599,9.8873,628800,9.8873
2024-10-30,9.9559,10.387,9.9069,10.289,1043200,10.289
2024-10-31,10.2498,10.387,10.2106,10.2204,596600,10.2204
2024-11-01,10.2792,10.2792,10.0147,10.0637,880300,10.0637
2024-11-04,10.0735,10.2008,10.0441,10.0833,1071800,10.0833
2024-11-05,9.7991,10.8868,8.9956,10.8476,1581300,10.8476
2024-11-06,10.4556,10.6124,9.9069,10.2204,1412100,10.2204
2024-11-07,10.191,10.5242,10.0637,10.3282,2239400,10.3282
2024-11-08,10.2988,10.3282,10.0049,10.0931,642200,10.0931
2024-11-11,10.0637,10.1029,9.7795,9.8285,843000,9.8285
2024-11-12,9.8187,9.9853,9.7893,9.8089,647600,9.8089
2024-11-13,9.8383,9.9167,9.7697,9.7991,634100,9.7991
2024-11-14,9.8481,10.1813,9.7501,10.1617,925900,10.1617
2024-11-15,10.24,10.2988,9.8775,10.0539,1039700,10.0539
2024-11-18,10.0343,10.1421,9.9559,10.0931,567300,10.0931
2024-11-19,10.0735,10.1519,9.9559,10.1421,479700,10.1421
2024-11-20,10.1029,10.1421,10.0147,10.0735,469900,10.0735
2024-11-21,10.0735,10.7104,10.0441,10.7006,2408300,10.7006
2024-11-22,10.681,10.7496,10.5242,10.534,1181600,10.534
2024-11-25,10.3086,10.73,10.2596,10.5732,479000,10.5732
2024-11-26,10.4654,10.6908,10.4458,10.6516,672800,10.6516
2024-11-27,10.73,10.9064,10.534,10.8672,860300,10.8672
2024-11-29,10.8996,11.0964,10.8996,11.0767,256600,11.0767
2024-12-02,11.0177,11.48,10.9685,11.4013,1254700,11.4013
2024-12-03,11.4407,11.5194,11.2144,11.3423,1005200,11.3423
2024-12-04,11.4013,11.6178,11.2538,11.4899,891300,11.4899
2024-12-05,11.5096,12.6802,11.5096,12.5818,2571000,12.5818
2024-12-06,12.513,13.3196,12.326,13.2606,2921100,13.2606
2024-12-09,13.359,13.7426,12.7097,12.8179,1745600,12.8179
2024-12-10,12.8671,13.1622,12.6703,12.8966,1214200,12.8966
2024-12-11,12.8966,13.2803,12.8376,12.9753,778900,12.9753
2024-12-12,12.936,13.1229,12.8769,12.9261,905800,12.9261
2024-12-13,12.9851,13.2409,12.8277,13.172,1059900,13.172
2024-12-16,13.2212,13.7328,13.0737,13.6836,1304300,13.6836
2024-12-17,13.7426,14.1558,13.4081,14.0967,2061000,14.0967
2024-12-18,14.018,14.4017,13.6541,13.7328,2290500,13.7328
2024-12-19,13.6442,13.9394,13.4573,13.6836,1574300,13.6836
2024-12-20,13.5754,13.9394,13.5262,13.6246,2226900,13.6246
2024-12-23,13.6344,13.9689,13.6344,13.9394,1119400,13.9394
2024-12-24,14.0082,14.0377,13.7623,13.9689,377300,13.9689
2024-12-26,13.9689,14.1853,13.9492,14.018,340000,14.018
2024-12-27,14.0574,14.0771,13.8213,14.0082,579500,14.0082
2024-12-30,13.8902,14.1263,13.8213,14.0476,808500,14.0476
2024-12-31,14.0574,14.1853,13.841,13.9197,959200,13.9197
2025-01-02,13.9,13.9689,13.5852,13.8508,1379000,13.8508
2025-01-03,13.8213,14.1459,13.7721,13.959,1006200,13.959
2025-01-06,14.018,14.3624,13.4868,13.8311,3361600,13.8311
2025-01-07,13.7918,13.9885,13.2999,13.3885,1599900,13.3885
2025-01-08,13.1917,13.3098,12.572,13.0442,2792000,13.0442
2025-01-10,12.936,13.054,12.5818,13.0048,1488500,13.0048
2025-01-13,12.9655,13.0147,12.6212,12.749,1556000,12.749
2025-01-14,12.7786,12.9458,12.631,12.7982,1222300,12.7982
2025-01-15,13.0147,13.0835,12.8474,13.0048,1183400,13.0048
2025-01-16,13.0048,13.5459,12.9064,13.4672,2744000,13.4672
2025-01-17,13.4278,14.1754,13.4278,14.0574,1853100,14.0574
2025-01-21,14.3132,14.382,14.0869,14.205,1006100,14.205
2025-01-22,14.205,14.2837,13.536,13.5557,2263900,13.5557
2025-01-23,13.2999,13.6934,12.8277,13.2016,2611500,13.2016
2025-01-24,13.2803,13.418,13.1622,13.2507,1511400,13.2507
2025-01-27,12.7884,12.9458,10.3783,10.5258,4053400,10.5258
2025-01-28,10.6242,10.7029,10.1422,10.4471,1962300,10.4471
2025-01-29,10.4275,10.7816,10.3193,10.7423,3607500,10.7423
2025-01-30,10.7914,11.4702,10.7521,11.3522,1519000,11.3522
2025-01-31,11.3522,11.5391,11.2046,11.2931,1396700,11.2931
2025-02-03,10.8406,11.1653,10.6636,10.8996,1461900,10.8996
2025-02-04,10.9488,11.2341,10.8505,10.9783,1269200,10.9783
2025-02-05,11.0964,11.1062,10.6144,10.7226,2015700,10.7226
2025-02-06,10.7029,10.88,10.6144,10.6931,3320700,10.6931
2025-02-07,10.7127,10.7914,10.5357,10.6636,2899800,10.6636
2025-02-10,10.6734,10.7816,10.5553,10.575,2619200,10.575
2025-02-11,10.5062,10.5258,10.211,10.3881,2889100,10.3881
2025-02-12,10.2996,10.457,10.1619,10.2307,2250700,10.2307
2025-02-13,10.3389,10.4373,10.1127,10.2504,887400,10.2504
2025-02-14,10.2209,10.4275,10.2209,10.3586,815300,10.3586
2025-02-18,10.6439,10.6636,10.3684,10.4275,3043500,10.4275
2025-02-19,10.4176,10.4668,10.2602,10.3881,2637900,10.3881
2025-02-20,10.6045,11.2931,10.3684,11.0964,2358900,11.0964
2025-02-21,11.2046,11.4604,10.6931,10.7226,5543200,10.7226
2025-02-24,10.7029,10.7718,10.5062,10.6045,2492800,10.6045
2025-02-25,10.5652,10.8111,10.2602,10.4471,2274100,10.4471
2025-02-26,10.4963,10.7718,10.457,10.5652,1212900,10.5652
2025-02-27,10.6144,10.6242,9.9651,10.0143,1956700,10.0143
2025-02-28,10.0163,10.2435,9.9076,10.2138,3447300,10.2138
2025-03-03,10.2435,10.4311,9.878,9.9768,1619800,9.9768
2025-03-04,9.7792,9.8582,9.5619,9.5816,2133700,9.5816
2025-03-05,9.6607,9.8385,9.5816,9.7101,1455000,9.7101
2025-03-06,9.6212,9.6212,9.1766,9.2655,1726500,9.2655
2025-03-07,9.3149,9.4631,9.147,9.2063,2610600,9.2063
2025-03-10,9.0482,9.0976,8.4358,8.6531,2406900,8.6531
2025-03-11,8.7025,9.2853,8.584,9.2063,4193700,9.2063
2025-03-12,9.3248,9.7002,9.1865,9.5421,2665800,9.5421
2025-03-13,9.5224,9.6212,9.2655,9.2952,800600,9.2952
2025-03-14,9.3051,9.4335,9.2655,9.4137,1555900,9.4137
2025-03-17,9.4335,9.5816,9.3347,9.5718,1495100,9.5718
2025-03-18,9.4829,9.5421,9.2853,9.4532,793000,9.4532
2025-03-19,9.5125,9.6903,9.4137,9.6705,781700,9.6705
2025-03-20,9.6212,9.7397,9.6014,9.6607,560200,9.6607
2025-03-21,9.5421,9.7199,9.5026,9.6212,2183200,9.6212
2025-03-24,9.7101,9.8681,9.5816,9.6607,1351200,9.6607
2025-03-25,9.6409,9.7298,9.5224,9.7002,846600,9.7002
2025-03-26,9.7101,9.7594,9.4434,9.5026,835200,9.5026
2025-03-27,9.4335,9.5224,9.2655,9.2952,1019200,9.2952
2025-03-28,9.226,9.4829,9.226,9.3544,1124000,9.3544
2025-03-31,9.1865,9.2952,9.0779,9.2359,1524000,9.2359
2025-04-01,9.2359,9.394,9.068,9.3544,694000,9.3544
