date,open,high,low,close,volume,adj_close
2026-08-13 00:00:00,9.92,9.94,9.91,9.91,9702100,9.91
2026-08-14 00:00:00,9.92,9.93,9.89,9.89,998700,9.89
2026-08-17 00:00:00,9.9,9.91,9.9,9.9,807700,9.9
2026-08-18 00:00:00,9.9,9.92,9.9,9.92,225100,9.92
2026-08-19 00:00:00,9.9,9.92,9.9,9.9,235500,9.9
2026-08-20 00:00:00,9.9,9.91,9.9,9.91,286500,9.91
2026-08-21 00:00:00,9.95,9.95,9.91,9.91,905500,9.91
2026-08-24 00:00:00,9.91,9.91,9.9,9.9,12800,9.9
2026-08-25 00:00:00,9.91,9.92,9.91,9.92,6400,9.92
2026-08-26 00:00:00,9.94,9.95,9.92,9.95,82400,9.95
2026-08-27 00:00:00,9.95,9.95,9.93,9.93,2300,9.93
2026-08-28 00:00:00,9.93,9.935,9.92,9.93,104681,9.93
