date,open,high,low,close,volume,adj_close
2024-05-20,12.7,12.83,12.27,12.3,4139400,12.3
2024-05-21,12.05,12.23,11.785,11.83,4693800,11.83
2024-05-22,11.79,12.035,11.67,11.92,3589400,11.92
2024-05-23,11.9,11.91,11.4,11.45,4826500,11.45
2024-05-24,11.44,11.52,11.32,11.48,4399900,11.48
2024-05-28,11.5,11.58,11.22,11.36,3893000,11.36
2024-05-29,11.13,11.22,11.0,11.15,4389500,11.15
2024-05-30,11.17,11.41,11.14,11.29,3703100,11.29
2024-05-31,11.21,11.4,11.11,11.24,4272500,11.24
2024-06-03,11.47,11.57,10.925,11.08,4495100,11.08
2024-06-04,11.04,11.09,10.85,10.87,3603500,10.87
2024-06-05,10.92,11.04,10.74,10.98,3418400,10.98
2024-06-06,10.88,11.13,10.84,11.03,3281400,11.03
2024-06-07,10.84,10.87,10.63,10.64,4137200,10.64
2024-06-10,10.61,10.71,10.42,10.66,3895700,10.66
2024-06-11,10.55,10.665,10.4,10.44,3769000,10.44
2024-06-12,10.705,11.08,10.2,10.2,4684400,10.2
2024-06-13,10.27,10.31,9.835,9.95,5944700,9.95
2024-06-14,9.82,10.01,9.79,10.0,3955000,10.0
2024-06-17,9.85,10.165,9.72,10.11,5705300,10.11
2024-06-18,10.09,10.28,9.985,10.09,5038700,10.09
2024-06-20,10.0,10.05,9.59,9.65,6916700,9.65
2024-06-21,9.67,9.89,9.62,9.71,11312800,9.71
2024-06-24,9.68,10.85,9.66,10.36,10320600,10.36
2024-06-25,10.24,10.25,9.74,9.75,8031100,9.75
2024-06-26,9.74,10.18,9.693,10.15,6409500,10.15
2024-06-27,10.08,10.23,9.79,10.14,7215400,10.14
2024-06-28,10.13,10.14,9.665,9.78,31542800,9.78
2024-07-01,9.8,9.94,9.31,9.32,6343800,9.32
2024-07-02,9.27,9.58,9.23,9.4,4901100,9.4
2024-07-03,9.4,9.46,9.22,9.23,2620300,9.23
2024-07-05,9.23,9.32,9.07,9.21,3843500,9.21
2024-07-08,9.26,9.32,9.08,9.26,4666900,9.26
2024-07-09,9.2,9.28,9.07,9.15,4587000,9.15
2024-07-10,9.17,9.18,8.73,8.95,7070500,8.95
2024-07-11,9.2,9.5,9.15,9.37,5805500,9.37
2024-07-12,9.48,9.609,9.185,9.39,5234100,9.39
2024-07-15,9.45,9.63,9.245,9.26,5068700,9.26
2024-07-16,9.41,10.13,9.41,10.09,9250900,10.09
2024-07-17,10.01,10.66,9.88,10.03,8493600,10.03
2024-07-18,10.02,10.3,9.29,9.31,7496100,9.31
