date,open,high,low,close,volume,adj_close
2024-06-04,1.99,2.01,1.88,1.89,569300,1.89
2024-06-05,1.89,1.98,1.82,1.93,623800,1.93
2024-06-06,1.9,1.95,1.86,1.88,588900,1.88
2024-06-07,1.84,1.885,1.815,1.82,273300,1.82
2024-06-10,1.79,1.92,1.79,1.91,539100,1.91
2024-06-11,1.91,1.94,1.88,1.89,441500,1.89
2024-06-12,1.92,1.97,1.905,1.92,383800,1.92
2024-06-13,1.91,1.93,1.88,1.89,159900,1.89
2024-06-14,1.86,1.92,1.775,1.8,403000,1.8
2024-06-17,1.79,1.86,1.75,1.76,454600,1.76
2024-06-18,1.76,1.76,1.67,1.67,388500,1.67
2024-06-20,1.67,1.69,1.64,1.65,478000,1.65
2024-06-21,1.65,1.685,1.6,1.62,1019300,1.62
2024-06-24,1.61,1.61,1.58,1.6,259000,1.6
2024-06-25,1.59,1.67,1.575,1.63,341700,1.63
2024-06-26,1.62,1.67,1.595,1.65,505300,1.65
2024-06-27,1.65,1.73,1.63,1.68,441000,1.68
2024-06-28,1.68,1.73,1.61,1.7,1464300,1.7
2024-07-01,1.7,1.72,1.62,1.63,350600,1.63
2024-07-02,1.64,1.64,1.58,1.59,247700,1.59
2024-07-03,1.6,1.66,1.59,1.65,150200,1.65
2024-07-05,1.65,1.71,1.63,1.7,256100,1.7
2024-07-08,1.7,1.71,1.68,1.7,149700,1.7
2024-07-09,1.69,1.76,1.65,1.75,175700,1.75
2024-07-10,1.77,1.77,1.65,1.66,257100,1.66
2024-07-11,1.71,1.79,1.68,1.77,380400,1.77
2024-07-12,1.8,1.825,1.76,1.77,393800,1.77
2024-07-15,1.78,1.845,1.76,1.84,478600,1.84
2024-07-16,1.86,1.92,1.86,1.9,580300,1.9
2024-07-17,1.89,2.03,1.89,2.03,849300,2.03
2024-07-18,2.03,2.09,1.96,2.04,780500,2.04
2024-07-19,2.02,2.02,1.93,1.93,309900,1.93
2024-07-22,1.93,2.04,1.93,2.02,194700,2.02
2024-07-23,1.99,2.05,1.96,1.98,317100,1.98
2024-07-24,1.97,2.01,1.93,1.97,285900,1.97
2024-07-25,1.99,2.04,1.96,2.03,326300,2.03
2024-07-26,2.02,2.1,1.99,2.09,308900,2.09
2024-07-29,2.08,2.1,2.015,2.03,257300,2.03
2024-07-30,2.05,2.11,2.01,2.1,262900,2.1
2024-07-31,2.08,2.17,2.079,2.1,392100,2.1
2024-08-01,2.0,2.11,1.97,2.05,492300,2.05
2024-08-02,1.98,2.03,1.81,1.835,258200,1.835
2024-08-05,1.71,1.76,1.65,1.73,728600,1.73
2024-08-06,1.43,1.47,0.61,0.645,8106100,0.645
