date,open,high,low,close,volume,adj_close
2024-05-20,8.8372,8.8667,8.6507,8.7685,277700,8.7685
2024-05-21,8.7881,9.122,8.6801,9.0042,234200,9.0042
2024-05-22,8.9845,8.9845,8.3561,8.4739,245800,8.4739
2024-05-23,8.6016,8.6605,8.0615,8.091,201900,8.091
2024-05-24,8.199,8.3855,8.0026,8.0812,269800,8.0812
2024-05-28,8.1793,8.415,8.0713,8.1302,252900,8.1302
2024-05-29,8.0812,8.3561,8.0026,8.2874,190200,8.2874
2024-05-30,8.415,8.8274,8.3561,8.6899,482400,8.6899
2024-05-31,8.7292,8.8863,8.4248,8.6016,741100,8.6016
2024-06-03,8.5721,8.6114,8.0419,8.1695,183600,8.1695
2024-06-04,8.0615,8.091,7.6197,7.7473,322600,7.7473
2024-06-05,7.7375,7.924,7.6098,7.6589,336700,7.6589
2024-06-06,7.7277,7.7277,7.2956,7.3644,288100,7.3644
2024-06-07,7.2956,7.4527,7.0403,7.0403,185000,7.0403
2024-06-10,7.0207,7.2367,6.6967,7.168,301700,7.168
2024-06-11,7.0698,7.1582,6.9814,7.001,121800,7.001
2024-06-12,7.1483,7.2465,6.9225,6.9323,252400,6.9323
2024-06-13,7.3153,7.4822,7.0109,7.2858,401300,7.2858
2024-06-14,7.2956,7.5018,7.2269,7.3349,175800,7.3349
2024-06-17,7.276,7.4135,7.0796,7.2662,261900,7.2662
2024-06-18,7.2662,7.4429,7.1483,7.2269,172700,7.2269
2024-06-20,7.1582,7.276,6.7457,6.9029,413900,6.9029
2024-06-21,6.9029,6.9127,6.5297,6.7654,264500,6.7654
2024-06-24,6.8145,6.9814,6.7654,6.9225,125000,6.9225
2024-06-25,6.8341,7.1091,6.8341,7.0207,125100,7.0207
2024-06-26,7.0207,7.0501,6.677,6.7752,216800,6.7752
2024-06-27,7.0109,7.3251,6.7948,7.3153,177600,7.3153
2024-06-28,7.3644,7.4036,7.0796,7.0992,134600,7.0992
2024-07-01,7.0698,7.1287,6.7261,6.7261,195400,6.7261
2024-07-02,6.7457,6.893,6.6377,6.7752,295700,6.7752
2024-07-03,6.7752,7.0305,6.6967,6.893,135000,6.893
2024-07-05,6.893,6.952,6.7261,6.7654,121600,6.7654
2024-07-08,6.785,6.8636,6.6476,6.8439,183800,6.8439
2024-07-09,6.7163,7.2563,6.7163,7.0698,203400,7.0698
2024-07-10,7.0796,7.3054,7.0501,7.0992,202000,7.0992
2024-07-11,7.276,7.276,7.0894,7.1483,140200,7.1483
2024-07-12,7.1974,7.2072,6.9421,7.0403,68000,7.0403
2024-07-15,7.1189,7.168,6.6574,6.7556,273600,6.7556
2024-07-16,6.7752,6.8243,6.6083,6.7065,312100,6.7065
2024-07-17,6.6181,6.7261,6.5886,6.6181,201300,6.6181
2024-07-18,6.5788,6.7163,6.4119,6.4315,135800,6.4315
2024-07-19,6.4119,6.6476,6.3923,6.4905,152400,6.4905
2024-07-22,6.5101,6.6279,6.5101,6.5297,87400,6.5297
2024-07-23,6.4806,6.6868,6.4414,6.5985,144800,6.5985
2024-07-24,6.5788,6.6083,6.3824,6.3824,169200,6.3824
2024-07-25,6.3923,6.4708,6.2352,6.2352,116100,6.2352
2024-07-26,6.2843,6.3628,6.1664,6.2057,149100,6.2057
