date,open,high,low,close,volume,adj_close
2024-05-20,34.9,35.42,34.75,34.83,183500,34.83
2024-05-21,34.83,35.39,34.83,35.31,111600,35.31
2024-05-22,35.13,35.64,35.1,35.54,200300,35.54
2024-05-23,35.8,35.93,34.29,34.7,204000,34.7
2024-05-24,35.02,35.84,34.6,35.68,193800,35.68
2024-05-28,35.72,35.84,34.88,34.88,334600,34.88
2024-05-29,34.4,35.15,33.5,33.69,276200,33.69
2024-05-30,34.59,35.42,34.1,34.84,230800,34.84
2024-05-31,34.75,34.8,33.12,33.76,189700,33.76
2024-06-03,34.33,34.33,31.86,32.2,302700,32.2
2024-06-04,31.95,31.99,31.14,31.22,176900,31.22
2024-06-05,31.4,31.4,30.55,30.61,185400,30.61
2024-06-06,30.56,30.89,30.19,30.5,172700,30.5
2024-06-07,30.27,30.6,29.76,30.15,214400,30.15
2024-06-10,30.01,30.8,29.65,30.62,161900,30.62
2024-06-11,30.39,30.59,30.01,30.1,133800,30.1
2024-06-12,31.08,31.41,30.85,30.86,154100,30.86
2024-06-13,30.7,30.89,30.15,30.59,182100,30.59
2024-06-14,30.16,30.36,28.86,29.0,198100,29.0
2024-06-17,28.95,29.41,28.57,29.18,116700,29.18
2024-06-18,29.09,29.29,28.7,28.85,127200,28.85
2024-06-20,28.58,29.15,28.58,29.14,203200,29.14
2024-06-21,29.13,29.27,28.72,28.85,280700,28.85
2024-06-24,28.93,29.84,28.93,29.59,223700,29.59
2024-06-25,29.32,29.95,29.03,29.91,271100,29.91
2024-06-26,29.91,30.31,29.91,30.07,200300,30.07
2024-06-27,30.23,30.68,30.13,30.36,149800,30.36
2024-06-28,30.77,31.17,30.3,30.76,617700,30.76
2024-07-01,30.8,30.8,29.7,29.74,157500,29.74
2024-07-02,29.76,30.13,29.75,30.03,114900,30.03
2024-07-03,30.24,30.41,29.92,30.07,47600,30.07
2024-07-05,30.0,30.07,29.17,29.24,89700,29.24
2024-07-08,29.55,29.83,29.16,29.2,114800,29.2
2024-07-09,29.2,29.43,28.99,29.21,91200,29.21
2024-07-10,29.37,29.45,28.95,29.38,93400,29.38
2024-07-11,30.21,31.01,29.87,30.45,153200,30.45
2024-07-12,30.98,31.53,30.71,30.73,109000,30.73
2024-07-15,31.17,32.38,30.96,31.87,235400,31.87
2024-07-16,32.19,34.13,32.18,34.05,181200,34.05
2024-07-17,33.78,34.14,33.0,33.38,204300,33.38
2024-07-18,33.07,34.36,32.26,32.69,137300,32.69
2024-07-19,32.84,32.85,32.33,32.48,112600,32.48
2024-07-22,32.47,32.86,31.94,32.76,164600,32.76
2024-07-23,32.6,33.8,32.27,33.4,161900,33.4
2024-07-24,33.0,33.58,32.43,32.5,120900,32.5
2024-07-25,32.54,33.19,32.08,32.83,155400,32.83
2024-07-26,33.67,33.74,32.7,33.32,126200,33.32
2024-07-29,33.43,33.73,32.3,32.32,84200,32.32
2024-07-30,32.57,32.97,32.0,32.42,74100,32.42
2024-07-31,32.74,33.7,32.14,32.81,126400,32.81
2024-08-01,32.66,32.94,30.45,31.19,179100,31.19
2024-08-02,29.81,29.94,29.12,29.81,143600,29.81
2024-08-05,28.21,29.12,27.83,29.07,226900,29.07
2024-08-06,29.02,29.61,28.77,29.18,147600,29.18
2024-08-07,30.0,31.74,29.12,29.15,269100,29.15
2024-08-08,29.38,29.64,28.53,29.12,204300,29.12
2024-08-09,29.09,29.2,28.15,28.39,141400,28.39
2024-08-12,28.32,28.32,27.45,28.2,178000,28.2
2024-08-13,28.53,29.15,28.13,28.92,90200,28.92
2024-08-14,29.15,29.5,28.72,29.27,105000,29.27
2024-08-15,30.09,30.13,29.64,29.7,77400,29.7
2024-08-16,29.7,30.16,29.55,29.65,79300,29.65
2024-08-19,29.78,30.06,29.5,29.85,69500,29.85
2024-08-20,29.9,29.91,29.02,29.36,86500,29.36
2024-08-21,29.64,29.92,29.5,29.82,71400,29.82
2024-08-22,29.72,30.3,29.58,29.81,48300,29.81
2024-08-23,30.13,31.22,29.99,30.79,82900,30.79
2024-08-26,31.16,31.35,30.49,30.62,78700,30.62
2024-08-27,30.54,30.74,30.25,30.45,57400,30.45
2024-08-28,30.45,30.68,30.24,30.24,73200,30.24
2024-08-29,30.57,31.04,29.9,30.91,88400,30.91
2024-08-30,30.84,31.52,30.83,31.43,131400,31.43
2024-09-03,31.01,31.01,28.98,29.03,145900,29.03
2024-09-04,28.98,29.11,28.48,28.74,111100,28.74
2024-09-05,28.93,28.93,28.24,28.61,102100,28.61
2024-09-06,28.71,28.81,27.55,27.7,112600,27.7
2024-09-09,27.86,28.12,27.55,27.64,85000,27.64
2024-09-10,27.83,27.83,27.01,27.31,110500,27.31
2024-09-11,27.01,27.93,26.5,27.79,168700,27.79
2024-09-12,28.11,28.63,27.74,28.13,68200,28.13
2024-09-13,28.65,29.14,28.3,28.85,69100,28.85
2024-09-16,29.13,29.3,28.87,28.93,65300,28.93
2024-09-17,29.38,30.39,29.33,29.89,126700,29.89
2024-09-18,29.75,30.65,29.63,30.0,188400,30.0
2024-09-19,30.93,30.99,30.31,30.75,111200,30.75
2024-09-20,30.35,31.11,29.98,29.99,387900,29.99
2024-09-23,30.06,30.31,29.69,29.82,68600,29.82
2024-09-24,29.8,29.85,29.51,29.56,88500,29.56
2024-09-25,29.63,29.63,28.75,28.77,121000,28.77
2024-09-26,29.38,29.4,28.88,29.2,102500,29.2
2024-09-27,29.53,29.99,29.24,29.85,95500,29.85
2024-09-30,29.66,30.2,29.37,29.84,203200,29.84
2024-10-01,29.86,29.86,29.25,29.49,79300,29.49
2024-10-02,29.27,29.51,28.96,28.98,75200,28.98
2024-10-03,28.72,28.72,28.19,28.4,105000,28.4
2024-10-04,28.6,28.8,28.44,28.56,107300,28.56
2024-10-07,28.3,28.62,28.15,28.54,173300,28.54
2024-10-08,28.67,28.67,28.13,28.38,77400,28.38
2024-10-09,28.35,29.02,28.35,28.44,56500,28.44
2024-10-10,28.06,28.48,27.84,28.28,74700,28.28
2024-10-11,28.2,28.83,28.2,28.8,69200,28.8
2024-10-14,28.68,28.97,28.54,28.79,60300,28.79
2024-10-15,28.83,29.24,28.47,28.63,78700,28.63
2024-10-16,29.01,29.36,28.73,28.95,182500,28.95
2024-10-17,29.04,29.05,28.76,29.01,104100,29.01
2024-10-18,29.13,29.18,28.35,28.37,63200,28.37
2024-10-21,28.32,28.5,27.98,28.08,91900,28.08
2024-10-22,28.05,28.13,27.61,27.63,137600,27.63
2024-10-23,27.55,27.99,27.27,27.66,78000,27.66
2024-10-24,27.68,27.78,26.75,26.98,132800,26.98
2024-10-25,27.26,27.43,26.78,26.9,209700,26.9
2024-10-28,27.0,27.72,26.85,27.54,117800,27.54
2024-10-29,27.23,27.5,26.76,26.79,96600,26.79
2024-10-30,26.65,27.06,26.38,26.61,202700,26.61
2024-10-31,26.66,26.73,26.11,26.21,113800,26.21
2024-11-01,26.34,26.84,26.05,26.41,187800,26.41
2024-11-04,26.46,26.89,26.19,26.22,139800,26.22
2024-11-05,26.17,27.0,26.14,26.95,181700,26.95
2024-11-06,28.6,29.89,28.6,29.44,360800,29.44
2024-11-07,25.83,29.25,25.83,29.03,305000,29.03
2024-11-08,29.2,29.2,27.1,28.45,370600,28.45
2024-11-11,28.77,29.75,28.59,29.44,237100,29.44
2024-11-12,29.37,29.64,28.83,29.46,348200,29.46
2024-11-13,29.85,30.7,29.58,29.89,217100,29.89
2024-11-14,30.12,30.13,29.34,29.61,169100,29.61
2024-11-15,29.79,29.79,28.84,29.71,161900,29.71
2024-11-18,29.89,30.89,29.77,30.78,286600,30.78
2024-11-19,30.45,30.96,30.3,30.77,390600,30.77
2024-11-20,30.59,30.85,29.79,30.84,288900,30.84
2024-11-21,31.0,31.56,30.45,31.18,211500,31.18
2024-11-22,31.41,31.99,31.0,31.97,223500,31.97
2024-11-25,32.11,32.6,31.76,32.24,274500,32.24
2024-11-26,32.23,32.57,31.42,31.73,282300,31.73
2024-11-27,31.83,32.17,31.3,31.7,209300,31.7
2024-11-29,31.88,32.12,31.47,31.56,98300,31.56
2024-12-02,31.74,32.58,31.47,32.16,202000,32.16
2024-12-03,32.21,32.4,31.77,31.93,156100,31.93
2024-12-04,31.96,32.55,31.66,31.91,166300,31.91
2024-12-05,31.85,32.52,31.58,32.05,176600,32.05
2024-12-06,32.39,32.9,31.62,31.97,220300,31.97
2024-12-09,32.13,32.56,31.63,31.63,142100,31.63
2024-12-10,31.71,32.23,30.95,31.92,244900,31.92
2024-12-11,32.91,33.25,32.32,32.32,240300,32.32
2024-12-12,32.38,32.55,31.76,32.03,278300,32.03
2024-12-13,31.78,32.25,31.48,32.0,190700,32.0
2024-12-16,31.79,32.23,31.39,31.65,156600,31.65
2024-12-17,31.47,31.5,30.6,30.6,189700,30.6
2024-12-18,30.99,31.09,29.23,29.39,179000,29.39
2024-12-19,29.7,30.04,28.78,29.09,247700,29.09
2024-12-20,28.6,29.54,28.49,28.71,310500,28.71
2024-12-23,28.67,28.94,28.33,28.62,104200,28.62
2024-12-24,28.59,28.91,28.38,28.85,123900,28.85
2024-12-26,28.8,29.14,28.75,29.04,60800,29.04
2024-12-27,28.72,29.01,28.18,28.62,148600,28.62
2024-12-30,28.44,28.75,28.19,28.48,104200,28.48
2024-12-31,28.78,29.15,28.52,28.77,97700,28.77
2025-01-02,28.96,29.2,28.32,28.5,97900,28.5
2025-01-03,28.5,29.34,28.48,29.31,137900,29.31
2025-01-06,29.39,29.7,29.05,29.15,149600,29.15
2025-01-07,29.23,29.24,28.67,28.82,101100,28.82
2025-01-08,28.52,28.87,28.08,28.61,83900,28.61
2025-01-10,28.34,28.34,27.36,27.65,156000,27.65
2025-01-13,27.17,28.43,27.17,28.27,112700,28.27
2025-01-14,28.57,29.08,28.17,28.61,129100,28.61
2025-01-15,29.4,29.6,28.9,28.95,82100,28.95
2025-01-16,28.83,29.22,28.77,29.17,106200,29.17
2025-01-17,29.56,29.78,29.02,29.34,135700,29.34
2025-01-21,29.75,30.46,29.56,29.87,105600,29.87
2025-01-22,29.88,30.61,29.76,29.89,105200,29.89
2025-01-23,29.71,30.17,29.71,29.94,101200,29.94
2025-01-24,29.95,30.08,29.42,29.51,90200,29.51
2025-01-27,29.25,29.37,28.77,28.98,151200,28.98
2025-01-28,29.04,29.06,27.89,28.04,152500,28.04
2025-01-29,28.06,28.49,27.95,28.46,154500,28.46
2025-01-30,28.81,29.0,27.94,28.15,124100,28.15
2025-01-31,28.22,28.25,27.66,27.68,203100,27.68
2025-02-03,26.89,27.47,26.45,27.29,181300,27.29
2025-02-04,27.14,27.48,27.08,27.17,180200,27.17
2025-02-05,27.3,27.33,26.88,26.95,192500,26.95
2025-02-06,28.87,29.96,25.76,26.52,312000,26.52
2025-02-07,26.58,27.84,26.05,27.52,304900,27.52
2025-02-10,27.72,28.98,27.05,28.54,273100,28.54
2025-02-11,28.3,30.44,28.3,30.43,278400,30.43
2025-02-12,29.8,29.83,29.05,29.41,208800,29.41
2025-02-13,29.73,30.15,29.26,29.95,124000,29.95
2025-02-14,30.19,30.32,29.58,29.81,170100,29.81
2025-02-18,30.0,30.13,29.57,29.76,186900,29.76
2025-02-19,29.49,29.88,29.07,29.6,211400,29.6
2025-02-20,29.49,29.92,28.99,29.63,166200,29.63
2025-02-21,29.94,29.94,28.72,28.8,227900,28.8
2025-02-24,28.91,28.96,28.39,28.41,228600,28.41
2025-02-25,28.57,29.63,28.57,29.54,228000,29.54
2025-02-26,30.01,30.55,29.91,29.96,354400,29.96
2025-02-27,29.89,30.03,29.1,29.32,195200,29.32
2025-02-28,29.27,29.51,29.01,29.5,237300,29.5
2025-03-03,29.53,29.92,28.62,28.64,203200,28.64
2025-03-04,28.19,28.95,28.08,28.42,560200,28.42
2025-03-05,28.37,28.6,27.59,28.14,191600,28.14
2025-03-06,27.85,28.09,27.5,28.04,274800,28.04
2025-03-07,28.04,28.57,27.72,28.54,266700,28.54
2025-03-10,28.11,28.74,28.11,28.36,274300,28.36
2025-03-11,28.4,29.25,28.36,29.22,287200,29.22
2025-03-12,29.44,29.51,28.29,28.81,220700,28.81
2025-03-13,28.87,28.94,28.4,28.41,260900,28.41
2025-03-14,28.73,29.62,28.46,29.6,322200,29.6
2025-03-17,29.51,29.73,29.43,29.73,129600,29.73
2025-03-18,29.57,30.04,29.38,29.89,181300,29.89
2025-03-19,30.02,30.4,29.6,29.95,186400,29.95
2025-03-20,29.52,30.04,29.44,29.85,169900,29.85
2025-03-21,29.45,29.77,29.02,29.31,317800,29.31
2025-03-24,29.67,30.53,29.54,30.46,215200,30.46
2025-03-25,30.34,30.7,29.95,30.28,213700,30.28
2025-03-26,30.39,30.65,29.13,29.48,129500,29.48
2025-03-27,29.55,29.55,28.53,28.95,122500,28.95
2025-03-28,28.82,29.16,27.93,28.4,119400,28.4
2025-03-31,27.95,28.14,27.63,27.85,242000,27.85
2025-04-01,27.64,28.26,27.64,28.14,201100,28.14
2025-04-02,27.7,28.96,27.7,28.83,201300,28.83
2025-04-03,27.39,27.53,25.89,25.97,174700,25.97
2025-04-04,24.68,25.22,24.1,25.06,237400,25.06
2025-04-07,24.07,26.1,23.47,24.59,328900,24.59
2025-04-08,25.47,25.76,23.28,23.6,201300,23.6
2025-04-09,23.4,25.78,23.05,25.4,388700,25.4
2025-04-10,24.66,25.07,23.94,24.41,151800,24.41
2025-04-11,24.17,25.0,23.96,24.86,131200,24.86
2025-04-14,25.3,25.56,24.61,24.9,98500,24.9
2025-04-15,24.77,25.36,24.77,25.01,94300,25.01
2025-04-16,24.9,25.05,24.34,24.82,128900,24.82
2025-04-17,24.8,25.13,24.57,24.91,118800,24.91
2025-04-21,24.67,24.69,23.88,24.08,110700,24.08
2025-04-22,24.52,25.16,24.11,25.02,132600,25.02
2025-04-23,25.98,26.24,25.36,25.46,143200,25.46
2025-04-24,25.5,26.23,25.5,26.19,116100,26.19
2025-04-25,25.99,26.38,25.73,26.28,81900,26.28
2025-04-28,26.16,26.55,25.81,26.07,94200,26.07
2025-04-29,25.93,26.76,25.8,26.5,135600,26.5
2025-04-30,26.17,26.24,25.51,26.23,162600,26.23
2025-05-01,26.39,27.03,25.71,26.75,138900,26.75
2025-05-02,27.12,27.8,26.74,27.66,97600,27.66
2025-05-05,27.3,27.81,27.27,27.52,79300,27.52
2025-05-06,27.3,27.85,27.21,27.53,128600,27.53
2025-05-07,27.89,27.94,27.23,27.66,114200,27.66
2025-05-08,28.08,28.83,27.75,28.48,111000,28.48
2025-05-09,28.62,28.76,28.34,28.68,103000,28.68
2025-05-12,30.19,30.19,29.6,30.04,152400,30.04
2025-05-13,30.3,30.73,30.02,30.51,178000,30.51
2025-05-14,30.3,30.39,29.51,29.97,304600,29.97
2025-05-15,29.85,30.38,29.78,30.31,149500,30.31
2025-05-16,30.34,30.54,29.5,30.15,197100,30.15
2025-05-19,29.75,30.19,29.71,30.13,138500,30.13
2025-05-20,29.93,30.08,29.63,29.7,114900,29.7
2025-05-21,29.21,29.43,28.82,29.12,195700,29.12
2025-05-22,28.54,30.17,28.54,28.87,282100,28.87
2025-05-23,27.98,28.24,26.0,26.48,378700,26.48
2025-05-27,27.03,27.12,26.61,27.12,231500,27.12
2025-05-28,26.94,27.08,25.58,25.76,298200,25.76
2025-05-29,26.11,26.8,25.82,26.5,265800,26.5
2025-05-30,26.27,26.58,25.87,25.94,239000,25.94
2025-06-02,25.95,26.07,25.5,25.87,350500,25.87
2025-06-03,26.02,26.75,25.81,26.6,501200,26.6
2025-06-04,26.6,27.28,26.56,27.03,243900,27.03
2025-06-05,27.03,27.37,26.82,27.24,253600,27.24
2025-06-06,27.72,28.09,27.57,27.79,215400,27.79
2025-06-09,27.95,28.32,27.5,27.86,329300,27.86
2025-06-10,27.93,28.1,27.6,27.75,246100,27.75
2025-06-11,28.06,28.26,27.71,27.97,239000,27.97
2025-06-12,27.67,28.01,27.4,27.98,218100,27.98
2025-06-13,27.63,27.74,26.92,27.02,155000,27.02
2025-06-16,27.3,27.56,27.23,27.38,158600,27.38
2025-06-17,27.2,27.7,27.11,27.16,200300,27.16
2025-06-18,27.0,27.6,27.0,27.27,178900,27.27
2025-06-20,27.43,27.46,26.95,27.03,283700,27.03
2025-06-23,26.9,27.43,26.8,27.33,184100,27.33
2025-06-24,27.55,27.7,27.29,27.45,118400,27.45
2025-06-25,27.45,28.03,27.03,27.08,114200,27.08
2025-06-26,27.15,28.15,26.88,28.14,169100,28.14
2025-06-27,28.21,28.56,28.04,28.21,273000,28.21
2025-06-30,28.27,28.7,27.66,28.08,132700,28.08
2025-07-01,27.89,28.86,27.53,28.61,156200,28.61
2025-07-02,28.77,28.94,28.44,28.94,200700,28.94
2025-07-03,29.13,29.27,29.05,29.12,62900,29.12
2025-07-07,28.76,29.19,28.22,28.29,110200,28.29
2025-07-08,28.43,28.72,28.21,28.21,129400,28.21
2025-07-09,28.46,28.64,28.12,28.47,133500,28.47
2025-07-10,28.38,28.94,28.35,28.46,129400,28.46
2025-07-11,28.18,28.32,27.88,28.18,149100,28.18
2025-07-14,28.0,28.09,27.55,28.06,126900,28.06
2025-07-15,28.23,28.29,27.6,27.6,104700,27.6
2025-07-16,27.7,27.82,27.09,27.64,135300,27.64
