date,open,high,low,close,volume,adj_close
2024-05-20 00:00:00,39.96,40.1,39.69,39.74,609451,39.74
2024-05-21 00:00:00,39.6,39.655,38.761,38.96,610068,38.96
2024-05-22 00:00:00,38.59,38.71,37.805,38.23,689262,38.23
2024-05-23 00:00:00,38.43,38.43,37.69,37.98,716768,37.98
2024-05-24 00:00:00,38.5,38.56,38.075,38.32,588157,38.32
2024-05-28 00:00:00,38.45,38.69,37.79,37.88,559418,37.88
2024-05-29 00:00:00,37.34,37.82,37.21,37.38,641801,37.38
2024-05-30 00:00:00,37.71,38.15,37.66,38.14,614557,38.14
2024-05-31 00:00:00,38.31,38.79,38.24,38.73,638468,38.73
2024-06-03 00:00:00,39.03,39.08,38.63,38.85,517708,38.85
2024-06-04 00:00:00,38.42,38.94,37.81,37.82,1030306,37.82
2024-06-05 00:00:00,38.14,38.55,37.67,38.49,535500,38.49
2024-06-06 00:00:00,38.3,38.555,38.19,38.33,416131,38.33
2024-06-07 00:00:00,37.59,37.59,36.85,37.33,901167,37.33
2024-06-10 00:00:00,36.85,37.52,36.695,37.47,619248,37.47
2024-06-11 00:00:00,37.2,37.22,36.66,36.96,731116,36.96
2024-06-12 00:00:00,38.53,39.81,37.85,38.19,845025,38.19
2024-06-13 00:00:00,37.9,38.139,37.47,37.96,678625,37.96
2024-06-14 00:00:00,37.2,37.5592,37.025,37.53,481607,37.53
2024-06-17 00:00:00,37.54,37.91,37.435,37.89,710737,37.89
2024-06-18 00:00:00,37.7,37.86,36.959,37.11,734295,37.11
2024-06-20 00:00:00,37.07,37.4,36.74,37.01,586776,37.01
2024-06-21 00:00:00,36.96,37.26,36.37,37.14,2636654,37.14
2024-06-24 00:00:00,37.19,38.09,37.13,37.74,655824,37.74
2024-06-25 00:00:00,37.61,37.61,36.49,36.86,615284,36.86
2024-06-26 00:00:00,36.59,36.86,36.47,36.67,647364,36.67
2024-06-27 00:00:00,36.7,36.91,36.46,36.86,686109,36.86
2024-06-28 00:00:00,37.23,37.47,36.87,37.25,1971960,37.25
2024-07-01 00:00:00,37.39,37.42,36.11,36.4,815434,36.4
2024-07-02 00:00:00,36.18,36.45,35.86,36.33,705608,36.33
2024-07-03 00:00:00,36.32,36.9,36.145,36.48,477267,36.48
2024-07-05 00:00:00,36.4,36.59,35.89,36.06,584675,36.06
2024-07-08 00:00:00,36.44,36.78,36.21,36.65,609620,36.65
2024-07-09 00:00:00,36.49,37.3,36.43,36.63,782901,36.63
2024-07-10 00:00:00,36.98,37.56,36.8825,37.32,680243,37.32
2024-07-11 00:00:00,38.54,40.57,38.54,40.42,931425,40.42
2024-07-12 00:00:00,41.0,41.915,40.86,41.18,1090984,41.18
2024-07-15 00:00:00,41.57,42.44,41.34,41.95,1054130,41.95
2024-07-16 00:00:00,42.72,44.66,42.72,44.41,1784899,44.41
2024-07-17 00:00:00,44.01,44.99,43.79,44.19,1536642,44.19
2024-07-18 00:00:00,44.54,46.71,44.395,44.65,1480526,44.65
2024-07-19 00:00:00,44.31,45.1,43.91,44.81,839560,44.81
2024-07-22 00:00:00,44.81,45.75,44.335,45.62,937221,45.62
2024-07-23 00:00:00,45.2,46.84,44.95,46.59,866696,46.59
2024-07-24 00:00:00,46.48,47.15,45.38,45.4,1078354,45.4
2024-07-25 00:00:00,44.49,46.77,44.39,45.32,1527022,45.32
2024-07-26 00:00:00,46.5,47.78,46.11,46.12,1213797,46.12
2024-07-29 00:00:00,46.4,46.805,45.83,46.03,1010214,46.03
2024-07-30 00:00:00,46.11,46.6,45.61,46.16,929959,46.16
2024-07-31 00:00:00,46.34,47.07,45.25,45.25,1074569,45.25
2024-08-01 00:00:00,45.6,45.8275,43.83,44.35,941496,44.35
2024-08-02 00:00:00,42.52,43.57,42.04,43.17,831857,43.17
2024-08-05 00:00:00,40.28,41.85,39.56,41.1,1315312,41.1
2024-08-06 00:00:00,40.8,42.0,40.06,41.27,737069,41.27
2024-08-07 00:00:00,41.96,42.09,39.67,39.73,754324,39.73
2024-08-08 00:00:00,40.24,41.08,39.78,40.56,2327829,40.56
2024-08-09 00:00:00,40.78,40.92,40.25,40.65,1486090,40.65
2024-08-12 00:00:00,40.65,40.68,39.96,40.33,496081,40.33
2024-08-13 00:00:00,40.79,41.53,40.39,41.03,501302,41.03
2024-08-14 00:00:00,41.36,41.42,40.54,40.69,768291,40.69
2024-08-15 00:00:00,41.24,41.615,40.4106,41.43,867307,41.43
2024-08-16 00:00:00,41.38,42.25,41.05,41.28,457993,41.28
2024-08-19 00:00:00,41.64,42.37,41.35,42.33,627784,42.33
2024-08-20 00:00:00,42.43,42.9,41.85,42.0,911938,42.0
2024-08-21 00:00:00,42.82,43.935,42.73,43.57,918364,43.57
2024-08-22 00:00:00,43.46,43.83,43.275,43.57,533209,43.57
2024-08-23 00:00:00,44.12,46.07,44.01,45.89,695463,45.89
2024-08-26 00:00:00,46.56,46.56,45.27,45.46,769973,45.46
2024-08-27 00:00:00,45.01,45.26,44.5807,45.02,592400,45.02
2024-08-28 00:00:00,44.37,44.9199,44.025,44.1,696004,44.1
2024-08-29 00:00:00,44.39,44.405,43.5264,44.04,528936,44.04
2024-08-30 00:00:00,44.61,44.62,43.545,44.44,670647,44.44
2024-09-03 00:00:00,44.06,44.7,42.9,43.08,641725,43.08
2024-09-04 00:00:00,42.82,43.14,42.1,42.8,574390,42.8
2024-09-05 00:00:00,42.97,43.2157,42.47,42.66,362144,42.66
2024-09-06 00:00:00,42.69,43.65,42.12,42.14,575213,42.14
2024-09-09 00:00:00,42.05,42.73,41.66,42.0,685494,42.0
2024-09-10 00:00:00,42.23,42.33,41.29,41.92,745105,41.92
2024-09-11 00:00:00,41.42,42.23,40.82,41.99,853035,41.99
2024-09-12 00:00:00,42.25,43.37,42.24,42.95,580907,42.95
2024-09-13 00:00:00,44.03,44.88,43.89,44.56,654261,44.56
2024-09-16 00:00:00,44.82,44.96,43.97,44.41,579910,44.41
2024-09-17 00:00:00,45.36,45.4405,44.4,44.91,815312,44.91
2024-09-18 00:00:00,45.04,46.3,44.31,44.76,766005,44.76
2024-09-19 00:00:00,45.94,46.225,44.97,46.01,594148,46.01
2024-09-20 00:00:00,45.3,45.64,44.35,44.73,3292442,44.73
2024-09-23 00:00:00,45.39,45.85,44.88,45.26,591184,45.26
2024-09-24 00:00:00,45.18,45.335,44.61,44.96,430065,44.96
2024-09-25 00:00:00,44.47,44.67,43.91,44.12,493899,44.12
2024-09-26 00:00:00,44.76,45.065,43.81,43.84,800847,43.84
2024-09-27 00:00:00,44.59,45.642,44.36,45.01,951909,45.01
2024-09-30 00:00:00,44.85,45.45,44.42,45.31,721794,45.31
2024-10-01 00:00:00,45.43,46.1999,44.4,45.34,466402,45.34
2024-10-02 00:00:00,44.83,45.07,44.32,44.91,500267,44.91
2024-10-03 00:00:00,44.75,45.11,44.035,44.83,436189,44.83
2024-10-04 00:00:00,45.27,45.6,43.33,43.82,532073,43.82
2024-10-07 00:00:00,43.26,43.72,42.66,43.61,717897,43.61
2024-10-08 00:00:00,43.85,44.04,43.22,43.63,744742,43.63
2024-10-09 00:00:00,43.68,43.97,43.4,43.68,481279,43.68
2024-10-10 00:00:00,42.85,43.29,42.64,43.15,466058,43.15
2024-10-11 00:00:00,43.01,43.86,43.01,43.66,456431,43.66
2024-10-14 00:00:00,43.59,44.98,43.48,44.86,507564,44.86
2024-10-15 00:00:00,45.11,46.11,44.92,45.39,812286,45.39
2024-10-16 00:00:00,46.13,46.9,45.96,46.69,625660,46.69
2024-10-17 00:00:00,46.61,46.6699,46.03,46.21,381393,46.21
2024-10-18 00:00:00,46.55,46.91,46.16,46.5,554101,46.5
2024-10-21 00:00:00,46.45,46.61,44.14,44.26,694068,44.26
2024-10-22 00:00:00,43.5,43.8699,42.55,42.67,446503,42.67
2024-10-23 00:00:00,42.44,43.05,42.12,42.51,868105,42.51
2024-10-24 00:00:00,42.51,43.71,40.39,40.73,1329839,40.73
2024-10-25 00:00:00,40.75,41.385,40.27,40.28,1078931,40.28
2024-10-28 00:00:00,40.85,41.83,40.8201,41.43,1177545,41.43
2024-10-29 00:00:00,39.6,40.82,38.66,40.81,1080149,40.81
2024-10-30 00:00:00,40.61,41.3,40.3,40.51,786732,40.51
2024-10-31 00:00:00,40.19,40.79,40.1301,40.43,919056,40.43
2024-11-01 00:00:00,40.88,41.42,40.42,40.5,768358,40.5
2024-11-04 00:00:00,40.62,41.76,40.46,40.9,662725,40.9
2024-11-05 00:00:00,40.59,41.8,40.4173,41.8,595351,41.8
2024-11-06 00:00:00,41.3,42.43,40.86,41.83,1073205,41.83
2024-11-07 00:00:00,41.82,42.46,41.53,41.95,596977,41.95
2024-11-08 00:00:00,42.09,42.87,42.09,42.67,919004,42.67
2024-11-11 00:00:00,43.04,43.375,42.7654,43.21,714059,43.21
2024-11-12 00:00:00,43.01,43.28,41.78,41.83,768321,41.83
2024-11-13 00:00:00,42.67,42.67,41.255,41.38,689607,41.38
2024-11-14 00:00:00,41.68,42.38,41.6,42.12,663254,42.12
2024-11-15 00:00:00,42.27,42.27,41.412,41.79,487410,41.79
2024-11-18 00:00:00,41.62,42.04,41.46,41.56,507975,41.56
2024-11-19 00:00:00,41.39,41.83,40.89,41.7,461154,41.7
2024-11-20 00:00:00,41.49,41.8,41.16,41.72,463948,41.72
2024-11-21 00:00:00,41.89,42.39,41.77,41.97,528462,41.97
2024-11-22 00:00:00,42.4,42.805,42.3235,42.62,572328,42.62
2024-11-25 00:00:00,43.22,45.28,43.1,44.62,1123962,44.62
2024-11-26 00:00:00,44.12,44.42,43.51,43.64,711720,43.64
2024-11-27 00:00:00,44.25,44.52,43.55,43.62,535658,43.62
2024-11-29 00:00:00,44.0,44.4576,43.31,43.53,332088,43.53
2024-12-02 00:00:00,43.31,43.88,42.91,43.51,638019,43.51
2024-12-03 00:00:00,43.75,44.0,43.03,43.32,512696,43.32
2024-12-04 00:00:00,43.0,43.0,42.15,42.22,662479,42.22
2024-12-05 00:00:00,42.36,42.43,41.48,41.52,591307,41.52
2024-12-06 00:00:00,42.2,42.2,41.25,41.49,620058,41.49
2024-12-09 00:00:00,42.01,42.22,41.8,41.98,1153522,41.98
2024-12-10 00:00:00,41.21,41.8,40.85,41.19,682113,41.19
2024-12-11 00:00:00,41.7,41.79,40.29,40.49,849673,40.49
2024-12-12 00:00:00,40.48,40.505,39.965,40.08,864402,40.08
2024-12-13 00:00:00,39.74,39.98,38.895,39.03,599938,39.03
2024-12-16 00:00:00,39.12,39.535,38.9714,39.07,916550,39.07
2024-12-17 00:00:00,38.84,39.31,38.11,38.18,721148,38.18
2024-12-18 00:00:00,38.34,38.62,36.61,36.81,1102907,36.81
2024-12-19 00:00:00,36.71,37.05,36.06,36.6,1603581,36.6
2024-12-20 00:00:00,36.44,37.33,36.44,37.03,5815565,37.03
