date,open,high,low,close,volume,adj_close
2024-07-01,14200.0,14200.0,12110.0,12500.0,15,12500.0
2024-07-02,12700.0,15600.0,12501.0,13600.0,51,13600.0
2024-07-03,13500.0,13500.0,11400.0,12200.0,20,12200.0
2024-07-05,12200.0,12900.0,11000.0,11050.0,14,11050.0
2024-07-08,11400.0,13700.0,11100.0,12800.0,158,12800.0
2024-07-09,12800.0,13500.0,9102.0,9676.0,1569,9676.0
2024-07-10,9010.0,10800.0,8750.0,9000.0,212,9000.0
2024-07-11,9600.0,10400.0,9015.0,9140.0,310,9140.0
2024-07-12,8888.0,9100.0,8110.0,8840.0,83,8840.0
2024-07-15,8820.0,9300.0,8501.0,9100.0,29,9100.0
2024-07-16,9000.0,9000.0,8046.0,8122.0,64,8122.0
2024-07-17,8120.0,8344.0,7635.0,7850.0,33,7850.0
2024-07-18,8409.0,9900.0,6666.0,7020.0,162,7020.0
2024-07-19,7234.0,9900.0,6615.0,9376.0,195,9376.0
2024-07-22,8550.0,8550.0,7200.0,7452.0,89,7452.0
2024-07-23,7288.0,7690.0,6756.0,6900.0,59,6900.0
2024-07-24,6950.0,8800.0,6901.0,8000.0,101,8000.0
2024-07-25,8272.0,9887.0,7801.0,8490.0,253,8490.0
2024-07-26,7400.0,7900.0,7011.0,7100.0,62,7100.0
2024-07-29,7290.0,7290.0,6830.0,7010.0,17,7010.0
2024-07-30,7603.0,7604.0,7010.0,7230.0,70,7230.0
2024-07-31,7100.0,7300.0,5800.0,6124.0,74,6124.0
2024-08-01,6400.0,6587.0,5820.0,6259.0,20,6259.0
2024-08-02,5900.0,6136.0,5236.0,5400.0,33,5400.0
2024-08-05,5000.0,5200.0,4445.0,4500.0,25,4500.0
2024-08-06,4570.0,4660.0,4022.0,4209.0,27,4209.0
2024-08-07,4399.0,4409.0,3869.0,4340.0,28,4340.0
2024-08-08,4200.0,4200.0,3691.0,3836.0,27,3836.0
2024-08-09,3721.0,3850.0,3415.0,3470.0,18,3470.0
2024-08-12,7300.0,7977.0,5200.0,6213.0,9317,6213.0
2024-08-13,5110.0,6489.0,5110.0,5760.0,322,5760.0
2024-08-14,5600.0,7000.0,5514.0,6947.0,186,6947.0
2024-08-15,6765.0,6765.0,5300.0,5700.0,42,5700.0
2024-08-16,5529.0,6097.0,5031.0,5180.0,25,5180.0
2024-08-19,5020.0,5020.0,4510.0,4649.0,36,4649.0
2024-08-20,4566.0,4834.0,4200.0,4401.0,18,4401.0
2024-08-21,4355.0,4577.0,4020.0,4310.0,21,4310.0
2024-08-22,4310.0,5700.0,4310.0,5402.0,43,5402.0
2024-08-23,5811.0,6900.0,5427.0,6153.0,84,6153.0
2024-08-26,6003.0,6790.0,5293.0,5900.0,42,5900.0
2024-08-27,5900.0,6049.0,5600.0,6019.0,7,6019.0
2024-08-28,5600.0,5900.0,5400.0,5406.0,7,5406.0
2024-08-29,5175.0,5363.0,4501.0,4901.0,17,4901.0
2024-08-30,4980.0,4998.5,4742.0,4742.0,2,4742.0
2024-09-03,4551.0,4730.0,4500.0,4639.0,3,4639.0
2024-09-04,4824.0,4900.0,4281.0,4487.0,11,4487.0
2024-09-05,4352.0,4460.0,4000.0,4327.0,149,4327.0
2024-09-06,4016.0,4299.0,4007.0,4170.0,11,4170.0
2024-09-09,4090.0,4400.0,3628.0,4001.0,253,4001.0
2024-09-10,3688.0,3740.0,3350.0,3450.0,87,3450.0
2024-09-11,3346.0,3450.0,3021.0,3250.0,52,3250.0
2024-09-12,3380.0,3380.0,3100.0,3153.0,34,3153.0
2024-09-13,3250.0,3319.8999,3130.0,3219.0,12,3219.0
2024-09-16,3347.0,3450.0,3100.0,3190.0,166,3190.0
2024-09-17,3050.0,3259.0,2700.0,2800.0,101,2800.0
2024-09-18,2716.0,2749.0,2400.0,2500.0,84,2500.0
2024-09-19,2520.0,2530.0,2410.0,2484.0,34,2484.0
2024-09-20,2500.0,2519.0,2312.0,2312.0,33,2312.0
2024-09-23,2335.0,2499.0,2111.0,2363.0,35,2363.0
2024-09-24,3197.0,3300.0,2400.0,2620.0,8508,2620.0
2024-09-25,2259.0,2352.0,2121.0,2189.0,596,2189.0
2024-09-26,2400.0,2420.0,2030.0,2048.0,1594,2048.0
2024-09-27,2080.0,2129.0,1900.0,1950.0,449,1950.0
2024-09-30,1836.0,1911.0,1606.0,1625.0,422,1625.0
2024-10-01,1591.0,1625.0,1327.0,1468.0,479,1468.0
2024-10-02,1468.0,1481.0,1359.0,1481.0,169,1481.0
2024-10-03,1481.0,1780.0,1481.0,1650.0,806,1650.0
2024-10-04,1650.0,1662.0,1464.0,1561.0,360,1561.0
2024-10-07,1500.0,1600.0,1431.0,1450.0,150,1450.0
2024-10-08,1450.0,1530.0,1400.0,1473.0,311,1473.0
2024-10-09,1467.0,1467.0,1330.0,1340.0,938,1340.0
2024-10-10,1490.0,1490.0,1325.0,1365.0,1726,1365.0
2024-10-11,1466.0,1466.0,1352.0,1425.0,454,1425.0
2024-10-14,1425.0,1425.0,1360.0,1382.0,197,1382.0
2024-10-15,1360.0,1390.0,1150.0,1230.0,563,1230.0
2024-10-16,1230.0,1250.0,1170.0,1230.0,289,1230.0
2024-10-17,1200.0,1269.0,1140.0,1192.0,288,1192.0
2024-10-18,1192.0,1289.0,1153.0,1281.0,326,1281.0
2024-10-21,1270.0,1450.0,1211.0,1365.0,842,1365.0
2024-10-22,1319.0,2010.0,1258.0,1840.0,7271,1840.0
2024-10-23,1665.0,1700.0,1400.0,1451.0,2261,1451.0
2024-10-24,1420.0,1445.0,1256.0,1323.0,872,1323.0
2024-10-25,1305.0,1320.0,1212.0,1286.0,1153,1286.0
2024-10-28,1362.0,1369.0,1277.0,1320.0,624,1320.0
2024-10-29,1289.0,1317.0,1161.0,1197.0,520,1197.0
2024-10-30,1200.0,1200.0,921.0,970.0,982,970.0
2024-10-31,966.0,990.0,810.0,880.0,736,880.0
2024-11-01,879.0,879.0,814.0,865.0,324,865.0
2024-11-04,865.0,1000.0,865.0,949.0,442,949.0
2024-11-05,975.0,1063.0,910.0,960.0,761,960.0
2024-11-06,960.0,1019.0,814.0,909.0,1473,909.0
2024-11-07,865.0,865.0,662.0,701.0,14025,701.0
2024-11-08,750.0,750.0,534.0,604.0,2536,604.0
