date,open,high,low,close,volume,adj_close
2024-05-20,36.0403,36.2374,36.0403,36.1811,504000,36.1811
2024-05-21,36.0591,36.4909,36.0403,36.4627,424900,36.4627
2024-05-22,36.3031,36.4534,35.3362,35.3925,430100,35.3925
2024-05-23,35.1766,35.1766,34.5007,34.5758,423500,34.5758
2024-05-24,34.6978,35.0452,34.2941,34.9513,409800,34.9513
2024-05-28,35.1297,35.2329,34.6603,34.848,418100,34.848
2024-05-29,34.6039,34.7166,34.2941,34.3598,439100,34.3598
2024-05-30,34.4162,35.0827,34.2941,35.0733,418300,35.0733
2024-05-31,35.2517,36.0027,35.2517,35.9933,505900,35.9933
2024-06-03,35.9933,36.397,35.5991,35.7493,273400,35.7493
2024-06-04,34.2753,35.9089,33.8153,35.5239,2124900,35.5239
2024-06-05,35.815,36.2093,35.4582,35.5615,1976200,35.5615
2024-06-06,35.599,35.6835,35.1015,35.2048,752900,35.2048
2024-06-07,34.9888,35.2423,34.6509,34.9231,571200,34.9231
2024-06-10,34.7917,35.1015,34.6509,34.9888,382800,34.9888
2024-06-11,34.7166,35.0076,34.6321,34.9325,446600,34.9325
2024-06-12,35.4864,35.6835,35.1297,35.3362,716800,35.3362
2024-06-13,35.2986,35.8525,35.1297,35.6648,698300,35.6648
2024-06-14,35.4019,35.5897,35.2141,35.2611,523600,35.2611
2024-06-17,35.0921,35.1578,34.5382,34.6227,590200,34.6227
2024-06-18,34.4631,34.5288,33.4023,33.468,971900,33.468
2024-06-20,33.3835,34.219,33.3835,34.1721,937700,34.1721
2024-06-21,34.2754,34.5664,33.928,34.0407,1926600,34.0407
2024-06-24,34.2003,34.7354,34.1627,34.5194,518400,34.5194
2024-06-25,34.4443,34.557,33.9562,34.1158,526200,34.1158
2024-06-26,33.9186,34.3598,33.6839,34.3411,700100,34.3411
2024-06-27,34.4256,34.7447,34.266,34.6696,661000,34.6696
2024-06-28,34.8668,35.0733,34.6509,34.6978,2166700,34.6978
2024-07-01,34.8011,34.9607,33.8717,34.0688,463400,34.0688
2024-07-02,34.1721,34.2753,33.8717,33.9843,258600,33.9843
2024-07-03,34.0407,34.1345,33.6933,33.7872,239800,33.7872
2024-07-05,33.8153,34.1158,33.5149,34.0125,523600,34.0125
2024-07-08,34.1909,34.3411,33.8623,33.8904,554200,33.8904
2024-07-09,33.7684,34.2566,33.6933,34.2096,347800,34.2096
2024-07-10,34.3974,34.8386,34.2096,34.8199,429600,34.8199
2024-07-11,35.2235,36.0966,35.2235,36.0215,829400,36.0215
2024-07-12,36.2187,36.7632,36.2187,36.3407,721400,36.3407
2024-07-15,36.3219,36.5003,36.0872,36.2374,576700,36.2374
2024-07-16,36.4815,36.8383,35.1672,36.6223,828300,36.6223
2024-07-17,36.8383,37.8428,36.5848,37.4766,1191500,37.4766
2024-07-18,37.3452,38.0024,37.2889,37.3921,667500,37.3921
2024-07-19,37.4954,37.4954,36.9321,37.3358,398600,37.3358
2024-07-22,37.7864,37.8897,37.3922,37.7958,725600,37.7958
2024-07-23,37.7677,37.9179,37.5424,37.6832,635300,37.6832
2024-07-24,37.8615,38.3403,37.7395,38.2183,903500,38.2183
