date,open,high,low,close,volume,adj_close
2024-05-20,88.9276,89.1672,88.249,88.8478,885100,88.8478
2024-05-21,88.8278,89.0973,88.4186,88.6482,764900,88.6482
2024-05-22,88.4186,89.3768,88.3587,88.9077,696100,88.9077
2024-05-23,89.2271,89.2271,87.2808,87.5803,795300,87.5803
2024-05-24,88.0094,88.5683,87.7898,88.4585,548600,88.4585
2024-05-28,88.4585,88.4885,87.2209,87.3008,745200,87.3008
2024-05-29,86.6421,87.0014,85.6839,85.8736,987800,85.8736
2024-05-30,86.2229,86.8716,85.7538,86.0831,1037000,86.0831
2024-05-31,86.163,87.4605,85.9833,87.4405,1288500,87.4405
2024-06-03,87.7898,88.6382,86.173,87.0812,1509500,87.0812
2024-06-04,86.5522,87.0812,86.0133,86.8417,768400,86.8417
2024-06-05,86.8916,86.8916,85.7438,86.3726,736700,86.3726
2024-06-06,85.9933,86.4824,85.3346,85.634,743800,85.634
2024-06-07,85.4843,86.2329,84.8356,85.4344,631500,85.4344
2024-06-10,85.2148,86.2029,85.0751,86.173,847000,86.173
2024-06-11,85.6939,85.7738,84.7457,85.2847,944700,85.2847
2024-06-12,85.9035,86.7419,85.5342,86.3227,774400,86.3227
2024-06-13,85.9933,86.0233,84.9853,85.8137,808500,85.8137
2024-06-14,85.0051,85.2946,83.9668,85.1049,1003000,85.1049
2024-06-17,84.7954,85.9934,84.4759,85.7737,1212400,85.7737
2024-06-18,85.4743,85.9235,85.1748,85.8137,885700,85.8137
2024-06-20,85.7238,86.6622,85.614,86.1132,813000,86.1132
2024-06-21,86.183,86.8819,85.7538,86.5923,2673900,86.5923
2024-06-24,86.812,88.3593,86.6523,87.3311,767700,87.3311
2024-06-25,86.6822,86.8818,85.5242,85.8636,1135500,85.8636
2024-06-26,85.5142,86.5724,85.3844,86.3927,798100,86.3927
2024-06-27,86.6123,86.802,85.7837,86.193,853000,86.193
2024-06-28,86.5824,87.0216,85.2646,85.7138,1845300,85.7138
2024-07-01,86.3328,86.8819,85.065,85.2247,729300,85.2247
2024-07-02,85.065,85.9335,85.0051,85.634,629500,85.634
2024-07-03,85.5541,86.1731,85.4543,86.0632,651400,86.0632
2024-07-05,85.6639,85.7438,84.3661,84.8154,1379300,84.8154
2024-07-08,85.1248,85.8037,84.9252,85.7039,635600,85.7039
2024-07-09,85.6939,85.8436,84.9352,84.9851,589100,84.9851
2024-07-10,85.0749,86.203,85.0649,86.1631,649900,86.1631
2024-07-11,86.3927,88.2196,86.3528,88.0698,909700,88.0698
2024-07-12,88.7287,89.3776,88.3494,88.6389,929900,88.6389
2024-07-15,88.8485,91.3642,88.6688,90.9349,1103800,90.9349
2024-07-16,91.2744,94.1095,91.0348,93.8599,1503900,93.8599
2024-07-17,93.251,93.9398,91.8234,91.9133,1662900,91.9133
2024-07-18,91.3542,94.409,90.3459,92.4623,2015500,92.4623
2024-07-19,93.0713,93.0713,90.0465,90.1762,1458100,90.1762
2024-07-22,90.8451,91.8933,90.0465,91.6637,1105500,91.6637
2024-07-23,91.6637,92.5422,91.5639,91.9732,876800,91.9732
2024-07-24,91.6936,91.9233,89.6072,89.9666,1062100,89.9666
