date,open,high,low,close,volume,adj_close
2024-05-20,4.631,4.708,4.631,4.631,673200,4.631
2024-05-21,4.631,4.6887,4.6117,4.6213,607600,4.6213
2024-05-22,4.6021,4.6791,4.5636,4.5636,943000,4.5636
2024-05-23,4.5539,4.5828,4.4577,4.4769,738100,4.4769
2024-05-24,4.5154,4.5539,4.4577,4.4769,1323300,4.4769
2024-05-28,4.5251,4.5443,4.448,4.4962,1708000,4.4962
2024-05-29,4.4192,4.4288,4.371,4.3806,1400400,4.3806
2024-05-30,4.3518,4.448,4.3132,4.4192,699200,4.4192
2024-05-31,4.3421,4.3518,4.2459,4.2651,2617600,4.2651
2024-06-03,4.2844,4.3036,4.1977,4.2459,856800,4.2459
2024-06-04,4.1592,4.2073,4.1303,4.1881,1802300,4.1881
2024-06-05,4.1881,4.2362,4.1592,4.1881,1003900,4.1881
2024-06-06,4.217,4.2844,4.1881,4.1977,1553900,4.1977
2024-06-07,4.1496,4.1881,4.0629,4.0629,1201300,4.0629
2024-06-10,4.0244,4.0918,4.0148,4.0726,1322600,4.0726
2024-06-11,4.0726,4.1399,4.0437,4.0726,838400,4.0726
2024-06-12,4.0437,4.0629,3.9185,3.9378,1653200,3.9378
2024-06-13,3.9378,3.9378,3.8511,3.8993,1691400,3.8993
2024-06-14,3.9763,3.9955,3.9089,3.9185,1566300,3.9185
2024-06-17,3.8511,3.8993,3.8222,3.8415,1025400,3.8415
2024-06-18,3.8415,3.8993,3.803,3.803,965900,3.803
2024-06-20,3.88,3.9089,3.7837,3.8319,1622500,3.8319
2024-06-21,3.8415,3.9089,3.8222,3.8704,1936800,3.8704
2024-06-24,3.8993,3.9763,3.8896,3.9474,935200,3.9474
2024-06-25,3.9089,3.9281,3.8415,3.8415,937900,3.8415
2024-06-26,3.7741,3.8126,3.7548,3.7837,799500,3.7837
2024-06-27,3.7837,3.88,3.7645,3.88,1025700,3.88
2024-06-28,3.8126,3.8222,3.7452,3.7645,892400,3.7645
2024-07-01,3.7548,3.803,3.6971,3.7163,1140400,3.7163
2024-07-02,3.6971,3.726,3.6393,3.6874,1104300,3.6874
2024-07-03,3.803,3.8607,3.7933,3.8511,943300,3.8511
2024-07-05,3.8993,3.9089,3.8126,3.9089,1049900,3.9089
2024-07-08,3.8704,3.9763,3.8415,3.9763,1143300,3.9763
2024-07-09,4.034,4.1399,4.0052,4.0918,1415800,4.0918
2024-07-10,4.1592,4.1881,4.0437,4.0726,1665700,4.0726
2024-07-11,4.1207,4.1399,4.0726,4.1111,1094100,4.1111
2024-07-12,4.0726,4.1014,4.0244,4.034,738700,4.034
2024-07-15,4.0148,4.034,3.957,3.9763,1354100,3.9763
2024-07-16,4.034,4.0822,3.9859,4.0244,1722400,4.0244
2024-07-17,3.9666,4.1014,3.9666,4.1014,1429000,4.1014
2024-07-18,3.9955,4.034,3.8993,3.8993,933000,3.8993
2024-07-19,3.9859,4.0437,3.9666,4.0148,919500,4.0148
2024-07-22,3.9955,4.0726,3.9859,4.0148,1253100,4.0148
2024-07-23,3.9859,3.9955,3.9185,3.9474,1430900,3.9474
2024-07-24,3.88,3.9666,3.8704,3.9089,1679800,3.9089
2024-07-25,3.8607,3.8704,3.8126,3.8415,1677400,3.8415
2024-07-26,3.7933,3.9185,3.7741,3.9089,1689500,3.9089
2024-07-29,3.9089,3.9185,3.8607,3.8993,547600,3.8993
2024-07-30,3.8607,3.9281,3.8415,3.8704,836100,3.8704
2024-07-31,3.8511,3.88,3.7548,3.7933,2411100,3.7933
2024-08-01,3.8222,3.8993,3.7645,3.7933,1137900,3.7933
2024-08-02,3.8126,3.8704,3.7452,3.8511,2148100,3.8511
2024-08-05,3.6874,3.7741,3.6393,3.7452,2809800,3.7452
2024-08-06,3.803,3.8511,3.7741,3.803,1444500,3.803
2024-08-07,3.8319,4.0918,3.8319,4.0629,2847800,4.0629
2024-08-08,3.8993,3.9281,3.7933,3.8896,3752200,3.8896
2024-08-09,3.9955,4.1303,3.9859,4.0533,1561700,4.0533
2024-08-12,4.0822,4.1207,4.0437,4.0726,1236000,4.0726
2024-08-13,4.1111,4.217,4.1014,4.217,1288800,4.217
2024-08-14,4.217,4.2362,4.1592,4.1688,875000,4.1688
2024-08-15,4.1881,4.2266,4.1399,4.1881,513000,4.1881
2024-08-16,4.2459,4.2555,4.1785,4.2362,844200,4.2362
2024-08-19,4.3092,4.387,4.2897,4.3189,1049500,4.3189
2024-08-20,4.2897,4.3092,4.2022,4.2216,884600,4.2216
2024-08-21,4.2605,4.2605,4.1827,4.2216,1243700,4.2216
2024-08-22,4.1633,4.173,4.1049,4.1049,931900,4.1049
2024-08-23,4.1925,4.2411,4.1341,4.2119,901700,4.2119
2024-08-26,4.1925,4.2605,4.1925,4.2216,624200,4.2216
2024-08-27,4.2022,4.2314,4.1633,4.1633,464000,4.1633
2024-08-28,4.1244,4.173,4.1049,4.1341,547600,4.1341
2024-08-29,4.0465,4.0465,3.959,4.0076,906800,4.0076
2024-08-30,3.959,4.066,3.9493,4.0465,1074200,4.0465
2024-09-03,3.9687,3.9785,3.8812,3.9104,1162100,3.9104
2024-09-04,3.9395,3.9979,3.9298,3.959,626000,3.959
2024-09-05,3.9785,4.066,3.9785,4.066,1499100,4.066
2024-09-06,4.0757,4.1049,3.9979,3.9979,1009800,3.9979
2024-09-09,4.1535,4.2411,4.1438,4.173,730800,4.173
2024-09-10,4.0757,4.0855,3.9201,3.9687,765900,3.9687
2024-09-11,3.9687,3.9882,3.9201,3.959,851200,3.959
2024-09-12,3.9201,3.9979,3.9006,3.9785,950700,3.9785
2024-09-13,4.0271,4.066,4.0076,4.0271,642900,4.0271
2024-09-16,4.0465,4.066,4.0076,4.0465,957200,4.0465
2024-09-17,4.0465,4.0952,4.0174,4.0757,985700,4.0757
2024-09-18,4.0757,4.0952,3.9979,4.0076,985100,4.0076
2024-09-19,4.066,4.066,3.9493,3.959,1139400,3.959
2024-09-20,3.9006,3.9006,3.7353,3.745,1299600,3.745
2024-09-23,3.7158,3.745,3.6866,3.7061,1050400,3.7061
2024-09-24,3.7839,3.852,3.745,3.8228,1587600,3.8228
2024-09-25,3.8228,3.8228,3.7061,3.7158,1322000,3.7158
2024-09-26,3.7353,3.8131,3.7353,3.7936,962700,3.7936
