date,open,high,low,close,volume,adj_close
2024-05-20,1.22,1.25,1.08,1.2,87900,1.2
2024-05-21,1.26,1.33,1.18,1.32,45600,1.32
2024-05-22,1.5,1.52,1.35,1.42,174700,1.42
2024-05-23,1.38,1.53,1.27,1.53,83400,1.53
2024-05-24,1.55,1.67,1.5,1.61,126000,1.61
2024-05-28,1.68,1.68,1.52,1.565,67000,1.565
2024-05-29,1.6,1.605,1.46,1.5,28300,1.5
2024-05-30,1.63,1.667,1.29,1.35,138600,1.35
2024-05-31,1.38,1.56,1.37,1.45,115700,1.45
2024-06-03,1.51,1.56,1.41,1.5,60300,1.5
2024-06-04,1.6,1.6,1.494,1.494,39100,1.494
2024-06-05,1.77,2.22,1.66,1.79,945800,1.79
2024-06-06,1.85,2.08,1.751,1.8,224500,1.8
2024-06-07,1.8,1.88,1.61,1.74,60900,1.74
2024-06-10,1.82,1.88,1.75,1.77,76000,1.77
2024-06-11,1.83,1.83,1.63,1.65,32800,1.65
2024-06-12,1.71,1.71,1.34,1.41,148700,1.41
2024-06-13,1.4,1.57,1.34,1.39,28300,1.39
2024-06-14,1.42,1.48,1.36,1.48,38500,1.48
2024-06-17,1.46,1.58,1.42,1.49,47400,1.49
2024-06-18,1.53,1.53,1.38,1.4,29700,1.4
2024-06-20,1.36,1.55,1.33,1.38,38800,1.38
2024-06-21,1.75,1.81,1.3,1.42,496100,1.42
2024-06-24,1.59,1.59,1.36,1.39,100700,1.39
2024-06-25,1.37,1.47,1.37,1.38,39800,1.38
2024-06-26,1.36,1.43,1.36,1.38,38900,1.38
2024-06-27,1.38,1.47,1.34,1.38,23800,1.38
2024-06-28,1.33,1.42,1.28,1.3,73900,1.3
2024-07-01,1.39,1.39,1.2,1.23,64800,1.23
2024-07-02,1.26,1.291,1.16,1.23,42000,1.23
2024-07-03,1.29,1.29,1.13,1.2,67600,1.2
2024-07-05,1.19,1.22,1.17,1.18,21000,1.18
2024-07-08,1.26,1.277,1.15,1.19,32600,1.19
2024-07-09,1.2,1.38,1.188,1.36,96600,1.36
2024-07-10,1.32,1.421,1.26,1.26,47500,1.26
2024-07-11,1.36,1.45,1.324,1.45,27700,1.45
2024-07-12,1.54,1.54,1.37,1.42,54600,1.42
2024-07-15,1.46,1.46,1.398,1.45,31900,1.45
2024-07-16,1.6,1.68,1.42,1.67,177200,1.67
2024-07-17,1.62,1.8,1.55,1.79,79700,1.79
2024-07-18,1.77,1.79,1.55,1.57,268100,1.57
2024-07-19,1.69,1.78,1.54,1.68,171300,1.68
2024-07-22,1.71,1.82,1.59,1.75,112400,1.75
2024-07-23,1.66,1.77,1.62,1.73,44800,1.73
2024-07-24,1.75,1.78,1.61,1.67,64600,1.67
2024-07-25,1.7,1.7,1.61,1.66,19400,1.66
2024-07-26,1.73,1.9,1.65,1.9,81500,1.9
2024-07-29,1.92,1.96,1.76,1.86,70000,1.86
2024-07-30,1.79,1.854,1.76,1.82,59100,1.82
2024-07-31,1.77,1.82,1.72,1.81,25400,1.81
2024-08-01,1.81,1.82,1.66,1.74,591900,1.74
2024-08-02,1.68,1.85,1.63,1.82,94900,1.82
2024-08-05,1.76,1.85,1.66,1.7,232100,1.7
2024-08-06,1.74,2.17,1.71,2.1,585300,2.1
2024-08-07,2.25,2.29,1.89,1.9,356700,1.9
2024-08-08,2.0,2.2,1.954,2.0,300500,2.0
2024-08-09,2.09,2.15,1.88,2.0,179000,2.0
2024-08-12,2.09,2.09,1.88,1.93,327800,1.93
2024-08-13,1.98,1.98,1.58,1.6,276400,1.6
2024-08-14,1.57,1.7,1.57,1.7,137900,1.7
2024-08-15,1.7,1.73,1.32,1.65,245800,1.65
2024-08-16,1.49,1.59,1.38,1.45,360800,1.45
2024-08-19,1.45,1.59,1.41,1.59,115800,1.59
2024-08-20,1.62,1.7,1.55,1.59,78600,1.59
