date,open,high,low,close,volume,adj_close
2024-05-20,102.4989,102.4989,100.8239,100.8813,47800,100.8813
2024-05-21,100.441,101.513,100.441,101.3503,39500,101.3503
2024-05-22,100.6487,101.6867,98.9571,99.0917,45100,99.0917
2024-05-23,98.7745,98.7745,96.1314,96.6216,69500,96.6216
2024-05-24,97.5539,98.1017,95.8239,97.871,46800,97.871
2024-05-28,98.3612,98.8322,97.4097,97.5443,44600,97.5443
2024-05-29,96.1795,96.612,95.6316,95.8911,49400,95.8911
2024-05-30,96.3909,97.3136,95.1703,96.4486,48700,96.4486
2024-05-31,96.3429,98.7361,96.3429,98.5823,53200,98.5823
2024-06-03,98.8898,98.8898,93.1615,94.4494,175700,94.4494
2024-06-04,93.8247,94.1611,91.0567,93.8247,113100,93.8247
2024-06-05,94.19,95.3914,92.8636,95.1511,50200,95.1511
2024-06-06,94.1803,95.2472,93.5364,93.9208,39200,93.9208
2024-06-07,93.2577,93.9785,91.9794,93.1519,41900,93.1519
2024-06-10,92.3542,92.681,91.345,92.2293,56900,92.2293
2024-06-11,91.3258,92.0755,90.307,91.4315,101500,91.4315
2024-06-12,93.7286,94.0073,90.4031,91.3835,126500,91.3835
2024-06-13,90.9798,91.6238,90.5857,91.0182,94500,91.0182
2024-06-14,90.0667,91.4315,89.1345,90.7972,82800,90.7972
2024-06-17,90.1148,92.556,90.1148,92.5368,107500,92.5368
2024-06-18,92.8444,95.622,92.5272,93.4595,169800,93.4595
2024-06-20,93.4691,93.892,89.0191,89.2882,156700,89.2882
2024-06-21,89.5477,90.4031,88.1349,88.5482,372400,88.5482
2024-06-24,88.9422,91.6622,88.279,91.6045,129600,91.6045
2024-06-25,91.3066,92.8348,90.1725,90.6434,112100,90.6434
2024-06-26,89.9418,90.8549,89.1921,90.6627,157200,90.6627
2024-06-27,91.3643,91.4219,89.221,89.4997,191600,89.4997
2024-06-28,90.432,90.432,87.5294,88.8269,318300,88.8269
2024-07-01,89.2498,89.9899,86.9719,87.7601,129500,87.7601
2024-07-02,87.885,89.0864,87.1834,88.0292,85800,88.0292
2024-07-03,88.0292,89.5958,87.6063,89.3843,69800,89.3843
2024-07-05,88.8653,89.048,87.6543,88.6731,51000,88.6731
2024-07-08,89.6919,90.086,87.7889,88.4809,83600,88.4809
2024-07-09,87.8946,88.4232,86.7701,87.3564,77900,87.3564
2024-07-10,87.8465,87.9907,86.9143,87.2218,74600,87.2218
2024-07-11,88.6443,89.9034,87.4237,89.1921,140100,89.1921
2024-07-12,89.9226,91.4796,88.3271,91.3258,184700,91.3258
2024-07-15,92.2581,93.4499,90.4512,90.8068,84400,90.8068
2024-07-16,91.8448,95.228,91.7872,94.8435,154800,94.8435
2024-07-17,94.8435,96.9195,93.7863,94.065,165600,94.065
2024-07-18,94.19,95.3433,91.1144,91.1913,88400,91.1913
2024-07-19,91.4027,91.8352,90.2494,90.7684,67600,90.7684
2024-07-22,91.2105,92.8444,90.7684,92.3446,86500,92.3446
2024-07-23,92.6522,93.9881,92.4119,93.1519,78800,93.1519
2024-07-24,93.1808,94.584,92.4503,92.5945,63000,92.5945
2024-07-25,93.1904,94.6993,92.4023,93.2288,119600,93.2288
2024-07-26,94.709,94.8243,93.671,94.4975,117000,94.4975
2024-07-29,94.3918,95.1991,93.027,93.3249,104200,93.3249
2024-07-30,93.9689,94.93,93.5172,94.3533,78100,94.3533
2024-07-31,95.1703,95.7277,93.5556,93.7094,109700,93.7094
2024-08-01,93.8632,94.4206,92.0466,92.681,82700,92.681
2024-08-02,89.5477,91.4796,89.3843,91.0182,76400,91.0182
2024-08-05,88.2502,88.3271,85.9243,87.4621,102800,87.4621
