date,open,high,low,close,volume,adj_close
2024-05-20,13.9401,13.9401,13.9042,13.9222,40100,13.9222
2024-05-21,13.9581,14.0747,13.9491,14.0747,24200,14.0747
2024-05-22,14.1016,14.1554,14.0926,14.1375,44200,14.1375
2024-05-23,14.1733,14.2182,14.0388,14.0567,17200,14.0567
2024-05-24,14.1106,14.1823,13.9042,14.1106,45100,14.1106
2024-05-28,14.1464,14.1464,14.0298,14.0926,30700,14.0926
2024-05-29,14.0747,14.0836,13.9311,13.985,21700,13.985
2024-05-30,14.0119,14.1285,13.9491,14.0298,33000,14.0298
2024-05-31,14.0478,14.263,13.976,14.1106,22500,14.1106
2024-06-03,14.1195,14.2361,14.1195,14.2092,15100,14.2092
2024-06-04,14.2451,14.3438,14.0388,14.1913,33000,14.1913
2024-06-05,14.2092,14.272,14.1464,14.2451,24400,14.2451
2024-06-06,14.2631,14.3258,14.2631,14.281,18700,14.281
2024-06-07,14.3169,14.3528,14.263,14.3528,22000,14.3528
2024-06-10,14.3528,14.3886,14.0926,14.2003,26500,14.2003
2024-06-11,14.2182,14.3976,14.2092,14.3348,15800,14.3348
2024-06-12,14.5053,14.6039,14.2631,14.5142,47500,14.5142
2024-06-13,14.5232,14.5591,14.4963,14.5411,24200,14.5411
2024-06-14,14.5591,14.5591,14.4335,14.4335,9800,14.4335
2024-06-17,14.4425,14.5411,14.4245,14.4873,26000,14.4873
2024-06-18,14.5594,14.6765,14.5324,14.6044,13800,14.6044
2024-06-20,14.6405,14.6765,14.226,14.6225,25400,14.6225
2024-06-21,14.6585,14.6765,14.4513,14.6225,21600,14.6225
2024-06-24,14.5864,14.5864,14.4333,14.5143,17500,14.5143
2024-06-25,14.6134,14.6225,14.4513,14.5774,38100,14.5774
2024-06-26,14.5774,14.5774,14.4423,14.5414,26300,14.5414
2024-06-27,14.6315,14.6675,14.4423,14.4783,58700,14.4783
2024-06-28,14.5864,14.6405,14.4513,14.4513,38200,14.4513
2024-07-01,14.5143,14.5594,14.154,14.4873,184300,14.4873
2024-07-02,14.4873,14.5504,14.2891,14.3522,34600,14.3522
2024-07-03,14.3432,14.4152,14.2531,14.3882,16700,14.3882
2024-07-05,14.3972,14.6134,14.3972,14.6134,224700,14.6134
2024-07-08,14.6495,14.6495,14.5053,14.5864,16100,14.5864
2024-07-09,14.6225,14.6675,14.3792,14.5504,31500,14.5504
2024-07-10,14.5864,14.5864,14.4693,14.5324,51400,14.5324
2024-07-11,14.6315,14.7126,14.5504,14.6765,33500,14.6765
2024-07-12,14.7396,15.0189,14.6585,14.7576,47200,14.7576
2024-07-15,14.7576,14.8477,14.7396,14.7666,17800,14.7666
2024-07-16,14.8589,14.8589,14.7413,14.7865,38900,14.7865
2024-07-17,14.8318,14.8318,14.6508,14.7413,24500,14.7413
2024-07-18,14.7775,14.877,14.3974,14.4336,37000,14.4336
2024-07-19,14.5331,14.5603,14.4426,14.515,20400,14.515
2024-07-22,14.5693,14.5693,14.3883,14.5331,23400,14.5331
2024-07-23,14.6236,14.6236,14.4698,14.5331,28900,14.5331
2024-07-24,14.5784,14.6508,14.5241,14.5331,30900,14.5331
2024-07-25,14.6055,14.6055,14.506,14.5693,23600,14.5693
2024-07-26,14.6508,14.6779,14.5331,14.5693,33800,14.5693
2024-07-29,14.6417,14.7051,14.4969,14.5874,20200,14.5874
2024-07-30,14.6236,14.6508,14.5422,14.6327,23900,14.6327
2024-07-31,14.7775,14.7775,14.7051,14.7413,27500,14.7413
2024-08-01,14.7865,14.8318,14.7051,14.8227,32400,14.8227
2024-08-02,14.877,14.8951,14.8589,14.8951,36900,14.8951
2024-08-05,14.8951,14.9765,14.877,14.9223,23500,14.9223
2024-08-06,14.9313,14.9313,14.7684,14.877,26000,14.877
2024-08-07,15.0037,15.1394,14.687,14.9042,46600,14.9042
2024-08-08,14.9765,14.9765,14.8318,14.9404,60700,14.9404
2024-08-09,14.9404,14.9404,14.8861,14.9404,16700,14.9404
2024-08-12,14.9766,14.9766,14.9042,14.9675,23100,14.9675
2024-08-13,14.9856,14.9856,14.7865,14.8861,39900,14.8861
2024-08-14,14.9766,14.9766,14.8951,14.9494,28400,14.9494
2024-08-15,15.0127,15.0127,14.8861,14.9946,38000,14.9946
2024-08-16,15.0146,15.3237,14.9601,15.0328,24400,15.0328
2024-08-19,15.0328,15.1328,14.7329,15.0237,35200,15.0237
2024-08-20,15.0601,15.2237,15.0419,15.1692,34700,15.1692
2024-08-21,15.1055,15.1055,14.9965,15.1055,37700,15.1055
2024-08-22,15.151,15.151,15.0874,15.1419,28500,15.1419
