date,open,high,low,close,volume,adj_close
2026-03-27,30.0,34.99,30.0,30.2,2800,30.2
2026-03-30,32.0,34.84,30.25,31.0,27400,31.0
2026-03-31,32.87,32.87,30.45,31.85,64600,31.85
2026-04-01,28.27,30.02,26.88,27.85,27163800,27.85
2026-04-02,27.21,30.13,27.05,28.1,6991800,28.1
2026-04-06,28.1,28.94,26.52,28.34,5758200,28.34
2026-04-07,27.8,28.14,26.49,26.94,9335000,26.94
2026-04-08,27.19,28.36,26.87,26.95,7166300,26.95
2026-04-09,26.55,30.0,26.34,29.49,4417300,29.49
2026-04-10,29.79,32.16,29.19,31.14,3204200,31.14
2026-04-13,31.44,31.5,29.78,30.52,2172700,30.52
2026-04-14,30.6,33.33,30.6,32.92,2809500,32.92
2026-04-15,32.78,34.55,32.25,34.21,1816800,34.21
2026-04-16,34.2,34.72,32.52,32.61,2054500,32.61
2026-04-17,33.75,35.08,33.14,34.7,3056100,34.7
2026-04-20,34.99,36.31,34.41,34.77,2181100,34.77
2026-04-21,35.38,36.87,34.0,35.01,2064400,35.01
2026-04-22,35.34,36.7,33.83,34.83,1416600,34.83
2026-04-23,34.66,35.26,33.85,34.31,988700,34.31
2026-04-24,34.22,36.03,33.02,34.96,1342600,34.96
2026-04-27,34.67,35.22,34.25,34.94,770500,34.94
2026-04-28,35.09,35.52,33.29,34.22,1295700,34.22
2026-04-29,34.29,35.04,33.86,34.34,1090200,34.34
2026-04-30,34.36,35.64,33.88,34.97,1071600,34.97
2026-05-01,34.99,37.08,34.87,37.07,1574000,37.07
2026-05-04,37.03,37.39,35.39,36.17,1629000,36.17
2026-05-05,36.23,37.68,35.91,37.5,1831400,37.5
2026-05-06,38.25,42.46,37.55,41.55,2841600,41.55
2026-05-07,41.8,41.8,38.8,39.0,1938500,39.0
2026-05-08,39.8,41.93,39.02,41.83,1173100,41.83
2026-05-11,42.13,43.87,41.75,43.72,1985300,43.72
2026-05-12,43.16,43.51,41.92,43.34,948100,43.34
2026-05-13,43.96,44.45,42.84,43.8,880100,43.8
2026-05-14,44.04,45.7,44.04,44.83,992800,44.83
2026-05-15,44.29,44.49,42.44,42.8,1282900,42.8
2026-05-18,43.49,47.27,42.955,44.45,1673733,44.45
2026-05-19,43.72,43.975,42.36,42.6,756161,42.6
2026-05-20,42.7,43.41,41.42,42.59,481296,42.59
2026-05-21,42.59,42.29,40.8,40.87,1636840,40.87
2026-05-22,41.07,43.05,40.99,41.13,741323,41.13
2026-05-26,41.43,42.37,40.45,41.1,1288700,41.1
2026-05-27,41.3,44.26,40.64,44.13,1578300,44.13
2026-05-28,43.63,44.67,42.75,44.3,1043500,44.3
2026-05-29,44.05,45.69,43.39,44.12,1271100,44.12
2026-06-01,43.51,44.98,43.32,44.67,1075300,44.67
2026-06-02,45.41,47.15,44.74,45.16,1141800,45.16
2026-06-03,45.0,49.36,44.4,47.515,729443,47.515
2026-06-04,49.32,50.66,47.98,50.17,1740900,50.17
2026-06-05,50.12,50.55,46.86,47.4,1639300,47.4
2026-06-08,48.2,49.66,47.76,49.07,1342600,49.07
