date,open,high,low,close,volume,adj_close
2024-06-04,2.83,2.9,2.784,2.83,23000,2.83
2024-06-05,2.85,2.97,2.75,2.94,61700,2.94
2024-06-06,2.9,3.14,2.28,2.45,181800,2.45
2024-06-07,2.44,2.44,2.11,2.14,48700,2.14
2024-06-10,2.36,2.37,1.97,2.05,459300,2.05
2024-06-11,2.01,2.1,1.79,1.9,69300,1.9
2024-06-12,1.95,2.32,1.86,1.86,64300,1.86
2024-06-13,1.85,1.9,1.78,1.86,51300,1.86
2024-06-14,1.8,1.95,1.75,1.8,37400,1.8
2024-06-17,1.8,1.915,1.69,1.72,46600,1.72
2024-06-18,1.73,1.73,1.41,1.45,839900,1.45
2024-06-20,1.5,1.614,1.442,1.52,124900,1.52
2024-06-21,1.52,1.675,1.47,1.62,113000,1.62
2024-06-24,1.67,1.67,1.527,1.62,69600,1.62
2024-06-25,1.64,1.72,1.55,1.6,78600,1.6
2024-06-26,1.63,1.632,1.5,1.53,50900,1.53
2024-06-27,1.51,1.67,1.45,1.5,428900,1.5
2024-06-28,1.51,1.55,1.35,1.375,101100,1.375
2024-07-01,1.35,1.4,1.3,1.37,39200,1.37
2024-07-02,1.36,1.78,1.36,1.5,4589800,1.5
2024-07-03,3.06,3.27,2.27,2.5,55806400,2.5
2024-07-05,2.35,2.53,2.23,2.48,2099400,2.48
2024-07-08,2.29,2.44,2.15,2.2,759100,2.2
2024-07-09,2.18,2.63,2.16,2.55,4023500,2.55
2024-07-10,4.32,4.62,2.9,3.05,44737200,3.05
2024-07-11,2.66,3.29,2.66,3.04,2100100,3.04
2024-07-12,2.88,3.23,2.87,3.1,886400,3.1
2024-07-15,3.0,3.1,2.75,2.75,397100,2.75
2024-07-16,2.94,2.99,2.82,2.9,231200,2.9
2024-07-17,2.9,2.93,2.7,2.72,239500,2.72
2024-07-18,2.7,2.77,2.5,2.57,241500,2.57
2024-07-19,2.53,2.877,2.53,2.75,314400,2.75
2024-07-22,2.8,2.81,2.6,2.69,181700,2.69
2024-07-23,2.64,2.66,2.51,2.6,133000,2.6
2024-07-24,2.55,2.558,2.32,2.35,158600,2.35
2024-07-25,2.3,2.57,2.28,2.49,183100,2.49
2024-07-26,2.5,2.7,2.41,2.65,218800,2.65
2024-07-29,2.42,2.46,2.21,2.25,1130800,2.25
2024-07-30,2.16,2.27,1.81,1.9,343300,1.9
2024-07-31,1.91,2.147,1.91,2.045,150600,2.045
2024-08-01,2.0,2.073,1.96,2.0,72300,2.0
2024-08-02,1.95,2.04,1.87,1.93,76800,1.93
2024-08-05,1.91,1.94,1.7,1.81,147100,1.81
2024-08-06,1.8,1.86,1.79,1.79,63600,1.79
2024-08-07,1.79,1.95,1.67,1.68,150300,1.68
2024-08-08,1.66,1.82,1.66,1.71,69000,1.71
2024-08-09,1.73,1.89,1.73,1.86,88100,1.86
2024-08-12,1.95,2.13,1.89,2.07,67100,2.07
2024-08-13,2.11,2.5,2.08,2.33,339600,2.33
2024-08-14,2.31,2.54,2.2,2.26,285200,2.26
2024-08-15,2.3,2.31,2.1,2.31,135500,2.31
2024-08-16,2.36,2.4,2.18,2.23,116300,2.23
2024-08-19,2.17,2.4,2.15,2.37,197800,2.37
2024-08-20,2.35,2.63,2.31,2.63,389900,2.63
2024-08-21,2.65,2.69,2.16,2.27,387600,2.27
2024-08-22,2.26,2.289,2.121,2.15,92300,2.15
2024-08-23,2.15,2.37,2.05,2.35,179900,2.35
2024-08-26,2.59,2.59,2.29,2.42,189000,2.42
2024-08-27,2.28,2.4,2.185,2.36,130200,2.36
2024-08-28,2.38,2.38,2.105,2.19,102300,2.19
2024-08-29,2.13,2.19,1.67,2.1,2627100,2.1
2024-08-30,2.03,2.06,1.9,1.96,141300,1.96
2024-09-03,1.71,1.92,1.71,1.82,145500,1.82
2024-09-04,1.81,1.87,1.81,1.81,60000,1.81
2024-09-05,1.82,1.9,1.81,1.86,61800,1.86
2024-09-06,1.87,1.91,1.81,1.86,63600,1.86
2024-09-09,1.84,1.98,1.83,1.86,83900,1.86
2024-09-10,1.89,1.95,1.83,1.94,49300,1.94
2024-09-11,1.92,2.153,1.873,2.03,111600,2.03
2024-09-12,2.0,2.09,1.929,2.04,34600,2.04
2024-09-13,2.08,2.15,2.019,2.11,45500,2.11
2024-09-16,2.08,2.19,1.81,1.91,437000,1.91
2024-09-17,2.05,2.08,1.22,1.25,18256100,1.25
2024-09-18,1.44,1.5,1.24,1.33,6978500,1.33
2024-09-19,1.31,1.42,1.25,1.38,1309000,1.38
2024-09-20,1.29,1.37,1.24,1.32,601200,1.32
2024-09-23,1.31,1.36,1.27,1.36,372900,1.36
2024-09-24,1.28,1.38,1.28,1.38,383500,1.38
2024-09-25,1.34,1.39,1.29,1.35,3350100,1.35
2024-09-26,1.28,1.33,1.06,1.14,2068000,1.14
2024-09-27,1.09,1.1,1.02,1.06,472200,1.06
2024-09-30,1.05,1.19,0.963,1.0,830500,1.0
2024-10-01,1.0,1.01,0.744,0.8,922400,0.8
2024-10-02,0.78,0.8,0.728,0.775,439500,0.775
2024-10-03,0.775,0.871,0.74,0.822,1068900,0.822
2024-10-04,0.82,0.889,0.783,0.84,771900,0.84
2024-10-07,0.821,0.879,0.8,0.832,340500,0.832
2024-10-08,0.81,0.82,0.77,0.776,265900,0.776
2024-10-09,0.77,0.799,0.75,0.77,115000,0.77
2024-10-10,0.773,0.799,0.76,0.782,99000,0.782
2024-10-11,0.78,0.79,0.75,0.782,165400,0.782
2024-10-14,0.81,0.99,0.801,0.977,859000,0.977
2024-10-15,1.06,1.06,0.89,0.925,538800,0.925
2024-10-16,0.917,0.945,0.862,0.913,287800,0.913
2024-10-17,0.914,0.95,0.868,0.891,161700,0.891
2024-10-18,0.869,0.91,0.851,0.9,147200,0.9
2024-10-21,0.861,0.907,0.84,0.89,166200,0.89
2024-10-22,0.874,0.89,0.854,0.859,74200,0.859
2024-10-23,0.858,0.858,0.775,0.796,190400,0.796
2024-10-24,0.778,0.8,0.77,0.78,132300,0.78
2024-10-25,0.781,0.81,0.76,0.809,107600,0.809
2024-10-28,0.802,0.85,0.802,0.838,94300,0.838
2024-10-29,0.81,0.85,0.81,0.831,102200,0.831
2024-10-30,0.816,0.84,0.79,0.825,83800,0.825
2024-10-31,0.82,0.83,0.791,0.82,41200,0.82
2024-11-01,0.82,0.84,0.781,0.82,248300,0.82
2024-11-04,0.82,0.866,0.791,0.844,597600,0.844
2024-11-05,0.86,0.86,0.818,0.825,106700,0.825
2024-11-06,0.787,0.825,0.715,0.754,368200,0.754
2024-11-07,0.779,0.788,0.724,0.77,111800,0.77
2024-11-08,0.77,0.77,0.73,0.77,127400,0.77
2024-11-11,0.772,0.794,0.72,0.77,233200,0.77
2024-11-12,0.767,0.786,0.723,0.751,113500,0.751
2024-11-13,0.751,0.79,0.74,0.784,214300,0.784
2024-11-14,0.785,1.35,0.76,1.35,5915300,1.35
2024-11-15,1.06,1.11,0.801,0.822,2345300,0.822
2024-11-18,0.85,0.9,0.75,0.84,2702400,0.84
2024-11-19,0.804,0.84,0.76,0.81,381400,0.81
2024-11-20,0.823,0.87,0.78,0.854,337900,0.854
2024-11-21,0.84,0.939,0.801,0.898,358100,0.898
2024-11-22,0.9,0.937,0.865,0.919,169400,0.919
2024-11-25,0.903,1.1,0.903,1.07,671900,1.07
2024-11-26,1.05,1.22,1.04,1.12,678900,1.12
2024-11-27,1.14,1.4,1.11,1.16,1277000,1.16
2024-11-29,1.21,1.24,1.1,1.18,339000,1.18
2024-12-02,1.16,1.33,1.16,1.31,425700,1.31
2024-12-03,1.33,1.37,1.26,1.37,427500,1.37
2024-12-04,1.39,1.48,1.275,1.39,536800,1.39
2024-12-05,1.41,1.85,1.3,1.34,9260700,1.34
2024-12-06,1.14,1.17,1.01,1.12,1077400,1.12
2024-12-09,1.14,1.47,1.09,1.34,2452900,1.34
2024-12-10,1.3,1.34,1.18,1.21,370300,1.21
2024-12-11,1.22,1.22,1.09,1.19,766200,1.19
2024-12-12,1.2,1.27,1.153,1.24,184300,1.24
2024-12-13,1.27,1.27,1.21,1.25,151700,1.25
2024-12-16,1.25,1.25,1.16,1.21,218800,1.21
2024-12-17,1.22,1.22,1.13,1.2,229700,1.2
2024-12-18,1.21,1.49,1.18,1.33,1026800,1.33
2024-12-19,1.33,1.4,1.27,1.31,311900,1.31
2024-12-20,1.31,1.43,1.26,1.41,428000,1.41
2024-12-23,1.35,1.53,1.32,1.46,283100,1.46
2024-12-24,1.52,1.52,1.39,1.43,198900,1.43
2024-12-26,1.41,1.55,1.4,1.51,238800,1.51
2024-12-27,1.53,1.56,1.4,1.41,255400,1.41
2024-12-30,1.4,1.409,1.32,1.34,205300,1.34
2024-12-31,1.34,1.38,1.27,1.33,164100,1.33
2025-01-02,1.35,1.44,1.328,1.41,184500,1.41
2025-01-03,1.44,1.57,1.43,1.55,243800,1.55
2025-01-06,1.48,1.55,1.425,1.44,157200,1.44
2025-01-07,1.44,1.739,1.42,1.65,1449300,1.65
2025-01-08,1.62,1.628,1.47,1.48,355500,1.48
2025-01-10,1.47,1.49,1.401,1.44,190900,1.44
2025-01-13,1.56,1.84,1.275,1.35,5788000,1.35
2025-01-14,1.3,1.373,1.2,1.21,509400,1.21
2025-01-15,1.25,1.4,1.2,1.2,959400,1.2
2025-01-16,1.2,1.24,1.08,1.19,370500,1.19
2025-01-17,1.19,1.21,1.1,1.13,249800,1.13
2025-01-21,1.13,1.197,1.107,1.14,175000,1.14
2025-01-22,1.15,1.19,1.072,1.08,366400,1.08
2025-01-23,1.08,1.14,1.08,1.13,112200,1.13
2025-01-24,1.13,1.24,1.11,1.11,172300,1.11
2025-01-27,1.09,1.14,1.06,1.12,97600,1.12
2025-01-28,1.11,1.11,1.01,1.02,181300,1.02
2025-01-29,1.02,1.13,1.02,1.11,122200,1.11
2025-01-30,1.1,1.13,1.02,1.06,156600,1.06
2025-01-31,1.07,1.16,1.048,1.09,76000,1.09
2025-02-03,1.08,1.1,1.04,1.06,70400,1.06
2025-02-04,1.03,1.1,1.02,1.06,36600,1.06
2025-02-05,1.05,1.11,1.04,1.06,56200,1.06
2025-02-06,1.06,1.1,1.05,1.09,26500,1.09
2025-02-07,1.08,1.1,1.02,1.04,112500,1.04
2025-02-10,1.04,1.19,0.93,0.97,545100,0.97
2025-02-11,0.933,0.949,0.9,0.908,102800,0.908
2025-02-12,0.92,0.927,0.83,0.89,111100,0.89
2025-02-13,0.9,0.9,0.86,0.888,74600,0.888
2025-02-14,0.89,0.92,0.82,0.823,142900,0.823
2025-02-18,0.811,0.87,0.736,0.799,154800,0.799
2025-02-19,0.765,0.824,0.763,0.8,90100,0.8
2025-02-20,0.81,0.844,0.793,0.797,52500,0.797
2025-02-21,0.793,0.832,0.772,0.788,128000,0.788
2025-02-24,0.771,0.816,0.742,0.753,188200,0.753
2025-02-25,0.74,0.756,0.7,0.72,118200,0.72
2025-02-26,0.74,0.79,0.72,0.741,97200,0.741
2025-02-27,0.743,0.82,0.72,0.753,119500,0.753
2025-02-28,0.73,0.8,0.73,0.746,37000,0.746
2025-03-03,0.734,0.77,0.712,0.73,131300,0.73
2025-03-04,0.711,0.743,0.652,0.685,176000,0.685
2025-03-05,0.71,0.73,0.66,0.701,87400,0.701
2025-03-06,0.7,0.7,0.65,0.665,174300,0.665
2025-03-07,0.662,0.93,0.65,0.76,1794300,0.76
2025-03-10,0.756,0.756,0.66,0.66,456100,0.66
2025-03-11,0.66,0.679,0.62,0.648,186500,0.648
2025-03-12,0.65,0.692,0.65,0.668,61800,0.668
2025-03-13,0.66,0.668,0.626,0.649,49200,0.649
2025-03-14,0.66,0.7,0.64,0.689,81700,0.689
2025-03-17,0.687,0.709,0.66,0.7,37300,0.7
2025-03-18,0.738,0.738,0.686,0.71,70100,0.71
2025-03-19,0.72,0.77,0.619,0.74,108000,0.74
2025-03-20,0.83,0.848,0.74,0.848,715400,0.848
2025-03-21,1.32,1.63,1.04,1.29,65083600,1.29
2025-03-24,1.285,4.37,1.1,3.22,64046000,3.22
2025-03-25,2.81,2.88,2.2,2.26,9075800,2.26
2025-03-26,3.31,5.5,3.11,4.18,142709200,4.18
2025-03-27,4.675,6.66,3.79,4.18,44826000,4.18
2025-03-28,3.79,4.4,3.7,3.92,4444000,3.92
2025-03-31,3.88,4.35,3.61,4.0,3245600,4.0
2025-04-01,3.96,4.05,3.78,3.9,1440600,3.9
2025-04-02,3.83,4.74,3.212,3.74,4605800,3.74
2025-04-03,3.49,3.82,3.25,3.73,1084800,3.73
2025-04-04,3.69,3.9,3.45,3.57,1071500,3.57
2025-04-07,3.4,4.04,3.057,3.7,1723300,3.7
2025-04-08,3.71,3.93,3.45,3.54,669400,3.54
2025-04-09,3.72,4.08,3.17,3.33,1711500,3.33
2025-04-10,3.23,3.37,3.071,3.33,565000,3.33
2025-04-11,3.33,3.7,2.8,3.18,1874000,3.18
2025-04-14,3.19,3.24,2.91,2.97,756400,2.97
2025-04-15,2.81,2.939,2.56,2.65,551900,2.65
2025-04-16,2.54,2.83,2.54,2.62,234400,2.62
2025-04-17,2.61,2.62,2.35,2.54,247600,2.54
2025-04-21,2.62,2.9,2.52,2.7,472300,2.7
2025-04-22,2.68,2.722,2.5,2.54,272900,2.54
2025-04-23,2.53,2.9,2.5,2.8,374500,2.8
2025-04-24,2.8,3.07,2.8,3.03,320700,3.03
2025-04-25,3.1,3.11,2.84,2.96,195800,2.96
2025-04-28,2.93,3.15,2.87,2.94,237900,2.94
2025-04-29,2.9,3.4,2.9,3.38,467300,3.38
2025-04-30,3.35,3.62,3.265,3.52,373000,3.52
2025-05-01,3.54,3.73,3.41,3.58,299400,3.58
2025-05-02,3.6,3.83,3.58,3.63,203300,3.63
2025-05-05,3.59,3.777,3.4,3.44,212300,3.44
2025-05-06,3.38,3.45,3.2,3.32,207900,3.32
2025-05-07,3.2,3.674,3.2,3.56,193200,3.56
2025-05-08,3.395,3.68,3.25,3.55,672600,3.55
2025-05-09,3.57,4.44,3.57,4.35,1473300,4.35
2025-05-12,4.49,4.99,4.2,4.72,828800,4.72
2025-05-13,4.75,5.0,4.622,4.79,458100,4.79
2025-05-14,4.82,4.82,4.4,4.72,281000,4.72
2025-05-15,4.8,4.88,4.52,4.64,234000,4.64
2025-05-16,4.68,4.744,4.35,4.61,243600,4.61
2025-05-19,4.53,5.15,4.53,4.89,406000,4.89
2025-05-20,4.85,5.04,4.85,4.94,149200,4.94
2025-05-21,4.8,4.94,4.56,4.56,300100,4.56
2025-05-22,4.55,5.06,4.36,4.93,429100,4.93
2025-05-23,4.97,6.29,4.888,6.13,1280800,6.13
2025-05-27,6.75,6.75,5.63,6.04,1351600,6.04
2025-05-28,6.06,8.49,5.93,6.81,5335500,6.81
2025-05-29,7.03,8.88,4.15,4.24,6763300,4.24
2025-05-30,5.495,5.5,4.53,4.64,8449200,4.64
2025-06-02,4.58,4.79,4.12,4.29,1372700,4.29
2025-06-03,4.31,5.278,4.05,5.17,1944700,5.17
2025-06-04,5.52,7.147,5.2,6.43,3576500,6.43
2025-06-05,6.46,7.1,5.84,5.91,1742100,5.91
2025-06-06,6.04,6.539,5.81,6.15,908600,6.15
2025-06-09,6.25,7.4,5.6,6.84,1539700,6.84
2025-06-10,7.11,7.173,6.473,6.65,610900,6.65
2025-06-11,7.105,7.195,5.97,6.2,1955000,6.2
2025-06-12,6.21,6.254,5.4,5.57,881200,5.57
2025-06-13,5.46,5.9,5.25,5.47,558900,5.47
2025-06-16,5.56,5.83,5.26,5.61,531300,5.61
2025-06-17,5.5,5.635,5.25,5.4,332500,5.4
2025-06-18,5.27,5.41,4.88,5.07,595900,5.07
2025-06-20,5.085,5.3,4.4,4.505,742100,4.505
2025-06-23,4.45,4.497,3.87,3.96,991700,3.96
2025-06-24,4.17,4.17,3.75,3.85,605300,3.85
2025-06-25,4.02,4.057,3.6,3.67,394500,3.67
2025-06-26,3.73,3.95,3.66,3.83,481300,3.83
2025-06-27,3.83,3.87,3.57,3.59,322600,3.59
2025-06-30,3.63,4.463,3.6,4.07,1148700,4.07
2025-07-01,4.01,4.13,3.81,3.99,696800,3.99
2025-07-02,3.99,4.68,3.98,4.61,766900,4.61
2025-07-03,4.74,4.92,4.43,4.61,851200,4.61
2025-07-07,4.58,5.8,4.44,5.75,1393500,5.75
2025-07-08,5.69,5.69,4.95,5.09,791800,5.09
2025-07-09,5.21,5.305,4.8,5.19,979500,5.19
2025-07-10,5.03,5.03,4.41,4.51,1064900,4.51
2025-07-11,4.7,5.57,4.7,5.19,1279100,5.19
2025-07-14,5.3,6.037,5.15,5.43,1006800,5.43
2025-07-15,5.3,5.55,5.16,5.25,451400,5.25
2025-07-16,5.38,6.22,5.32,6.18,1715500,6.18
2025-07-17,6.81,7.33,6.202,6.72,4444800,6.72
2025-07-18,7.94,8.63,6.84,6.87,7008100,6.87
2025-07-21,7.53,7.8,6.15,6.44,4354600,6.44
2025-07-22,5.852,7.2,5.3,6.85,3632900,6.85
2025-07-23,6.59,6.59,5.75,5.805,1608600,5.805
2025-07-24,5.73,5.94,5.5,5.59,920600,5.59
2025-07-25,5.4,5.475,4.78,4.88,1366400,4.88
