date,open,high,low,close,volume,adj_close
2024-05-20,66.85,68.53,66.18,67.515,2484300,67.515
2024-05-21,67.42,67.6,63.66,64.23,3457300,64.23
2024-05-22,64.63,64.63,62.25,63.01,3120100,63.01
2024-05-23,63.85,64.979,61.09,61.57,3311300,61.57
2024-05-24,62.2,64.24,61.431,62.75,2124800,62.75
2024-05-28,63.46,65.9,62.331,65.36,2288700,65.36
2024-05-29,64.0,64.79,63.03,63.81,1642800,63.81
2024-05-30,63.89,64.88,60.684,61.78,2359800,61.78
2024-05-31,62.22,63.5,61.51,62.26,2219800,62.26
2024-06-03,62.27,65.148,60.7,62.27,2409900,62.27
2024-06-04,65.0,65.42,52.31,56.23,11381500,56.23
2024-06-05,57.0,60.15,55.8,58.88,3949600,58.88
2024-06-06,58.31,58.426,54.53,55.01,3897700,55.01
2024-06-07,54.51,56.96,53.76,55.99,2558300,55.99
2024-06-10,55.0,57.305,54.84,56.38,1850200,56.38
2024-06-11,55.4,55.755,52.5,52.73,3318600,52.73
2024-06-12,54.18,54.9,51.52,52.46,2911100,52.46
2024-06-13,52.08,53.13,51.03,52.1,2575300,52.1
2024-06-14,51.08,52.85,48.2,52.02,5066500,52.02
2024-06-17,51.61,53.96,50.2,52.02,3165200,52.02
2024-06-18,52.0,52.93,50.3,50.64,3063800,50.64
2024-06-20,50.64,51.9,49.56,50.43,2930500,50.43
2024-06-21,50.7,53.96,50.08,52.74,7128200,52.74
2024-06-24,52.42,54.42,51.45,52.12,3037800,52.12
2024-06-25,52.29,52.6,47.54,47.8,4787600,47.8
2024-06-26,47.45,47.98,46.11,47.39,2803700,47.39
2024-06-27,50.83,51.48,47.9,50.77,4751300,50.77
2024-06-28,51.3,54.8,51.05,53.01,16150700,53.01
2024-07-01,53.38,58.26,52.5,55.32,4218300,55.32
2024-07-02,54.01,55.29,51.5,51.54,3074900,51.54
2024-07-03,51.89,52.6,49.85,50.47,1635700,50.47
2024-07-05,50.91,52.3,50.25,51.27,1485900,51.27
2024-07-08,51.75,53.17,50.171,51.01,1784000,51.01
2024-07-09,51.4,54.93,51.04,54.15,2385500,54.15
2024-07-10,54.29,58.71,54.17,57.99,3991000,57.99
2024-07-11,56.44,60.23,56.42,58.63,3834200,58.63
2024-07-12,58.82,59.79,57.13,57.18,2052100,57.18
2024-07-15,57.63,60.0,56.66,59.38,2141100,59.38
2024-07-16,59.94,60.25,56.75,57.0,2010300,57.0
2024-07-17,53.69,53.782,48.26,49.84,6437000,49.84
