date,open,high,low,close,volume,adj_close
2024-07-01,19.6269,19.7117,19.4319,19.6523,5800,19.6523
2024-07-02,19.6778,19.771,19.6269,19.6693,4600,19.6693
2024-07-03,19.7201,19.7456,19.7201,19.7456,2900,19.7456
2024-07-05,19.9914,19.9914,19.8388,19.9321,5900,19.9321
2024-07-08,19.8219,19.9491,19.8049,19.8982,5900,19.8982
2024-07-09,19.9236,19.9236,19.7456,19.7456,12100,19.7456
2024-07-10,19.7117,19.7117,19.3471,19.4488,8800,19.4488
2024-07-11,19.8304,19.9914,19.6693,19.9914,4500,19.9914
2024-07-12,19.9745,20.1695,19.7456,20.161,14600,20.161
2024-07-15,20.2373,20.2543,20.1186,20.2543,3900,20.2543
2024-07-16,20.2204,20.3221,20.1864,20.2458,18800,20.2458
2024-07-17,20.3306,20.3306,20.2204,20.2288,3000,20.2288
2024-07-18,20.339,20.339,20.1271,20.1271,11800,20.1271
2024-07-19,20.1271,20.3051,20.1271,20.2288,2000,20.2288
2024-07-22,20.1356,20.3899,20.1356,20.2204,7400,20.2204
2024-07-23,20.2627,20.356,20.1441,20.356,7100,20.356
2024-07-24,20.3475,20.3475,20.1356,20.1356,3300,20.1356
2024-07-25,20.1356,20.1356,20.1356,20.1356,1200,20.1356
2024-07-26,20.356,20.568,20.356,20.551,12300,20.551
2024-07-29,20.4662,21.0003,20.4662,20.9325,29500,20.9325
2024-07-30,20.8817,20.958,20.7884,20.958,16400,20.958
2024-07-31,21.0173,21.1784,20.941,21.0766,27800,21.0766
2024-08-01,21.1106,21.1275,21.0766,21.0851,18400,21.0851
2024-08-02,20.941,21.0003,20.763,20.8732,16700,20.8732
2024-08-05,20.6782,20.8986,20.4662,20.5849,18400,20.5849
2024-08-06,20.6867,20.8647,20.6867,20.8647,17100,20.8647
2024-08-07,20.8647,21.0258,20.7714,20.7714,26800,20.7714
2024-08-08,20.9156,20.958,20.8138,20.958,9800,20.958
2024-08-09,20.941,20.9664,20.7714,20.8986,10100,20.8986
2024-08-12,20.9834,20.9834,20.6867,20.6867,4800,20.6867
2024-08-13,20.763,20.7714,20.6103,20.6951,11700,20.6951
2024-08-14,20.8223,20.8901,20.8223,20.8901,3100,20.8901
2024-08-15,20.9325,20.9834,20.8816,20.9834,4500,20.9834
2024-08-16,20.9495,20.9495,20.9495,20.9495,700,20.9495
2024-08-19,20.924,20.9749,20.924,20.9749,6200,20.9749
2024-08-20,20.924,20.9749,20.9071,20.924,2200,20.924
2024-08-21,20.9156,20.9834,20.9156,20.9834,10300,20.9834
2024-08-22,20.941,20.958,20.9156,20.9156,8400,20.9156
2024-08-23,20.9834,21.1106,20.941,21.0512,17900,21.0512
2024-08-26,21.1021,21.1614,21.0173,21.153,13400,21.153
2024-08-27,21.153,21.2377,21.0258,21.2377,22400,21.2377
2024-08-28,21.2632,22.0516,21.2632,21.4497,14200,21.4497
2024-08-29,21.4582,21.4582,21.1953,21.2123,17400,21.2123
2024-08-30,21.2038,21.3479,21.1869,21.3225,7400,21.3225
2024-09-03,21.4158,21.4158,21.3564,21.3564,6000,21.3564
2024-09-04,21.3649,21.4158,21.3225,21.3479,17100,21.3479
2024-09-05,21.4073,21.4497,21.3479,21.4497,1500,21.4497
2024-09-06,21.3564,21.3564,21.2377,21.2801,16200,21.2801
2024-09-09,21.3649,21.3988,21.2801,21.3649,20700,21.3649
2024-09-10,21.4073,21.4497,21.3395,21.4327,6100,21.4327
2024-09-11,21.4158,21.4158,21.2377,21.3225,19500,21.3225
2024-09-12,21.4497,21.5006,21.3988,21.4073,12800,21.4073
2024-09-13,21.5367,21.6235,21.4585,21.528,13400,21.528
2024-09-16,21.4759,21.6669,21.3456,21.6322,14900,21.6322
2024-09-17,21.6409,21.667,21.5888,21.6235,9800,21.6235
2024-09-18,21.6062,21.7104,21.528,21.7104,5000,21.7104
2024-09-19,21.7104,21.9014,21.6235,21.7277,15200,21.7277
2024-09-20,21.7364,21.7538,21.5801,21.6322,7700,21.6322
2024-09-23,21.7538,21.7972,21.5367,21.667,9700,21.667
2024-09-24,21.6583,22.0317,21.6496,22.0317,5000,22.0317
2024-09-25,22.0317,22.0404,21.8754,21.8754,4900,21.8754
2024-09-26,21.8233,21.8754,21.6235,21.6235,19000,21.6235
2024-09-27,21.7972,21.9709,21.667,21.9709,7500,21.9709
2024-09-30,21.8841,21.9622,21.6235,21.6409,21400,21.6409
2024-10-01,21.7277,21.7277,21.7277,21.7277,1600,21.7277
2024-10-02,21.7104,21.8493,21.7104,21.7885,1700,21.7885
2024-10-03,21.8754,21.9709,21.8754,21.8841,5800,21.8841
2024-10-04,21.9275,21.9275,21.7451,21.8841,2400,21.8841
2024-10-07,21.8233,21.9101,21.7972,21.7972,1600,21.7972
2024-10-08,21.8233,21.9101,21.7538,21.8233,1200,21.8233
2024-10-09,21.8406,21.8667,21.7625,21.7885,6100,21.7885
2024-10-10,21.7885,21.8146,21.7885,21.7885,800,21.7885
2024-10-11,21.7625,21.8493,21.7104,21.8493,5100,21.8493
