date,open,high,low,close,volume,adj_close
2024-05-20,2.1,2.1,1.92,1.94,577200,1.94
2024-05-21,1.94,1.96,1.88,1.9,911500,1.9
2024-05-22,1.89,1.92,1.83,1.91,574500,1.91
2024-05-23,1.91,1.91,1.76,1.77,1040100,1.77
2024-05-24,1.79,1.83,1.76,1.79,860200,1.79
2024-05-28,1.81,1.9,1.79,1.84,583100,1.84
2024-05-29,1.8,1.87,1.8,1.82,505800,1.82
2024-05-30,1.81,2.1,1.81,2.09,2718700,2.09
2024-05-31,2.06,2.13,1.94,1.94,1526300,1.94
2024-06-03,1.96,2.21,1.96,2.12,1693300,2.12
2024-06-04,2.14,2.22,2.07,2.19,1063100,2.19
2024-06-05,2.19,2.3,2.18,2.28,1045500,2.28
2024-06-06,2.25,2.33,2.21,2.28,1036400,2.28
2024-06-07,2.23,2.29,2.19,2.24,666100,2.24
2024-06-10,2.23,2.4,2.21,2.37,641000,2.37
2024-06-11,2.39,2.39,2.3,2.32,755400,2.32
2024-06-12,2.37,2.38,2.3,2.33,419000,2.33
2024-06-13,2.35,2.38,2.32,2.37,486500,2.37
2024-06-14,2.38,2.38,2.24,2.25,538600,2.25
2024-06-17,2.23,2.25,2.13,2.14,534900,2.14
2024-06-18,2.1,2.15,2.03,2.08,934900,2.08
2024-06-20,2.05,2.14,2.03,2.04,526800,2.04
2024-06-21,2.06,2.18,2.03,2.05,1047000,2.05
2024-06-24,2.03,2.4,2.03,2.32,1431600,2.32
2024-06-25,2.31,2.36,2.19,2.24,491100,2.24
2024-06-26,2.26,2.27,2.13,2.17,538200,2.17
2024-06-27,2.17,2.2,2.06,2.08,892800,2.08
2024-06-28,2.08,2.15,2.03,2.1,960800,2.1
2024-07-01,2.11,2.16,2.05,2.06,285300,2.06
2024-07-02,2.05,2.19,2.05,2.18,297100,2.18
2024-07-03,2.19,2.37,2.17,2.27,550600,2.27
2024-07-05,2.23,2.25,2.2,2.24,286500,2.24
2024-07-08,2.23,2.35,2.12,2.32,1156300,2.32
2024-07-09,2.22,2.47,2.22,2.41,2126800,2.41
2024-07-10,2.4,2.44,2.22,2.25,1335800,2.25
2024-07-11,2.21,2.33,2.06,2.31,2161700,2.31
2024-07-12,2.3,2.43,2.29,2.31,814300,2.31
2024-07-15,2.31,2.31,2.16,2.17,437300,2.17
2024-07-16,2.18,2.27,2.18,2.24,798500,2.24
2024-07-17,2.21,2.24,2.17,2.18,244000,2.18
2024-07-18,2.18,2.22,2.11,2.13,392100,2.13
2024-07-19,2.11,2.16,2.09,2.09,622400,2.09
2024-07-22,2.12,2.23,2.1,2.16,394500,2.16
2024-07-23,2.13,2.15,2.07,2.09,232300,2.09
2024-07-24,2.08,2.15,2.0,2.02,661300,2.02
2024-07-25,2.06,2.08,1.98,1.99,350700,1.99
2024-07-26,1.98,2.04,1.96,1.98,350300,1.98
2024-07-29,2.01,2.08,1.98,1.99,335800,1.99
