date,open,high,low,close,volume,adj_close
2025-07-15,52.2,77.2,47.4,65.4,32335,65.4
2025-07-16,61.8,73.8,50.36,70.4,25495,70.4
2025-07-17,62.0,75.6,56.32,60.8,82745,60.8
2025-07-18,60.6,64.98,56.4,58.0,9200,58.0
2025-07-21,56.0,56.96,47.6,48.7,13055,48.7
2025-07-22,50.0,50.0,43.0,47.8,15945,47.8
2025-07-23,45.0,48.7,43.4,47.6,19960,47.6
2025-07-24,46.0,47.4,44.2,46.0,6930,46.0
2025-07-25,41.6,49.0,41.22,47.0,11390,47.0
2025-07-28,82.0,251.8,65.6,220.0,12737490,220.0
2025-07-29,143.0,162.0,137.0,154.6,399645,154.6
2025-07-30,137.4,237.2,130.0,165.6,1615455,165.6
2025-07-31,187.0,205.4,156.0,161.8,197190,161.8
2025-08-01,156.6,171.18,151.4,156.8,44930,156.8
2025-08-04,157.8,165.8,143.08,145.0,30670,145.0
2025-08-05,147.0,154.98,132.0,144.0,38175,144.0
2025-08-06,142.2,152.0,142.2,143.4,16330,143.4
2025-08-07,144.0,153.56,136.0,145.4,22285,145.4
2025-08-08,146.4,146.98,138.0,138.0,6630,138.0
2025-08-11,137.6,139.8,131.0,131.0,9325,131.0
2025-08-12,130.4,147.8,130.0,145.0,12155,145.0
2025-08-13,147.0,157.0,138.0,141.0,13475,141.0
2025-08-14,141.6,148.4,140.0,144.0,6155,144.0
2025-08-15,151.6,151.6,140.0,146.4,8260,146.4
2025-08-18,145.4,150.8,142.2,148.8,2345,148.8
2025-08-19,150.4,185.6,150.4,176.2,77470,176.2
2025-08-20,179.8,184.76,165.0,183.0,18470,183.0
2025-08-21,188.6,220.0,170.2,181.4,54375,181.4
2025-08-22,183.6,186.0,165.2,169.4,16630,169.4
2025-08-25,173.4,200.78,173.0,195.2,25675,195.2
2025-08-26,197.0,199.2,182.2,187.6,22915,187.6
2025-08-27,191.8,199.0,181.0,185.4,13490,185.4
2025-08-28,186.0,190.0,175.0,180.4,8540,180.4
2025-08-29,181.0,195.0,179.2,191.6,10870,191.6
2025-09-02,180.0,188.2,171.2,181.8,9290,181.8
2025-09-03,188.6,209.8,186.48,191.0,26825,191.0
2025-09-04,192.8,218.4,192.0,214.2,16560,214.2
2025-09-05,220.0,222.2,197.46,201.0,14440,201.0
2025-09-08,201.0,229.8,193.0,228.8,20150,228.8
2025-09-09,224.6,227.58,211.28,216.8,12730,216.8
2025-09-10,217.2,229.4,211.2,215.4,11275,215.4
2025-09-11,211.6,212.4,197.76,206.2,10175,206.2
2025-09-12,206.2,221.0,197.0,218.4,11200,218.4
2025-09-15,228.0,234.8,220.0,221.8,18220,221.8
2025-09-16,220.0,227.8,220.0,222.8,4525,222.8
2025-09-17,220.6,225.0,213.2,213.8,6285,213.8
2025-09-18,209.8,229.8,205.0,225.3,10325,225.3
2025-09-19,227.2,227.2,211.0,211.6,19755,211.6
