date,open,high,low,close,volume,adj_close
2024-05-20,44.1312,44.3393,43.6299,43.6394,693600,43.6394
2024-05-21,43.611,43.9231,43.2327,43.488,601300,43.488
2024-05-22,43.4407,43.5164,42.599,42.6746,592900,42.6746
2024-05-23,42.807,42.807,41.3883,41.464,662100,41.464
2024-05-24,41.6248,41.9369,41.3883,41.9275,825700,41.9275
2024-05-28,41.9085,42.022,41.2938,41.4451,652700,41.4451
2024-05-29,40.7263,40.7263,40.1115,40.5655,764800,40.5655
2024-05-30,41.1803,41.36,40.8209,41.1708,666200,41.1708
2024-05-31,41.36,41.8612,41.2276,41.8234,1171700,41.8234
2024-06-03,42.2017,42.2017,40.3007,40.452,1147400,40.452
2024-06-04,40.0358,40.1304,39.5346,39.5535,822400,39.5535
2024-06-05,39.8278,39.8656,39.3927,39.4116,1580300,39.4116
2024-06-06,39.4967,39.7427,39.1184,39.4116,839300,39.4116
2024-06-07,39.0333,39.4684,39.0144,39.1846,656200,39.1846
2024-06-10,38.5699,39.0144,38.1726,38.7117,982200,38.7117
2024-06-11,38.3429,38.5604,37.9456,38.1064,1591300,38.1064
2024-06-12,39.1184,39.7899,38.5699,39.109,2457100,39.109
2024-06-13,38.8725,38.8725,37.8794,38.3523,1275200,38.3523
2024-06-14,37.8605,38.1726,37.2457,37.4916,1544500,37.4916
2024-06-17,37.4916,38.3901,37.2079,38.3618,1126700,38.3618
2024-06-18,38.2672,38.655,38.0875,38.5604,1048100,38.5604
2024-06-20,38.2861,38.882,38.2861,38.6928,710000,38.6928
2024-06-21,38.6266,38.6455,38.1064,38.6455,2402400,38.6455
2024-06-24,38.7023,40.2345,38.6644,39.8561,1037300,39.8561
2024-06-25,39.5819,39.894,39.213,39.4022,991600,39.4022
2024-06-26,39.0428,39.4684,38.9009,39.4022,783600,39.4022
2024-06-27,39.2225,39.3832,38.8725,39.213,1159400,39.213
2024-06-28,39.544,41.2843,39.544,41.2276,2517200,41.2276
2024-07-01,41.1424,42.1923,41.1424,41.8612,2094600,41.8612
2024-07-02,41.6815,42.8354,41.6815,42.6841,1853000,42.6841
2024-07-03,42.5801,42.7598,41.0762,41.0951,1034400,41.0951
2024-07-05,40.9627,41.4356,40.5655,40.7168,1980500,40.7168
2024-07-08,40.7074,41.2276,40.225,40.5182,1214500,40.5182
2024-07-09,40.329,41.3221,40.1966,41.2276,1195100,41.2276
2024-07-10,41.0195,42.0977,40.9627,42.0599,929800,42.0599
2024-07-11,42.703,44.1122,42.58,44.0271,1579600,44.0271
2024-07-12,44.2163,44.5662,43.7812,44.1974,1313800,44.1974
2024-07-15,45.3985,45.6255,44.85,45.2945,1868900,45.2945
2024-07-16,45.4742,47.1956,45.304,46.9024,1667100,46.9024
2024-07-17,46.3822,47.7725,46.1741,46.4011,2173200,46.4011
2024-07-18,46.1268,47.1294,45.5026,45.8431,1791200,45.8431
2024-07-19,45.758,46.4578,45.1621,45.2283,2573400,45.2283
2024-07-22,45.1432,46.1836,44.6324,46.1457,3646800,46.1457
2024-07-23,39.2887,44.3582,39.2887,43.5164,4381900,43.5164
2024-07-24,43.8096,44.9162,43.6488,43.8474,2583700,43.8474
2024-07-25,44.1312,46.2498,43.8096,45.966,2008600,45.966
