date,open,high,low,close,volume,adj_close
2024-05-20,9.4903,9.5847,9.4903,9.5121,65100,9.5121
2024-05-21,9.4903,9.6137,9.483,9.5774,60200,9.5774
2024-05-22,9.5992,9.7154,9.5774,9.621,70000,9.621
2024-05-23,9.6573,9.6573,9.5338,9.5556,28300,9.5556
2024-05-24,9.5701,9.65,9.5411,9.621,46900,9.621
2024-05-28,9.6137,9.7589,9.5266,9.5484,132600,9.5484
2024-05-29,9.621,9.6282,9.2942,9.3596,165500,9.3596
2024-05-30,9.3523,9.5556,9.2579,9.2942,119100,9.2942
2024-05-31,9.4685,9.5629,9.316,9.3305,296300,9.3305
2024-06-03,9.4249,9.4903,9.3305,9.4467,86000,9.4467
2024-06-04,9.4394,9.5048,9.345,9.3886,48000,9.3886
2024-06-05,9.4249,9.5338,9.2942,9.3959,61100,9.3959
2024-06-06,9.4249,9.4467,9.2507,9.2579,258900,9.2579
2024-06-07,9.2579,9.454,9.2579,9.4467,99800,9.4467
2024-06-10,9.4757,9.4975,9.3886,9.4757,125000,9.4757
2024-06-11,9.4975,9.5992,9.454,9.5121,74700,9.5121
2024-06-12,9.6282,9.6282,9.5121,9.5338,92900,9.5338
2024-06-13,9.5701,9.5847,9.3741,9.3959,418000,9.3959
2024-06-14,9.4467,9.621,9.4031,9.5484,144400,9.5484
2024-06-17,9.6428,9.6428,9.3233,9.4757,203500,9.4757
2024-06-18,9.3747,9.5618,9.2999,9.3149,250000,9.3149
2024-06-20,9.3149,9.3897,9.1877,9.2476,173100,9.2476
2024-06-21,9.3149,9.3299,9.2101,9.2101,118900,9.2101
2024-06-24,9.2251,9.2999,9.1428,9.2101,300200,9.2101
2024-06-25,9.2101,9.2326,9.083,9.1653,108600,9.1653
2024-06-26,9.1428,9.2326,9.053,9.068,48300,9.068
2024-06-27,9.1129,9.2176,9.0381,9.053,81900,9.053
2024-06-28,9.0904,9.1952,9.0455,9.1802,62100,9.1802
2024-07-01,9.1952,9.3822,9.1952,9.285,83800,9.285
2024-07-02,9.2924,9.3972,9.2176,9.2924,94600,9.2924
2024-07-03,9.285,9.5244,9.2775,9.4421,80500,9.4421
2024-07-05,9.3897,9.3897,9.2101,9.2176,55400,9.2176
2024-07-08,9.2775,9.3149,9.2027,9.2176,43000,9.2176
2024-07-09,9.2326,9.2326,9.1653,9.1727,34300,9.1727
2024-07-10,9.1802,9.255,9.1802,9.2251,35800,9.2251
2024-07-11,9.2775,9.2924,9.2027,9.2625,32500,9.2625
2024-07-12,9.27,9.3074,9.2476,9.255,37100,9.255
2024-07-15,9.255,9.2999,9.2176,9.27,85000,9.27
2024-07-16,9.2999,9.2999,9.1877,9.2027,82900,9.2027
2024-07-17,9.1653,9.2401,9.1129,9.1727,88200,9.1727
2024-07-18,9.2027,9.2251,9.0755,9.0979,56500,9.0979
2024-07-19,9.1054,9.1054,9.0156,9.0156,30800,9.0156
2024-07-22,8.9932,9.2027,8.9932,9.1578,53600,9.1578
2024-07-23,9.1952,9.1952,9.1353,9.1353,27400,9.1353
2024-07-24,9.1578,9.1952,9.0755,9.0755,33600,9.0755
2024-07-25,9.0829,9.1353,9.0755,9.0979,31500,9.0979
2024-07-26,9.0755,9.1428,9.0755,9.1204,43600,9.1204
2024-07-29,9.1204,9.1204,9.0156,9.0306,65600,9.0306
2024-07-30,9.0306,9.0755,9.0006,9.0755,38900,9.0755
2024-07-31,9.0306,9.0605,8.9184,8.9184,122700,8.9184
2024-08-01,8.9632,9.0081,8.8435,8.866,91000,8.866
2024-08-02,8.8959,8.9034,8.7089,8.8136,115000,8.8136
2024-08-05,8.7537,8.7537,8.4694,8.664,235600,8.664
2024-08-06,8.664,8.7463,8.664,8.7463,49800,8.7463
2024-08-07,8.7687,8.836,8.6864,8.7837,106500,8.7837
2024-08-08,8.7537,8.7687,8.3348,8.4245,252500,8.4245
2024-08-09,8.4694,8.5817,8.4245,8.5742,86900,8.5742
2024-08-12,8.5742,8.6415,8.5068,8.6116,91300,8.6116
2024-08-13,8.6415,8.6714,8.4919,8.5517,86800,8.5517
2024-08-14,8.4694,8.4844,8.1926,8.3572,233000,8.3572
2024-08-15,8.4171,8.649,8.4171,8.6041,69800,8.6041
2024-08-16,8.5592,8.7089,8.5368,8.6789,46900,8.6789
2024-08-19,8.7163,8.7912,8.6864,8.7762,57600,8.7762
2024-08-20,8.7837,8.7837,8.6789,8.7089,44300,8.7089
2024-08-21,8.7089,8.8585,8.7089,8.8435,64400,8.8435
2024-08-22,8.8435,8.8735,8.7463,8.7762,20900,8.7762
2024-08-23,8.8361,8.8884,8.8211,8.8585,36200,8.8585
2024-08-26,8.851,8.9483,8.7014,8.7463,109500,8.7463
2024-08-27,8.7388,8.7762,8.7014,8.7537,39900,8.7537
2024-08-28,8.7388,8.7687,8.6789,8.7463,56300,8.7463
2024-08-29,8.8211,8.9034,8.7837,8.866,66800,8.866
2024-08-30,8.8735,8.9183,8.836,8.8959,69900,8.8959
2024-09-03,8.8735,8.9707,8.8286,8.9184,67700,8.9184
2024-09-04,8.9034,8.9932,8.851,8.8735,37200,8.8735
2024-09-05,8.9258,8.9408,8.8735,8.9034,28600,8.9034
2024-09-06,8.8735,9.0007,8.8211,8.9483,118200,8.9483
2024-09-09,8.9707,9.0306,8.8735,8.8959,45600,8.8959
2024-09-10,8.8585,8.9258,8.8061,8.851,35000,8.851
2024-09-11,8.8585,8.8585,8.7163,8.8435,45200,8.8435
2024-09-12,8.8435,8.8435,8.7014,8.7612,128700,8.7612
2024-09-13,8.7837,9.1503,8.7837,9.0006,92500,9.0006
2024-09-16,9.1129,9.2924,9.0904,9.1503,119800,9.1503
2024-09-17,9.1503,9.2251,9.0306,9.1802,260100,9.1802
2024-09-18,9.1377,9.2536,9.0064,9.1532,259100,9.1532
2024-09-19,9.1918,9.215,9.0064,9.0219,107200,9.0219
2024-09-20,9.0141,9.0141,8.8519,8.8519,146300,8.8519
2024-09-23,8.8983,8.9446,8.7824,8.8906,97900,8.8906
2024-09-24,8.8906,8.9987,8.8906,8.9678,45800,8.9678
2024-09-25,8.9292,8.9987,8.8519,8.8674,33600,8.8674
2024-09-26,8.906,8.9215,8.821,8.8442,35600,8.8442
2024-09-27,8.906,8.9369,8.8442,8.8751,49100,8.8751
2024-09-30,8.9215,8.9601,8.8597,8.9369,38600,8.9369
2024-10-01,8.9446,9.0605,8.9292,9.045,80800,9.045
2024-10-02,9.0759,9.2227,8.9369,9.0605,181300,9.0605
2024-10-03,9.0528,9.1146,8.9215,8.9601,71400,8.9601
2024-10-04,8.9446,9.1918,8.9446,9.0682,97500,9.0682
2024-10-07,9.0682,9.0682,8.9755,9.0373,49700,9.0373
2024-10-08,9.0605,9.0605,8.9292,8.9446,43400,8.9446
2024-10-09,8.991,8.9987,8.8133,8.8288,81700,8.8288
2024-10-10,8.8133,8.9446,8.8133,8.9292,24500,8.9292
2024-10-11,8.9755,8.9755,8.8828,8.9215,24500,8.9215
2024-10-14,8.9215,8.9832,8.8906,8.9369,42400,8.9369
2024-10-15,9.0373,9.0759,8.9832,9.045,69800,9.045
2024-10-16,9.0759,9.1686,9.045,9.1686,42200,9.1686
2024-10-17,9.1686,9.2227,9.1146,9.2072,49100,9.2072
2024-10-18,9.1918,9.2381,9.1532,9.1995,43000,9.1995
2024-10-21,9.2536,9.2536,9.0914,9.1455,44900,9.1455
2024-10-22,9.2304,9.2536,9.1532,9.1995,47600,9.1995
2024-10-23,9.1764,9.2072,9.0141,9.0605,44300,9.0605
2024-10-24,9.0759,9.2072,9.0759,9.2072,42800,9.2072
2024-10-25,9.269,9.2999,9.2072,9.2999,86700,9.2999
2024-10-28,9.2999,9.4081,9.2999,9.3695,83700,9.3695
2024-10-29,9.3695,9.4081,9.3077,9.3849,67700,9.3849
2024-10-30,9.3617,9.4004,9.2845,9.3154,82600,9.3154
2024-10-31,9.3193,9.4376,9.2247,9.2641,60400,9.2641
2024-11-01,9.2089,9.2641,9.1459,9.1616,48500,9.1616
2024-11-04,9.2247,9.2247,9.0513,9.1143,74200,9.1143
2024-11-05,9.0986,9.1616,9.0907,9.138,31600,9.138
2024-11-06,9.2878,9.2957,9.1695,9.2247,48500,9.2247
2024-11-07,8.9882,9.2641,8.9409,9.1459,78900,9.1459
2024-11-08,8.9882,9.0749,8.6807,8.728,204800,8.728
2024-11-11,8.6728,8.6965,8.4047,8.4126,215400,8.4126
2024-11-12,8.4757,8.5309,8.3338,8.3496,139400,8.3496
2024-11-13,8.3653,8.4994,8.2944,8.2944,106500,8.2944
2024-11-14,8.3022,8.3496,8.2707,8.3022,77500,8.3022
2024-11-15,8.3496,8.4126,8.2865,8.3732,77600,8.3732
2024-11-18,8.3732,8.4126,8.3022,8.3496,62200,8.3496
2024-11-19,8.3574,8.4126,8.2786,8.3022,96800,8.3022
2024-11-20,8.3574,8.3574,8.2392,8.2628,87500,8.2628
2024-11-21,8.2786,8.3022,8.2155,8.2707,122900,8.2707
2024-11-22,8.2628,8.3496,8.2628,8.3101,100300,8.3101
2024-11-25,8.3101,8.389,8.2471,8.2549,80500,8.2549
2024-11-26,8.2313,8.2865,8.1603,8.2549,131800,8.2549
2024-11-27,8.3101,8.4363,8.2628,8.3338,163100,8.3338
2024-11-29,8.3653,8.4284,8.3417,8.3732,56800,8.3732
2024-12-02,8.3496,8.3496,8.1603,8.2865,111500,8.2865
2024-12-03,8.2392,8.2786,8.1603,8.2234,112000,8.2234
2024-12-04,8.3259,8.4205,8.2628,8.3732,112300,8.3732
2024-12-05,8.3496,8.3496,8.1997,8.2865,86500,8.2865
2024-12-06,8.2865,8.3574,8.2392,8.3338,56400,8.3338
2024-12-09,8.3101,8.4599,8.3101,8.4363,89700,8.4363
2024-12-10,8.4757,8.5072,8.4126,8.4205,89200,8.4205
2024-12-11,8.4047,8.4757,8.3338,8.389,69300,8.389
2024-12-12,8.3653,8.4126,8.318,8.3574,49100,8.3574
2024-12-13,8.3574,8.4126,8.318,8.4047,39200,8.4047
2024-12-16,8.3969,8.5388,8.3653,8.4442,146800,8.4442
2024-12-17,8.4678,8.4678,8.2628,8.3653,94200,8.3653
2024-12-18,8.3969,8.4757,8.2471,8.2549,135400,8.2549
2024-12-19,8.3496,8.4047,8.1919,8.2313,92100,8.2313
2024-12-20,8.2354,8.3582,8.129,8.129,190500,8.129
2024-12-23,8.1044,8.129,7.7442,7.8015,414000,7.8015
2024-12-24,7.7442,7.8997,7.736,7.8916,277500,7.8916
2024-12-26,7.867,7.9898,7.8097,7.9325,169400,7.9325
2024-12-27,7.9243,7.9816,7.8097,7.9816,136900,7.9816
2024-12-30,7.9243,8.0471,7.7851,7.8097,218200,7.8097
2024-12-31,7.8261,7.9816,7.8179,7.9243,179900,7.9243
2025-01-02,8.0062,8.1699,7.9898,8.1535,128800,8.1535
2025-01-03,8.2108,8.2599,8.0717,8.1863,123800,8.1863
2025-01-06,8.1617,8.2518,8.0143,8.0307,99400,8.0307
2025-01-07,8.0225,8.1044,8.0062,8.0471,61900,8.0471
2025-01-08,8.0471,8.1699,7.9652,8.1126,104800,8.1126
2025-01-10,8.0717,8.1044,7.9161,7.9489,85500,7.9489
2025-01-13,7.9161,7.9734,7.8261,7.9407,56600,7.9407
2025-01-14,7.9489,8.0389,7.9489,8.0389,31100,8.0389
2025-01-15,8.0225,8.1535,8.0143,8.0225,37000,8.0225
2025-01-16,8.0225,8.1208,7.9734,8.0798,51000,8.0798
2025-01-17,8.1044,8.1781,8.0471,8.1781,66100,8.1781
2025-01-21,8.1863,8.2518,8.1535,8.219,76300,8.219
2025-01-22,8.1863,8.2272,8.0717,8.219,50100,8.219
2025-01-23,8.1863,8.2599,8.1453,8.2354,52500,8.2354
2025-01-24,8.2026,8.3254,8.2026,8.2927,62900,8.2927
2025-01-27,8.2599,8.4564,8.2599,8.4237,90900,8.4237
2025-01-28,8.44,8.5137,8.3745,8.5137,58900,8.5137
2025-01-29,8.5137,8.6447,8.5137,8.6201,151400,8.6201
2025-01-30,8.6447,8.6447,8.5137,8.6119,78900,8.6119
2025-01-31,8.6365,8.6938,8.6038,8.6447,63800,8.6447
2025-02-03,8.5874,8.7102,8.5874,8.6283,51500,8.6283
2025-02-04,8.5956,8.6447,8.4318,8.481,72900,8.481
2025-02-05,8.44,8.4892,8.3172,8.4728,95900,8.4728
2025-02-06,8.4892,8.5792,8.4482,8.5301,58500,8.5301
2025-02-07,8.5628,8.6201,8.4973,8.5874,30800,8.5874
2025-02-10,8.5465,8.6119,8.5055,8.5792,32300,8.5792
2025-02-11,8.5874,8.7102,8.5546,8.6938,57400,8.6938
2025-02-12,8.6529,8.702,8.6119,8.6283,40100,8.6283
2025-02-13,8.6119,8.7757,8.6119,8.7429,45300,8.7429
2025-02-14,8.7429,8.7757,8.6529,8.7511,65500,8.7511
2025-02-18,8.6938,8.9148,8.6774,8.8657,59700,8.8657
2025-02-19,8.8493,8.8985,8.8002,8.833,43700,8.833
2025-02-20,8.8412,8.923,8.8002,8.8821,52600,8.8821
2025-02-21,8.8903,9.0294,8.8248,8.9967,70700,8.9967
2025-02-24,8.964,8.9967,8.923,8.9721,49000,8.9721
2025-02-25,9.0704,9.1277,8.923,9.0376,111300,9.0376
2025-02-26,9.0622,9.1031,8.9885,9.0213,44900,9.0213
2025-02-27,9.0458,9.0868,8.9967,9.0294,32000,9.0294
2025-02-28,9.0868,9.2423,8.9967,9.2423,216600,9.2423
2025-03-03,9.2587,9.2587,8.964,9.0131,93500,9.0131
2025-03-04,9.0131,9.0131,8.9067,8.9067,62200,8.9067
2025-03-05,8.9067,8.9394,8.8002,8.833,81400,8.833
2025-03-06,8.8002,8.8084,8.5137,8.6038,99000,8.6038
2025-03-07,8.35,8.6283,8.1044,8.219,195600,8.219
2025-03-10,8.1863,8.4973,8.0225,8.1863,198100,8.1863
2025-03-11,8.2108,8.2518,7.9489,8.0389,106000,8.0389
2025-03-12,8.1044,8.1781,8.0471,8.129,61200,8.129
2025-03-13,8.1371,8.1371,7.9652,7.9652,79700,7.9652
2025-03-14,8.0471,8.1863,8.0225,8.1126,69100,8.1126
2025-03-17,8.1535,8.35,8.1535,8.3172,94700,8.3172
2025-03-18,8.3582,8.3582,8.2599,8.35,52100,8.35
2025-03-19,8.3745,8.4892,8.3745,8.4646,79700,8.4646
2025-03-20,8.44,8.5792,8.3664,8.3909,139100,8.3909
2025-03-21,8.3697,8.4632,8.14,8.1655,155500,8.1655
2025-03-24,8.1315,8.1825,8.0379,8.0805,128400,8.0805
2025-03-25,8.0379,8.1485,8.0379,8.1145,78400,8.1145
2025-03-26,8.1145,8.174,8.089,8.14,69700,8.14
2025-03-27,8.0975,8.1995,8.0975,8.123,48500,8.123
2025-03-28,8.157,8.1655,8.072,8.1145,71600,8.1145
2025-03-31,8.1145,8.208,8.0464,8.208,125800,8.208
2025-04-01,8.1655,8.2591,8.1315,8.1485,77400,8.1485
2025-04-02,8.0975,8.157,7.9274,7.9699,137900,7.9699
2025-04-03,7.8508,7.9784,7.7487,7.9614,142300,7.9614
2025-04-04,7.8933,7.9103,7.6211,7.6552,336500,7.6552
2025-04-07,7.4766,7.7317,7.2979,7.4851,291000,7.4851
2025-04-08,7.6211,7.8253,7.3149,7.3745,201300,7.3745
2025-04-09,7.3149,7.7743,7.1788,7.7743,153600,7.7743
2025-04-10,7.7657,7.7743,7.434,7.5956,97200,7.5956
2025-04-11,7.5361,7.7062,7.434,7.6722,78900,7.6722
2025-04-14,7.7232,7.9018,7.6552,7.8423,84300,7.8423
2025-04-15,7.8168,7.9699,7.7998,7.9444,105000,7.9444
2025-04-16,7.9359,8.157,7.9103,8.0549,134100,8.0549
2025-04-17,8.0379,8.3356,8.0379,8.2761,92400,8.2761
2025-04-21,8.2846,8.3441,8.0975,8.3271,123900,8.3271
2025-04-22,8.3526,8.4632,8.2846,8.3186,78500,8.3186
2025-04-23,8.3952,8.4547,8.2761,8.3611,37500,8.3611
2025-04-24,8.3441,8.3952,8.2931,8.3271,33400,8.3271
2025-04-25,8.3016,8.3611,8.2761,8.3356,27100,8.3356
2025-04-28,8.3526,8.4377,8.2846,8.3697,48700,8.3697
2025-04-29,8.3526,8.3526,8.2676,8.3271,30400,8.3271
2025-04-30,8.3271,8.3271,8.0634,8.14,60900,8.14
2025-05-01,8.1825,8.2251,8.089,8.123,52400,8.123
2025-05-02,8.123,8.2336,8.123,8.157,54600,8.157
2025-05-05,8.1655,8.208,8.0549,8.0549,109600,8.0549
2025-05-06,8.0039,8.106,7.9954,8.0209,36800,8.0209
2025-05-07,8.0805,8.089,7.8848,7.8848,47700,7.8848
2025-05-08,7.9614,8.0634,7.9188,7.9188,31400,7.9188
