date,open,high,low,close,volume,adj_close
2024-05-20,82.392,82.6437,81.3313,81.4571,1091300,81.4571
2024-05-21,81.1335,81.601,80.3515,80.4684,1173800,80.4684
2024-05-22,80.2257,80.2526,78.9672,79.7313,1355000,79.7313
2024-05-23,79.5515,79.5515,77.3582,77.7178,1979300,77.7178
2024-05-24,78.1133,78.4369,77.1425,77.7717,1236700,77.7717
2024-05-28,78.0324,79.3448,77.8526,77.9874,1699000,77.9874
2024-05-29,77.0706,77.1874,75.6683,76.2076,1242900,76.2076
2024-05-30,76.9268,81.538,76.693,80.9628,2392500,80.9628
2024-05-31,81.4392,83.6774,81.0167,83.6235,1476000,83.6235
2024-06-03,84.0459,84.792,82.8235,82.9133,1593500,82.9133
2024-06-04,82.3201,82.356,80.1897,80.2077,788500,80.2077
2024-06-05,80.4504,80.6302,79.3268,80.4684,977200,80.4684
2024-06-06,80.1178,80.5583,79.7942,80.0459,672800,80.0459
2024-06-07,78.9133,79.7043,78.4369,79.2099,854300,79.2099
2024-06-10,78.3919,79.6684,78.2212,79.3538,694700,79.3538
2024-06-11,78.9403,80.0908,78.1223,79.5875,919300,79.5875
2024-06-12,81.9066,85.8797,81.9066,84.5403,3474000,84.5403
2024-06-13,84.3246,84.3246,81.7987,83.4257,1043300,83.4257
2024-06-14,82.4819,83.2819,81.4481,81.6189,1200000,81.6189
2024-06-17,81.7088,84.6302,81.7088,82.4729,1691000,82.4729
2024-06-18,82.356,83.2909,80.0549,80.0998,1183300,80.0998
2024-06-20,79.6504,80.765,79.6504,80.5403,841800,80.5403
2024-06-21,80.5493,81.7807,80.1088,81.2864,1282300,81.2864
2024-06-24,81.7987,83.0212,81.6729,82.5268,1218800,82.5268
2024-06-25,81.7717,81.8077,78.1672,78.2301,1708300,78.2301
2024-06-26,92.864,93.1427,86.4909,91.6056,9743400,91.6056
2024-06-27,90.6707,90.8775,89.3134,90.6797,1778100,90.6797
2024-06-28,90.8415,92.7292,90.473,91.8662,1314500,91.8662
2024-07-01,91.4887,92.2528,90.437,90.6707,1172900,90.6707
2024-07-02,91.8663,92.4955,91.0393,91.8932,1344000,91.8932
2024-07-03,92.2887,93.3494,90.6528,90.6528,514700,90.6528
2024-07-05,90.2842,91.255,89.646,90.2483,969100,90.2483
2024-07-08,90.7247,93.2146,90.5449,92.4955,1178000,92.4955
2024-07-09,91.7314,91.8483,90.6797,91.0842,944200,91.0842
2024-07-10,91.0932,93.655,90.3921,92.4775,715500,92.4775
2024-07-11,94.3831,97.5472,94.2303,97.4753,935100,97.4753
2024-07-12,98.4461,99.9113,97.6101,98.7427,892100,98.7427
2024-07-15,98.3113,100.181,97.5202,99.4798,899800,99.4798
2024-07-16,100.109,101.8529,99.9472,100.981,841900,100.981
2024-07-17,99.5517,101.5383,99.5517,100.3068,939600,100.3068
2024-07-18,99.3899,103.7765,93.4213,94.5629,2627700,94.5629
2024-07-19,94.0685,96.5315,94.0685,94.9405,743700,94.9405
2024-07-22,95.4169,96.5764,94.8056,95.5607,732800,95.5607
2024-07-23,93.4843,93.5202,90.464,91.1112,1724600,91.1112
2024-07-24,90.9853,91.5067,88.1179,88.7651,1854200,88.7651
2024-07-25,89.8887,91.3449,87.219,91.2999,1742100,91.2999
2024-07-26,92.064,92.3247,89.1157,89.4662,1072800,89.4662
2024-07-29,89.4572,89.8887,87.3179,89.3224,1172200,89.3224
2024-07-30,88.9718,92.0101,87.8482,91.9921,1357200,91.9921
2024-07-31,92.4236,93.691,90.8685,91.6595,1376100,91.6595
2024-08-01,91.5966,92.846,87.6325,88.6303,962500,88.6303
2024-08-02,87.192,87.21,85.1336,87.0123,1072600,87.0123
2024-08-05,83.5605,84.7381,82.392,83.8032,1227000,83.8032
2024-08-06,83.8302,84.8549,82.7426,83.0212,878400,83.0212
2024-08-07,84.4415,84.6033,80.9718,81.1246,909900,81.1246
2024-08-08,81.8077,84.2077,81.4661,84.028,1046400,84.028
2024-08-09,84.1628,84.9358,83.0212,83.7044,751000,83.7044
2024-08-12,84.0459,84.4954,82.347,82.8594,475800,82.8594
2024-08-13,83.147,86.9134,82.7875,86.1403,1658500,86.1403
2024-08-14,86.6257,87.0213,84.4055,84.819,680200,84.819
2024-08-15,86.9943,87.5965,85.1965,85.9606,769700,85.9606
2024-08-16,85.574,87.5965,85.574,86.9314,589300,86.9314
2024-08-19,87.3718,87.7583,86.1943,86.419,617400,86.419
2024-08-20,86.3471,87.2999,86.0415,86.7606,611600,86.7606
2024-08-21,87.7583,89.1336,86.9493,88.9898,678100,88.9898
2024-08-22,89.1336,89.4393,87.7853,88.1269,567700,88.1269
2024-08-23,88.5314,92.3786,87.9112,92.0191,704100,92.0191
2024-08-26,92.8191,93.5831,91.8483,92.6033,548800,92.6033
2024-08-27,91.9292,92.6752,90.9763,92.4325,530600,92.4325
2024-08-28,91.8303,92.846,91.7584,91.7764,465000,91.7764
2024-08-29,92.5224,92.9269,91.0483,92.1179,530600,92.1179
2024-08-30,92.877,93.4531,90.8559,91.7156,664400,91.7156
2024-09-03,90.8376,91.7156,89.4933,89.7768,656900,89.7768
2024-09-04,89.2372,90.5907,88.78,90.3804,304100,90.3804
2024-09-05,90.7279,91.1029,89.1824,89.1915,420000,89.1915
2024-09-06,89.0269,90.4078,88.7068,89.2647,444200,89.2647
2024-09-09,89.1641,89.7951,88.2496,88.8074,686500,88.8074
2024-09-10,88.7068,88.9446,87.143,88.8806,441800,88.8806
