date,open,high,low,close,volume,adj_close
2024-05-20,13.6415,13.6971,13.4655,13.5118,641500,13.5118
2024-05-21,13.4841,13.5489,13.3544,13.3637,363000,13.3637
2024-05-22,13.3081,13.4841,13.2479,13.2618,548900,13.2618
2024-05-23,13.3081,13.3081,13.0395,13.1321,729600,13.1321
2024-05-24,13.234,13.3081,13.1044,13.1599,517100,13.1599
2024-05-28,13.2803,13.2803,13.0905,13.1229,469600,13.1229
2024-05-29,12.9562,13.0025,12.8404,13.0025,538600,13.0025
2024-05-30,13.0673,13.1599,12.9793,13.1136,1241100,13.1136
2024-05-31,13.1321,13.447,13.0395,13.4192,1557900,13.4192
2024-06-03,13.5859,13.5859,13.2988,13.4748,1030400,13.4748
2024-06-04,13.3451,13.5443,13.3081,13.3544,517000,13.3544
2024-06-05,13.4655,13.4655,13.1294,13.3637,442700,13.3637
2024-06-06,13.2896,13.4192,13.2155,13.3174,376000,13.3174
2024-06-07,13.1692,13.3127,13.1414,13.197,375800,13.197
2024-06-10,13.0303,13.3729,12.9608,13.2525,1058600,13.2525
2024-06-11,13.1136,13.3312,13.0858,13.0951,1397300,13.0951
2024-06-12,13.4285,13.5535,13.3312,13.4563,1168700,13.4563
2024-06-13,13.4933,13.5581,13.2896,13.3637,619100,13.3637
2024-06-14,13.197,13.2988,13.0951,13.1877,502400,13.1877
2024-06-17,13.1136,13.3174,13.0858,13.2803,652500,13.2803
2024-06-18,13.2711,13.3544,13.2247,13.2525,836700,13.2525
2024-06-20,13.1692,13.3637,13.1599,13.2711,565100,13.2711
2024-06-21,13.2711,13.41,13.1646,13.197,2657100,13.197
2024-06-24,13.2711,13.3914,13.1692,13.2803,686300,13.2803
2024-06-25,13.2433,13.2433,13.0303,13.058,631100,13.058
2024-06-26,12.9562,12.9747,12.7997,12.8173,598000,12.8173
2024-06-27,12.845,12.9654,12.7617,12.9562,618700,12.9562
2024-06-28,13.115,13.4326,13.0216,13.3859,1919900,13.3859
2024-07-01,13.3859,13.4513,12.9468,13.0122,587000,13.0122
2024-07-02,13.0683,13.185,12.9749,13.0589,1049100,13.0589
2024-07-03,13.087,13.1056,12.9515,12.9842,202600,12.9842
2024-07-05,12.9188,12.9749,12.8254,12.9282,582300,12.9282
2024-07-08,13.0309,13.143,12.9282,12.9935,302400,12.9935
2024-07-09,12.9095,13.0589,12.8488,12.9468,455700,12.9468
2024-07-10,13.0402,13.1243,12.9375,13.0963,412600,13.0963
2024-07-11,13.4232,13.4419,13.2458,13.3298,664000,13.3298
2024-07-12,13.498,13.526,13.3205,13.3298,896200,13.3298
2024-07-15,13.4699,13.5353,13.3485,13.4699,592700,13.4699
2024-07-16,13.6101,13.8342,13.4559,13.8249,867300,13.8249
2024-07-17,13.6848,13.9977,13.6848,13.8716,1079700,13.8716
2024-07-18,13.7595,13.965,13.4372,13.4793,442800,13.4793
2024-07-19,13.498,13.498,13.2925,13.3859,437700,13.3859
2024-07-22,13.4513,13.5634,13.2831,13.4793,408400,13.4793
2024-07-23,13.4326,13.6848,13.4046,13.4606,871400,13.4606
