date,open,high,low,close,volume,adj_close
2024-07-23,89.6,152.8,58.56,67.52,213563,67.52
2024-07-24,65.6,78.88,57.6,61.44,76288,61.44
2024-07-25,64.16,71.52,64.0,68.0,27525,68.0
2024-07-26,68.8,76.48,68.0,74.4,12406,74.4
2024-07-29,73.76,96.0,70.72,80.16,20325,80.16
2024-07-30,80.8,95.2,75.36,84.0,17119,84.0
2024-07-31,83.92,88.016,78.4,80.48,6706,80.48
2024-08-01,83.68,83.68,78.4,81.92,3075,81.92
2024-08-02,82.816,89.28,80.32,86.144,4081,86.144
2024-08-05,77.6,84.32,76.0,81.6,8894,81.6
2024-08-06,80.416,89.6,80.32,88.0,12800,88.0
2024-08-07,85.6,99.84,81.888,97.28,9869,97.28
2024-08-08,97.6,120.0,86.4,100.8,22725,100.8
2024-08-09,102.88,106.4,88.16,88.16,5531,88.16
2024-08-12,88.8,97.76,84.0,88.16,4163,88.16
2024-08-13,86.56,95.52,86.56,89.28,2156,89.28
2024-08-14,91.2,92.0,88.48,91.52,3431,91.52
2024-08-15,90.4,95.392,88.8,93.6,2681,93.6
2024-08-16,91.68,102.4,91.44,98.08,3581,98.08
2024-08-19,98.88,100.8,96.48,99.68,4900,99.68
2024-08-20,97.76,100.8,95.6,98.72,1169,98.72
2024-08-21,97.6,102.72,88.16,96.64,3356,96.64
2024-08-22,96.0,99.2,93.68,96.96,1863,96.96
2024-08-23,94.88,108.0,92.0,97.28,3288,97.28
2024-08-26,97.12,103.68,95.2,100.0,5456,100.0
2024-08-27,98.88,103.072,91.2,100.8,12838,100.8
2024-08-28,102.4,123.2,102.4,114.88,7519,114.88
2024-08-29,109.6,119.84,109.44,119.84,1975,119.84
2024-08-30,112.88,132.8,112.88,126.4,5513,126.4
2024-09-03,124.32,127.84,120.0,124.72,2569,124.72
2024-09-04,123.2,147.2,123.2,140.0,4906,140.0
2024-09-05,142.56,156.8,141.28,148.8,13844,148.8
2024-09-06,151.84,190.432,148.64,188.0,25375,188.0
2024-09-09,192.32,239.04,192.0,239.04,18544,239.04
2024-09-10,213.76,230.4,176.32,222.4,18206,222.4
2024-09-11,220.8,248.0,200.784,227.2,11156,227.2
2024-09-12,224.96,240.0,209.76,239.68,15894,239.68
2024-09-13,248.16,279.68,235.2,262.24,10338,262.24
2024-09-16,264.0,352.0,264.0,292.64,21669,292.64
2024-09-17,288.0,298.4,84.32,186.4,65025,186.4
2024-09-18,170.4,238.24,144.0,223.36,28588,223.36
2024-09-19,225.12,260.992,224.176,254.88,11506,254.88
2024-09-20,252.8,279.36,251.2,268.16,8869,268.16
2024-09-23,260.96,300.96,260.96,276.64,11356,276.64
2024-09-24,275.36,318.4,275.2,294.56,12406,294.56
2024-09-25,297.44,297.44,256.16,260.32,6700,260.32
2024-09-26,264.8,286.4,226.336,246.24,8244,246.24
2024-09-27,247.52,320.0,232.8,296.8,11388,296.8
2024-09-30,276.16,280.56,248.0,251.68,6013,251.68
