date,open,high,low,close,volume,adj_close
2024-10-01,10.0,11.0,6.08,8.8,324600,8.8
2024-10-02,6.75,7.481,6.09,6.35,232400,6.35
2024-10-03,6.5,6.75,5.41,5.55,109900,5.55
2024-10-04,5.55,5.7,3.9,3.91,213200,3.91
2024-10-07,3.95,3.953,2.59,2.77,242000,2.77
2024-10-08,2.79,2.9,2.22,2.41,203300,2.41
2024-10-09,2.4,2.43,1.77,1.849,196700,1.849
2024-10-10,1.9,2.07,1.75,1.77,138000,1.77
2024-10-11,2.77,3.12,2.26,2.45,47353500,2.45
2024-10-14,2.24,2.34,2.16,2.23,1900000,2.23
2024-10-15,2.16,2.25,1.881,1.97,829000,1.97
2024-10-16,2.0,2.5,1.97,2.46,1006500,2.46
2024-10-17,2.44,2.6,2.17,2.17,497900,2.17
2024-10-18,2.2,2.24,2.1,2.14,310600,2.14
2024-10-21,2.12,2.19,1.97,2.02,211400,2.02
2024-10-22,2.05,2.08,1.86,1.91,184200,1.91
2024-10-23,1.88,1.98,1.7,1.76,441500,1.76
2024-10-24,2.91,2.93,2.03,2.16,54982700,2.16
2024-10-25,2.06,2.24,2.05,2.21,2053900,2.21
2024-10-28,2.07,2.28,2.07,2.11,977200,2.11
2024-10-29,2.21,2.212,1.98,2.06,751300,2.06
2024-10-30,2.04,2.21,2.03,2.13,458700,2.13
2024-10-31,2.12,2.19,2.05,2.08,298100,2.08
2024-11-01,2.04,2.23,2.04,2.16,247800,2.16
2024-11-04,2.16,2.188,1.91,1.96,395300,1.96
2024-11-05,1.93,2.09,1.9,2.08,265300,2.08
2024-11-06,2.08,2.1,1.91,1.96,307200,1.96
2024-11-07,1.97,2.02,1.82,1.96,460600,1.96
2024-11-08,1.87,2.0,1.85,1.98,450200,1.98
2024-11-11,1.88,2.1,1.85,2.06,385300,2.06
2024-11-12,2.04,2.06,1.86,1.9,650800,1.9
2024-11-13,1.94,1.96,1.65,1.78,426200,1.78
2024-11-14,1.76,1.85,1.61,1.72,142000,1.72
2024-11-15,1.81,1.81,1.55,1.67,156600,1.67
2024-11-18,1.63,1.64,1.42,1.45,360600,1.45
2024-11-19,1.42,1.535,1.41,1.52,374000,1.52
2024-11-20,1.5,1.54,1.47,1.52,123600,1.52
2024-11-21,1.81,1.85,1.45,1.65,7816800,1.65
2024-11-22,1.63,1.81,1.58,1.79,801600,1.79
2024-11-25,1.89,7.35,1.88,6.42,116400500,6.42
2024-11-26,12.19,12.43,8.0,10.3,80371400,10.3
2024-11-27,8.69,9.0,7.42,7.84,7036500,7.84
2024-11-29,6.91,9.75,6.72,8.85,7199100,8.85
2024-12-02,8.66,8.72,7.26,7.26,1994100,7.26
2024-12-03,7.01,7.08,5.6,7.0,3231000,7.0
2024-12-04,6.43,6.7,5.865,5.94,1178700,5.94
2024-12-05,6.81,7.148,6.02,6.09,3417100,6.09
2024-12-06,6.43,6.548,6.09,6.22,1280000,6.22
2024-12-09,6.44,6.44,5.55,5.87,912700,5.87
2024-12-10,5.57,6.7,5.57,6.67,926000,6.67
2024-12-11,6.5,6.51,5.62,5.69,640100,5.69
2024-12-12,6.86,7.76,6.03,7.29,19377000,7.29
2024-12-13,7.0,7.68,6.5,6.97,1586700,6.97
2024-12-16,7.13,8.25,6.9,7.76,1971300,7.76
2024-12-17,8.0,8.39,6.802,7.38,1892900,7.38
2024-12-18,7.13,7.13,5.25,6.0,1304200,6.0
2024-12-19,6.682,12.2,6.19,7.73,8447500,7.73
2024-12-20,7.14,9.966,6.54,7.72,2945700,7.72
2024-12-23,7.85,8.46,7.78,8.38,1103200,8.38
2024-12-24,8.21,8.36,7.72,7.99,618100,7.99
2024-12-26,8.05,8.56,7.635,7.98,1201900,7.98
2024-12-27,8.28,10.0,7.65,8.48,2314400,8.48
2024-12-30,8.39,9.47,7.893,9.13,1456100,9.13
2024-12-31,9.0,9.08,7.1,7.69,1105400,7.69
2025-01-02,7.98,8.15,6.903,7.58,922500,7.58
2025-01-03,7.7,7.83,7.37,7.54,741600,7.54
2025-01-06,7.5,7.619,6.85,7.05,889600,7.05
2025-01-07,7.98,8.0,6.74,7.33,2244100,7.33
2025-01-08,6.99,6.99,5.68,6.19,827000,6.19
2025-01-10,6.59,6.59,5.746,6.1,952400,6.1
2025-01-13,5.98,5.98,5.17,5.26,683600,5.26
2025-01-14,5.3,6.25,5.3,6.2,787600,6.2
2025-01-15,6.24,6.4,5.88,6.3,449000,6.3
2025-01-16,6.53,6.59,6.03,6.4,717600,6.4
2025-01-17,6.55,6.55,6.03,6.12,206900,6.12
2025-01-21,6.45,6.537,5.959,6.24,401800,6.24
2025-01-22,6.14,6.29,5.75,6.08,425300,6.08
2025-01-23,5.98,6.14,5.72,5.92,319100,5.92
2025-01-24,5.83,6.06,5.57,6.04,355100,6.04
2025-01-27,5.6,5.61,5.0,5.13,415500,5.13
2025-01-28,5.25,5.25,4.5,4.5,430700,4.5
2025-01-29,4.5,4.69,4.45,4.51,224800,4.51
2025-01-30,4.63,4.71,4.49,4.49,152200,4.49
2025-01-31,4.51,5.3,4.45,4.86,298100,4.86
2025-02-03,4.45,4.538,4.18,4.34,209800,4.34
2025-02-04,4.43,4.94,4.43,4.74,511500,4.74
2025-02-05,4.74,4.946,4.53,4.66,188500,4.66
2025-02-06,4.86,5.06,4.705,4.95,294900,4.95
2025-02-07,5.1,5.34,4.75,4.87,256100,4.87
2025-02-10,4.8,4.92,4.769,4.8,109600,4.8
2025-02-11,4.78,5.85,4.76,5.62,856500,5.62
2025-02-12,5.25,5.515,5.06,5.18,451300,5.18
2025-02-13,5.29,5.598,5.25,5.5,235500,5.5
2025-02-14,5.78,5.78,5.1,5.27,223800,5.27
2025-02-18,5.34,5.42,4.9,4.99,140000,4.99
2025-02-19,5.0,5.16,4.91,4.91,143000,4.91
2025-02-20,4.9,4.99,4.64,4.77,168600,4.77
2025-02-21,4.81,4.9,4.55,4.62,142600,4.62
2025-02-24,4.65,4.73,4.17,4.26,193100,4.26
2025-02-25,4.05,4.36,3.68,3.93,246000,3.93
2025-02-26,3.93,4.11,3.71,3.71,111400,3.71
2025-02-27,3.96,3.96,3.6,3.67,116200,3.67
2025-02-28,3.5,3.66,3.333,3.4,158700,3.4
2025-03-03,3.23,3.45,2.65,2.7,318000,2.7
2025-03-04,2.66,3.02,2.446,2.84,264500,2.84
2025-03-05,3.16,3.17,2.92,3.01,146200,3.01
2025-03-06,3.04,3.422,2.87,3.03,343300,3.03
2025-03-07,2.98,3.048,2.78,2.94,137000,2.94
2025-03-10,2.86,2.91,2.56,2.67,107700,2.67
2025-03-11,2.97,2.97,2.72,2.81,98900,2.81
2025-03-12,2.87,4.74,2.86,4.57,6892200,4.57
2025-03-13,4.63,4.66,3.82,4.02,1662500,4.02
2025-03-14,3.91,4.148,3.4,3.49,696100,3.49
2025-03-17,3.57,3.8,3.417,3.45,381100,3.45
2025-03-18,3.76,3.94,3.18,3.3,386400,3.3
2025-03-19,3.2,3.3,2.94,3.08,274000,3.08
2025-03-20,3.04,3.165,3.0,3.08,147400,3.08
2025-03-21,3.01,3.065,2.87,2.93,170300,2.93
2025-03-24,3.01,3.05,2.93,2.99,145600,2.99
2025-03-25,3.11,3.2,2.97,3.12,175700,3.12
2025-03-26,3.07,3.12,2.8,2.83,228600,2.83
2025-03-27,2.85,3.06,2.82,2.9,273300,2.9
2025-03-28,2.9,2.96,2.673,2.8,179100,2.8
2025-03-31,2.6,2.65,2.5,2.58,184100,2.58
2025-04-01,2.57,2.705,2.51,2.69,136700,2.69
2025-04-02,2.56,2.75,2.51,2.62,201500,2.62
2025-04-03,2.5,2.52,2.25,2.25,256000,2.25
2025-04-04,2.29,2.29,2.04,2.09,165800,2.09
2025-04-07,2.05,2.089,1.82,2.04,184600,2.04
2025-04-08,2.24,2.3,1.92,2.0,159100,2.0
2025-04-09,2.08,2.5,1.923,2.22,232500,2.22
2025-04-10,2.25,2.269,2.06,2.19,114400,2.19
2025-04-11,2.16,2.4,2.14,2.36,142500,2.36
2025-04-14,2.4,2.58,2.13,2.25,205000,2.25
2025-04-15,2.45,2.45,2.16,2.2,119600,2.2
2025-04-16,2.14,2.28,2.11,2.17,105600,2.17
2025-04-17,2.16,2.26,2.09,2.2,107100,2.2
2025-04-21,2.24,2.24,2.03,2.05,127000,2.05
2025-04-22,2.16,2.509,2.04,2.2,723000,2.2
2025-04-23,2.25,2.27,2.142,2.19,393900,2.19
2025-04-24,2.73,3.03,2.4,2.6,48383700,2.6
2025-04-25,2.57,2.59,2.34,2.37,1221600,2.37
2025-04-28,2.32,2.37,2.2,2.2,498600,2.2
2025-04-29,2.21,2.28,2.079,2.1,466200,2.1
2025-04-30,2.13,2.14,2.0,2.11,337800,2.11
2025-05-01,2.11,2.2,2.05,2.2,174100,2.2
2025-05-02,2.16,2.28,2.15,2.19,320500,2.19
2025-05-05,2.18,2.26,2.03,2.04,217500,2.04
2025-05-06,2.07,2.1,2.0,2.05,247300,2.05
2025-05-07,2.05,2.1,2.05,2.09,98400,2.09
2025-05-08,2.1,2.25,2.1,2.14,399100,2.14
2025-05-09,2.16,2.18,2.01,2.08,253400,2.08
2025-05-12,2.14,2.18,2.1,2.13,209600,2.13
2025-05-13,2.16,2.33,2.16,2.25,392700,2.25
2025-05-14,2.26,2.3,2.21,2.21,351800,2.21
2025-05-15,2.23,2.24,2.13,2.19,954500,2.19
2025-05-16,2.33,2.64,2.33,2.49,1668700,2.49
2025-05-19,2.4,2.46,2.34,2.37,309400,2.37
2025-05-20,2.45,2.59,2.39,2.43,474800,2.43
2025-05-21,2.45,2.49,2.3,2.3,440200,2.3
2025-05-22,2.39,2.44,2.31,2.43,250600,2.43
2025-05-23,2.43,2.5,2.34,2.5,238900,2.5
2025-05-27,2.67,3.74,2.59,2.65,23443700,2.65
2025-05-28,2.73,2.95,2.65,2.83,1234500,2.83
2025-05-29,2.94,2.97,2.74,2.75,726300,2.75
2025-05-30,2.7,2.87,2.68,2.77,386900,2.77
2025-06-02,2.93,3.13,2.79,2.89,1055800,2.89
2025-06-03,2.95,3.105,2.9,3.02,1256400,3.02
2025-06-04,3.09,3.19,3.0,3.18,928500,3.18
2025-06-05,4.73,6.92,4.15,4.45,136712300,4.45
2025-06-06,4.4,4.78,4.05,4.29,6679800,4.29
2025-06-09,4.66,5.88,4.41,4.54,11853600,4.54
2025-06-10,5.26,5.4,4.7,4.9,9175800,4.9
2025-06-11,5.07,5.45,4.71,4.84,2922700,4.84
2025-06-12,5.1,5.27,4.82,5.05,3511100,5.05
2025-06-13,5.32,6.3,4.87,4.97,12748500,4.97
2025-06-16,5.276,5.28,4.914,5.05,2317200,5.05
2025-06-17,5.179,5.18,4.59,4.72,2132400,4.72
2025-06-18,4.8,4.8,4.13,4.32,1706700,4.32
2025-06-20,4.2,4.4,3.83,3.95,1055200,3.95
2025-06-23,3.94,4.08,3.73,3.77,899500,3.77
2025-06-24,4.05,4.09,3.8,3.86,1040300,3.86
2025-06-25,4.01,4.12,3.82,3.93,1219100,3.93
2025-06-26,3.94,3.94,3.67,3.75,783800,3.75
