date,open,high,low,close,volume,adj_close
2024-05-20,3.704,3.76,3.56,3.74,25125,3.74
2024-05-21,3.64,3.64,3.28,3.34,42050,3.34
2024-05-22,3.36,3.36,3.08,3.088,59875,3.088
2024-05-23,3.16,3.32,3.08,3.12,27225,3.12
2024-05-24,3.084,3.28,3.08,3.08,41700,3.08
2024-05-28,3.08,3.16,2.96,3.072,15700,3.072
2024-05-29,3.084,3.12,2.884,2.96,15775,2.96
2024-05-30,2.84,2.968,2.804,2.912,24050,2.912
2024-05-31,2.92,3.196,2.92,3.044,25450,3.044
2024-06-03,3.044,3.32,3.032,3.196,20700,3.196
2024-06-04,3.1,3.24,3.004,3.008,14375,3.008
2024-06-05,3.008,3.368,2.964,2.968,53000,2.968
2024-06-06,3.0,3.164,2.94,3.02,16600,3.02
2024-06-07,2.928,3.04,2.78,2.78,25350,2.78
2024-06-10,2.84,3.0,2.764,2.764,21375,2.764
2024-06-11,2.68,2.956,2.68,2.768,31125,2.768
2024-06-12,2.78,2.88,2.728,2.768,18800,2.768
2024-06-13,2.72,2.836,2.72,2.808,12775,2.808
2024-06-14,2.8,3.0,2.764,2.764,25600,2.764
2024-06-17,2.76,2.88,2.76,2.768,11600,2.768
2024-06-18,2.84,2.84,2.76,2.76,13850,2.76
2024-06-20,2.728,2.864,2.728,2.74,23700,2.74
2024-06-21,2.76,2.84,2.64,2.64,22825,2.64
2024-06-24,2.8,2.8,2.564,2.564,31575,2.564
2024-06-25,2.6,2.64,2.404,2.404,24075,2.404
2024-06-26,2.368,2.48,2.368,2.404,19000,2.404
2024-06-27,2.4,2.56,2.4,2.4,21875,2.4
2024-06-28,2.52,2.52,2.4,2.4,20125,2.4
2024-07-01,2.44,2.512,2.364,2.4,24375,2.4
2024-07-02,2.44,2.58,2.4,2.48,19075,2.48
2024-07-03,2.48,2.736,2.44,2.56,29825,2.56
2024-07-05,2.64,2.8,2.54,2.568,22675,2.568
2024-07-08,2.6,2.76,2.56,2.712,21525,2.712
2024-07-09,2.64,2.8,2.56,2.56,16050,2.56
2024-07-10,2.688,2.772,2.48,2.48,22550,2.48
2024-07-11,2.52,2.68,2.44,2.44,16725,2.44
2024-07-12,2.64,2.712,2.48,2.48,13000,2.48
2024-07-15,2.484,2.54,2.404,2.484,15750,2.484
2024-07-16,2.408,2.552,2.408,2.46,15100,2.46
2024-07-17,2.404,2.504,2.404,2.416,12825,2.416
2024-07-18,2.44,2.552,2.404,2.404,19400,2.404
2024-07-19,2.408,2.456,2.372,2.404,20225,2.404
2024-07-22,2.36,2.472,2.324,2.328,34425,2.328
2024-07-23,2.328,2.4,2.324,2.332,14350,2.332
2024-07-24,2.44,2.52,2.36,2.36,18050,2.36
2024-07-25,2.328,2.428,2.312,2.32,22325,2.32
2024-07-26,2.444,2.444,2.312,2.384,13425,2.384
2024-07-29,2.384,2.584,2.32,2.4,24800,2.4
2024-07-30,2.36,2.508,2.296,2.296,17800,2.296
2024-07-31,2.324,2.424,2.284,2.284,22150,2.284
2024-08-01,2.28,2.4,2.184,2.352,24350,2.352
2024-08-02,2.28,2.388,2.12,2.136,28850,2.136
2024-08-05,2.124,2.14,2.06,2.06,26950,2.06
2024-08-06,2.12,2.2,2.06,2.08,20650,2.08
2024-08-07,2.08,2.396,2.08,2.28,16125,2.28
2024-08-08,2.2,2.356,2.2,2.28,4575,2.28
2024-08-09,2.356,2.56,2.24,2.56,10925,2.56
2024-08-12,2.32,2.56,2.32,2.524,3975,2.524
2024-08-13,2.48,2.896,2.48,2.82,25625,2.82
2024-08-14,3.0,3.08,2.88,2.956,21300,2.956
2024-08-15,3.0,3.0,2.916,2.96,20200,2.96
2024-08-16,2.788,3.0,2.7,2.96,25450,2.96
2024-08-19,3.08,3.12,2.952,3.036,13100,3.036
2024-08-20,2.848,2.96,2.44,2.44,32025,2.44
2024-08-21,2.52,3.0,2.52,3.0,42850,3.0
2024-08-22,3.116,3.116,2.804,2.924,19800,2.924
2024-08-23,3.036,3.036,2.8,2.96,10000,2.96
2024-08-26,2.824,2.88,2.7,2.852,16625,2.852
2024-08-27,2.716,3.0,2.604,2.9,17675,2.9
2024-08-28,2.84,2.984,2.84,2.84,19900,2.84
2024-08-29,2.724,2.96,2.724,2.96,7425,2.96
2024-08-30,2.88,3.0,2.84,3.0,6075,3.0
2024-09-03,3.0,3.14,2.944,3.14,15075,3.14
2024-09-04,3.16,3.396,3.024,3.32,15100,3.32
2024-09-05,3.4,3.4,3.12,3.396,13575,3.396
2024-09-06,3.0,3.264,2.864,3.264,32300,3.264
2024-09-09,3.236,3.36,3.12,3.36,13475,3.36
2024-09-10,3.36,3.36,3.12,3.168,25650,3.168
2024-09-11,3.16,3.38,3.14,3.38,15325,3.38
2024-09-12,3.28,3.38,3.14,3.368,13950,3.368
2024-09-13,3.24,3.396,3.2,3.34,11975,3.34
2024-09-16,3.31,3.52,3.24,3.41,24200,3.41
2024-09-17,3.4,3.4,3.16,3.31,24900,3.31
2024-09-18,3.28,3.34,3.2,3.27,14600,3.27
2024-09-19,3.3,3.364,3.15,3.26,13200,3.26
2024-09-20,3.185,3.39,3.16,3.3,11200,3.3
2024-09-23,3.24,3.35,3.02,3.15,13300,3.15
2024-09-24,3.19,3.329,3.08,3.27,20400,3.27
2024-09-25,3.19,3.38,3.19,3.31,16600,3.31
2024-09-26,3.37,3.5,3.34,3.49,19700,3.49
2024-09-27,3.47,4.0,3.461,4.0,175900,4.0
2024-09-30,4.16,4.38,4.1,4.35,107200,4.35
2024-10-01,4.26,4.26,3.75,3.89,80300,3.89
2024-10-02,3.91,3.966,3.8,3.91,23600,3.91
2024-10-03,3.92,3.94,3.735,3.84,8900,3.84
2024-10-04,3.88,3.97,3.66,3.89,35000,3.89
2024-10-07,3.83,3.97,3.7,3.85,31400,3.85
2024-10-08,3.8,3.8,3.49,3.49,19900,3.49
2024-10-09,3.4,3.445,3.1,3.26,32200,3.26
2024-10-10,3.199,3.35,3.175,3.32,6000,3.32
2024-10-11,3.21,3.45,3.2,3.44,8600,3.44
2024-10-14,3.33,3.6,3.3,3.495,13100,3.495
2024-10-15,3.43,3.5,3.32,3.4,21000,3.4
2024-10-16,3.3,3.59,3.3,3.59,16000,3.59
2024-10-17,3.6,3.74,3.58,3.67,5200,3.67
2024-10-18,3.66,3.66,3.42,3.62,10500,3.62
2024-10-21,3.62,3.64,3.404,3.63,5800,3.63
2024-10-22,3.64,3.64,3.4,3.58,6700,3.58
2024-10-23,3.57,3.58,3.29,3.49,9900,3.49
2024-10-24,3.48,3.48,3.29,3.4,10100,3.4
2024-10-25,3.32,3.465,3.3,3.37,10500,3.37
2024-10-28,3.32,3.46,3.25,3.46,26200,3.46
2024-10-29,3.38,3.46,3.36,3.41,9500,3.41
2024-10-30,3.35,3.437,3.35,3.4,6000,3.4
2024-10-31,3.35,3.4,3.2,3.21,10800,3.21
2024-11-01,3.3,3.34,3.11,3.11,10400,3.11
2024-11-04,3.08,3.153,3.0,3.08,13200,3.08
2024-11-05,3.07,3.286,3.07,3.21,5900,3.21
2024-11-06,3.105,3.33,3.08,3.13,11400,3.13
2024-11-07,3.08,3.43,3.08,3.21,10100,3.21
2024-11-08,3.23,3.39,3.23,3.27,14800,3.27
2024-11-11,3.28,3.35,3.2,3.3,10600,3.3
2024-11-12,3.21,3.26,3.15,3.26,4700,3.26
2024-11-13,3.2,3.39,3.1,3.11,7700,3.11
2024-11-14,3.1,3.4,3.09,3.39,32500,3.39
2024-11-15,3.32,3.38,2.95,3.09,23000,3.09
2024-11-18,3.08,3.274,3.08,3.13,23200,3.13
2024-11-19,2.82,2.95,2.561,2.63,58600,2.63
2024-11-20,2.67,2.79,2.62,2.63,6100,2.63
2024-11-21,2.68,2.68,2.5,2.5,11300,2.5
2024-11-22,2.5,2.55,2.35,2.48,30800,2.48
2024-11-25,2.5,2.971,2.491,2.84,29900,2.84
2024-11-26,2.86,3.0,2.85,2.96,6100,2.96
2024-11-27,2.85,2.9,2.713,2.75,8300,2.75
2024-11-29,2.73,3.2,2.728,3.14,6700,3.14
2024-12-02,3.0,3.33,2.95,2.96,30100,2.96
2024-12-03,2.95,3.08,2.87,2.97,5900,2.97
2024-12-04,2.88,3.09,2.87,2.89,12400,2.89
2024-12-05,2.93,2.94,2.76,2.76,8000,2.76
2024-12-06,2.865,2.874,2.73,2.73,4400,2.73
2024-12-09,2.73,3.1,2.73,3.09,16400,3.09
2024-12-10,3.01,3.1,3.0,3.08,10900,3.08
2024-12-11,3.1,3.1,2.91,2.97,7700,2.97
2024-12-12,2.84,2.95,2.784,2.784,3300,2.784
2024-12-13,2.78,2.92,2.78,2.9,4000,2.9
2024-12-16,2.83,3.05,2.79,3.05,10200,3.05
2024-12-17,2.98,3.0,2.8,2.89,9000,2.89
2024-12-18,2.88,2.89,2.8,2.82,11600,2.82
2024-12-19,2.76,2.94,2.73,2.79,5400,2.79
2024-12-20,2.74,2.82,2.73,2.795,5300,2.795
2024-12-23,2.74,2.87,2.74,2.87,5100,2.87
2024-12-24,2.76,2.99,2.76,2.98,8200,2.98
2024-12-26,2.82,2.98,2.811,2.88,12000,2.88
2024-12-27,2.79,2.865,2.75,2.775,10300,2.775
2024-12-30,2.73,3.1,2.56,2.7,80500,2.7
2024-12-31,2.725,2.89,2.53,2.6,15600,2.6
2025-01-02,2.6,2.937,2.6,2.87,7500,2.87
2025-01-03,2.89,3.03,2.86,2.905,5300,2.905
2025-01-06,2.97,3.048,2.85,2.91,12400,2.91
2025-01-07,2.92,3.38,2.9,2.9,54300,2.9
2025-01-08,2.72,3.02,2.72,3.01,11200,3.01
2025-01-10,3.19,3.3,2.89,3.19,20000,3.19
2025-01-13,3.08,3.134,2.882,3.05,24700,3.05
2025-01-14,2.97,3.035,2.82,2.89,12700,2.89
2025-01-15,2.86,3.009,2.813,2.95,8400,2.95
2025-01-16,2.94,3.08,2.86,2.96,6300,2.96
2025-01-17,2.93,3.12,2.9,3.02,6200,3.02
2025-01-21,3.01,3.133,2.92,3.13,5700,3.13
2025-01-22,3.05,3.13,2.998,3.01,45900,3.01
2025-01-23,2.93,3.013,2.92,3.0,10300,3.0
2025-01-24,2.96,3.01,2.922,2.975,9300,2.975
2025-01-27,3.0,3.0,2.709,2.83,30400,2.83
